file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,setStandard/1[java.lang.String],standard,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,TestRecord/1[long],id,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,getCompare/0,compare,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,getId/0,id,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,getDate/0,date,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,setId/1[java.lang.Long],id,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,getDocumentId/0,documentId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,getUserId/0,userId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,getResponse/0,response,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,setCompare/1[java.lang.String],compare,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,setDocumentId/1[java.lang.Long],documentId,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,setDate/1[java.sql.Timestamp],date,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,setUserId/1[java.lang.Long],userId,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,setResponse/1[java.lang.String],response,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,getStandard/0,standard,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,isPassword/1[java.lang.String],PATTERN_PASSWORD,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,"getPrice/2[java.lang.String,int]",TAG,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,isIDCard/1[java.lang.String],TAG,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,isIDCard/1[java.lang.String],currentString,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,"isEmpty/2[java.lang.String,boolean]",currentString,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,isEmail/1[java.lang.String],PATTERN_EMAIL,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,isEmail/1[java.lang.String],currentString,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,isFilePath/1[java.lang.String],currentString,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,"getPrice/2[double,int]",PRICE_FORMAT_PREFIX_WITH_BLANK,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,"getPrice/2[double,int]",PRICE_FORMATS,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,"getPrice/2[double,int]",PRICE_FORMAT_SUFFIX_WITH_BLANK,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,"getPrice/2[double,int]",PRICE_FORMAT_PREFIX,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,"getPrice/2[double,int]",PRICE_FORMAT_SUFFIX,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,isName/1[java.lang.String],PATTERN_NAME,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,isName/1[java.lang.String],PATTERN_ALPHA,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,isSmallName/1[java.lang.String],PATTERN_ALPHA_SMALL,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,isSmallName/1[java.lang.String],PATTERN_NAME,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,isAlpha/1[java.lang.String],PATTERN_ALPHA,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,isAlpha/1[java.lang.String],currentString,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,isPhone/1[java.lang.String],PATTERN_PHONE,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,isPhone/1[java.lang.String],currentString,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,getPrice/1[java.lang.String],PRICE_FORMAT_DEFAULT,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,getCorrectUrl/1[java.lang.String],TAG,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,getCorrectUrl/1[java.lang.String],URL_PREFIX,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/StringUtil.java,apijson.StringUtil,getPrice/1[double],PRICE_FORMAT_DEFAULT,1
