file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/exception/ConflictException.java,apijson.orm.exception.ConflictException,"ConflictException/2[java.lang.String,java.lang.Throwable]",msg,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/exception/ConflictException.java,apijson.orm.exception.ConflictException,"ConflictException/2[java.lang.String,java.lang.Throwable]",t,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/exception/ConflictException.java,apijson.orm.exception.ConflictException,ConflictException/1[java.lang.Throwable],t,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/exception/ConflictException.java,apijson.orm.exception.ConflictException,ConflictException/1[java.lang.String],msg,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/exception/UnsupportedDataTypeException.java,apijson.orm.exception.UnsupportedDataTypeException,UnsupportedDataTypeException/1[java.lang.String],s,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,setStandard/1[java.lang.String],standard,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,TestRecord/1[long],id,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,setId/1[java.lang.Long],id,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,setCompare/1[java.lang.String],compare,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,setDocumentId/1[java.lang.Long],documentId,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,setDate/1[java.sql.Timestamp],date,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,setUserId/1[java.lang.Long],userId,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/model/TestRecord.java,apijson.orm.model.TestRecord,setResponse/1[java.lang.String],response,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/SQLConfig.java,apijson.orm.SQLConfig,"setWhere/1[java.util.Map<java.lang.String,java.lang.Object>]",where,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/SQLConfig.java,apijson.orm.SQLConfig,setWithAsExprPreparedValueList/1[java.util.List<java.lang.Object>],withAsExprePreparedValueList,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/SQLConfig.java,apijson.orm.SQLConfig,setMain/1[boolean],main,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/SQLConfig.java,apijson.orm.SQLConfig,"setHaving/1[java.util.Map<java.lang.String,java.lang.Object>]",having,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/SQLConfig.java,apijson.orm.SQLConfig,"getWhere/2[java.lang.String,boolean]",exactMatch,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/SQLConfig.java,apijson.orm.SQLConfig,"getWhere/2[java.lang.String,boolean]",key,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/SQLConfig.java,apijson.orm.SQLConfig,setType/1[int],type,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/APIJSON/APIJSONORM/src/main/java/apijson/orm/SQLConfig.java,apijson.orm.SQLConfig,setKeyPrefix/1[boolean],keyPrefix,0
