file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ASimpleCache/AsimpleCacheDemo/ASimpleCache/org/afinal/simplecache/ACache.java,ACache,"put/2[String,Bitmap]",value,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ASimpleCache/AsimpleCacheDemo/ASimpleCache/org/afinal/simplecache/ACache.java,ACache,"put/2[String,Bitmap]",key,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ASimpleCache/AsimpleCacheDemo/ASimpleCache/org/afinal/simplecache/ACache.java,ACache,get/1[Context],ctx,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ASimpleCache/AsimpleCacheDemo/ASimpleCache/org/afinal/simplecache/ACache.java,ACache,getAsJSONObject/1[String],e,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ASimpleCache/AsimpleCacheDemo/ASimpleCache/org/afinal/simplecache/ACache.java,ACache,getAsJSONObject/1[String],obj,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ASimpleCache/AsimpleCacheDemo/ASimpleCache/org/afinal/simplecache/ACache.java,ACache,getAsJSONObject/1[String],key,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ASimpleCache/AsimpleCacheDemo/ASimpleCache/org/afinal/simplecache/ACache.java,ACache,getAsJSONObject/1[String],JSONString,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ASimpleCache/AsimpleCacheDemo/ASimpleCache/org/afinal/simplecache/ACache.java,ACache,"put/2[String,Drawable]",value,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ASimpleCache/AsimpleCacheDemo/ASimpleCache/org/afinal/simplecache/ACache.java,ACache,"put/2[String,Drawable]",key,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ASimpleCache/AsimpleCacheDemo/ASimpleCache/org/afinal/simplecache/ACache.java,ACache,"put/3[String,JSONArray,int]",saveTime,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ASimpleCache/AsimpleCacheDemo/ASimpleCache/org/afinal/simplecache/ACache.java,ACache,"put/3[String,JSONArray,int]",value,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ASimpleCache/AsimpleCacheDemo/ASimpleCache/org/afinal/simplecache/ACache.java,ACache,"put/3[String,JSONArray,int]",key,1
