file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActionBarSherlock/actionbarsherlock/src/com/actionbarsherlock/ActionBarSherlock.java,com.actionbarsherlock.ActionBarSherlock$OnOptionsItemSelectedListener,onOptionsItemSelected/1[com.actionbarsherlock.view.MenuItem],item,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActionBarSherlock/actionbarsherlock/src/com/actionbarsherlock/internal/ActionBarSherlockNative.java,com.actionbarsherlock.internal.ActionBarSherlockNative$ActionModeCallbackWrapper,"onPrepareActionMode/2[android.view.ActionMode,android.view.Menu]",mode,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActionBarSherlock/actionbarsherlock/src/com/actionbarsherlock/internal/ActionBarSherlockNative.java,com.actionbarsherlock.internal.ActionBarSherlockNative$ActionModeCallbackWrapper,"onPrepareActionMode/2[android.view.ActionMode,android.view.Menu]",menu,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActionBarSherlock/actionbarsherlock/src/com/actionbarsherlock/internal/ActionBarSherlockNative.java,com.actionbarsherlock.internal.ActionBarSherlockNative$ActionModeCallbackWrapper,"onActionItemClicked/2[android.view.ActionMode,android.view.MenuItem]",mode,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActionBarSherlock/actionbarsherlock/src/com/actionbarsherlock/internal/ActionBarSherlockNative.java,com.actionbarsherlock.internal.ActionBarSherlockNative$ActionModeCallbackWrapper,"onActionItemClicked/2[android.view.ActionMode,android.view.MenuItem]",item,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActionBarSherlock/actionbarsherlock/src/com/actionbarsherlock/internal/ActionBarSherlockNative.java,com.actionbarsherlock.internal.ActionBarSherlockNative$ActionModeCallbackWrapper,ActionModeCallbackWrapper/1[com.actionbarsherlock.view.ActionMode.Callback],callback,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActionBarSherlock/actionbarsherlock/src/com/actionbarsherlock/internal/ActionBarSherlockNative.java,com.actionbarsherlock.internal.ActionBarSherlockNative$ActionModeCallbackWrapper,onDestroyActionMode/1[android.view.ActionMode],mode,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActionBarSherlock/actionbarsherlock/src/com/actionbarsherlock/internal/ActionBarSherlockNative.java,com.actionbarsherlock.internal.ActionBarSherlockNative$ActionModeCallbackWrapper,"onCreateActionMode/2[android.view.ActionMode,android.view.Menu]",mode,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActionBarSherlock/actionbarsherlock/src/com/actionbarsherlock/internal/ActionBarSherlockNative.java,com.actionbarsherlock.internal.ActionBarSherlockNative$ActionModeCallbackWrapper,"onCreateActionMode/2[android.view.ActionMode,android.view.Menu]",menu,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActionBarSherlock/actionbarsherlock-samples/known-bugs/src/com/actionbarsherlock/sample/knownbugs/Issue882.java,com.actionbarsherlock.sample.knownbugs.Issue882$MyAdapter,MyAdapter/1[android.support.v4.app.FragmentManager],fm,1
