file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,"Set/2[com.activeandroid.query.Update,java.lang.String]",mWhereArguments,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,"Set/2[com.activeandroid.query.Update,java.lang.String]",mSetArguments,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,"Set/2[com.activeandroid.query.Update,java.lang.String]",mSet,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,"Set/2[com.activeandroid.query.Update,java.lang.String]",mUpdate,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,"where/2[java.lang.String,java.lang.Object[]]",mWhereArguments,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,"where/2[java.lang.String,java.lang.Object[]]",mWhere,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,"Set/3[com.activeandroid.query.Update,java.lang.String,java.lang.Object[]]",mWhereArguments,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,"Set/3[com.activeandroid.query.Update,java.lang.String,java.lang.Object[]]",mSetArguments,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,"Set/3[com.activeandroid.query.Update,java.lang.String,java.lang.Object[]]",mSet,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,"Set/3[com.activeandroid.query.Update,java.lang.String,java.lang.Object[]]",mUpdate,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,getArguments/0,mWhereArguments,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,getArguments/0,mSetArguments,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,toSql/0,mWhere,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,toSql/0,mSet,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,toSql/0,mUpdate,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,where/1[java.lang.String],mWhereArguments,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,where/1[java.lang.String],mWhere,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Select.java,com.activeandroid.query.Select,Select/1[java.lang.String[]],mColumns,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Select.java,com.activeandroid.query.Select,distinct/0,mAll,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Select.java,com.activeandroid.query.Select,distinct/0,mDistinct,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Select.java,com.activeandroid.query.Select,all/0,mAll,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Select.java,com.activeandroid.query.Select,all/0,mDistinct,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Select.java,com.activeandroid.query.Select,Select/1[com.activeandroid.query.Select.Column[]],mColumns,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Select.java,com.activeandroid.query.Select,toSql/0,mColumns,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Select.java,com.activeandroid.query.Select,toSql/0,mAll,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Select.java,com.activeandroid.query.Select,toSql/0,mDistinct,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/Configuration.java,com.activeandroid.Configuration$Builder,create/0,mModelClasses,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/Configuration.java,com.activeandroid.Configuration$Builder,create/0,mCacheSize,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/Configuration.java,com.activeandroid.Configuration$Builder,create/0,AA_MODELS,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/Configuration.java,com.activeandroid.Configuration$Builder,create/0,mDatabaseName,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/Configuration.java,com.activeandroid.Configuration$Builder,create/0,AA_SERIALIZERS,1
