file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,"Set/2[com.activeandroid.query.Update,java.lang.String]",set,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,"Set/2[com.activeandroid.query.Update,java.lang.String]",queryBase,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,"where/2[java.lang.String,java.lang.Object[]]",args,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,"where/2[java.lang.String,java.lang.Object[]]",where,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,"Set/3[com.activeandroid.query.Update,java.lang.String,java.lang.Object[]]",args,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,"Set/3[com.activeandroid.query.Update,java.lang.String,java.lang.Object[]]",set,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,"Set/3[com.activeandroid.query.Update,java.lang.String,java.lang.Object[]]",queryBase,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,getArguments/0,args,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,getArguments/0,setSize,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,getArguments/0,whereSize,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,getArguments/0,i,9
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,toSql/0,sql,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Set.java,com.activeandroid.query.Set,where/1[java.lang.String],where,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Select.java,com.activeandroid.query.Select,from/1[java.lang.Class<? extends com.activeandroid.Model>],table,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ActiveAndroid/src/com/activeandroid/query/Select.java,com.activeandroid.query.Select,Select/1[java.lang.String[]],columns,1
