file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/importers/DatabaseImporterEntryException.java,com.beemdevelopment.aegis.importers.DatabaseImporterEntryException,class,0,18,18,0,3,3,0,0,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,14,1,0,0,0,0,0,0,2,0,1,0,0,0,0,11,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/ImportEntriesActivity.java,com.beemdevelopment.aegis.ui.ImportEntriesActivity,class,36,39,3,36,48,3,0,113,33,0.7818182,0.6666667,1.0,11,0,2,8,1,0,3,0,0,0,5,0,0,5,0,0,0,0,10,270,8,7,8,5,1,3,3,35,0,53,4,3,0,11,122,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aegis/app/src/test/java/com/beemdevelopment/aegis/helpers/QrCodeAnalyzerTest.java,com.beemdevelopment.aegis.helpers.QrCodeAnalyzerTest,class,9,10,1,9,4,1,0,11,3,0.6666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,1,84,1,0,0,1,0,7,9,9,0,9,1,0,2,1,67,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/helpers/EditTextHelper.java,com.beemdevelopment.aegis.helpers.EditTextHelper,class,4,8,4,4,4,1,0,5,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,15,2,0,1,0,0,0,3,4,0,4,0,0,0,0,16,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/fragments/preferences/ImportExportPreferencesFragment.java,com.beemdevelopment.aegis.ui.fragments.preferences.ImportExportPreferencesFragment$FinishExportCallback,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/MainActivity.java,com.beemdevelopment.aegis.ui.MainActivity$ActionModeBackPressHandler,innerclass,1,1,0,1,3,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12,2,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/importers/AegisImporter.java,com.beemdevelopment.aegis.importers.AegisImporter$DecryptedState,innerclass,12,12,0,12,17,2,0,17,11,0.6666667,0.0,0.0,6,2,2,4,0,0,2,0,0,0,2,0,0,2,0,0,0,0,4,71,4,3,0,5,0,3,2,11,0,11,5,0,0,0,34,9,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/fragments/preferences/ImportExportPreferencesFragment.java,com.beemdevelopment.aegis.ui.fragments.preferences.ImportExportPreferencesFragment$Anonymous1,anonymous,7,7,0,7,4,1,0,9,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,1,1,0,0,0,1,0,2,2,0,0,1,16,-1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aegis/app/src/main/java/com/beemdevelopment/aegis/ui/views/IconRecyclerView.java,com.beemdevelopment.aegis.ui.views.IconRecyclerView,class,10,13,3,10,9,2,0,10,13,0.6666667,0.13333334,0.2,7,0,5,1,1,0,6,0,0,0,3,0,0,3,0,0,0,0,1,40,2,0,1,0,0,1,6,6,1,5,1,0,0,0,31,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aegis/app/src/test/java/com/beemdevelopment/aegis/PreferencesTest.java,com.beemdevelopment.aegis.PreferencesTest,class,7,7,0,7,1,1,0,16,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,1,2,7,4,5,0,0,0,0,24,1,0
