file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/DirectedGraph.java,ds.graph.DirectedGraph,"removeEdge/2[java.lang.Integer,java.lang.Integer]",vertexMap,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/DirectedGraph.java,ds.graph.DirectedGraph,size/0,vertexMap,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/DirectedGraph.java,ds.graph.DirectedGraph,"addEdge/2[java.lang.Integer,java.lang.Integer]",vertexMap,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/DirectedGraph.java,ds.graph.DirectedGraph,getVertices/0,vertexMap,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/DirectedGraph.java,ds.graph.DirectedGraph,addVertex/1[java.lang.Integer],vertexMap,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/DirectedGraph.java,ds.graph.DirectedGraph,getNeighbors/1[java.lang.Integer],vertexMap,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/ShortestWordDistance2.java,problems.medium.ShortestWordDistance2,"shortest/2[java.lang.String,java.lang.String]",map,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/ShortestWordDistance2.java,problems.medium.ShortestWordDistance2,ShortestWordDistance2/1[java.lang.String[]],map,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/WordDictionary.java,problems.medium.WordDictionary,search/1[java.lang.String],root,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/WordDictionary.java,problems.medium.WordDictionary,addWord/1[java.lang.String],root,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/WordDictionary.java,problems.medium.WordDictionary,WordDictionary/0,root,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/contests/facebookHC/ProgressPie.java,contests.facebookHC.ProgressPie$FastReader,nextLine/0,bf,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/contests/facebookHC/ProgressPie.java,contests.facebookHC.ProgressPie$FastReader,next/0,st,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/contests/facebookHC/ProgressPie.java,contests.facebookHC.ProgressPie$FastReader,next/0,bf,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/contests/facebookHC/ProgressPie.java,contests.facebookHC.ProgressPie$FastReader,FastReader/0,bf,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/contests/facebookHC/LazyLoading.java,contests.facebookHC.LazyLoading$FastReader,next/0,st,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/contests/facebookHC/LazyLoading.java,contests.facebookHC.LazyLoading$FastReader,next/0,bf,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/contests/facebookHC/LazyLoading.java,contests.facebookHC.LazyLoading$FastReader,FastReader/0,bf,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/contests/facebookHC/LazyLoading.java,contests.facebookHC.LazyLoading$FastReader,nextLine/0,bf,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/easy/FileSystem.java,problems.easy.FileSystem$Node,Node/1[java.lang.String],name,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/codeforces/LRU.java,codeforces.LRU$Node,Node/1[int],val,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/easy/ImplementQueueusingStacks.java,problems.easy.ImplementQueueusingStacks$MyQueue,empty/0,stack,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/easy/ImplementQueueusingStacks.java,problems.easy.ImplementQueueusingStacks$MyQueue,push/1[int],stack,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/easy/ImplementQueueusingStacks.java,problems.easy.ImplementQueueusingStacks$MyQueue,push/1[int],peek,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/easy/ImplementQueueusingStacks.java,problems.easy.ImplementQueueusingStacks$MyQueue,MyQueue/0,stack,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/easy/ImplementQueueusingStacks.java,problems.easy.ImplementQueueusingStacks$MyQueue,MyQueue/0,helper,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/easy/ImplementQueueusingStacks.java,problems.easy.ImplementQueueusingStacks$MyQueue,peek/0,peek,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/easy/ImplementQueueusingStacks.java,problems.easy.ImplementQueueusingStacks$MyQueue,pop/0,stack,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/easy/ImplementQueueusingStacks.java,problems.easy.ImplementQueueusingStacks$MyQueue,pop/0,helper,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/easy/ImplementQueueusingStacks.java,problems.easy.ImplementQueueusingStacks$MyQueue,pop/0,peek,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/FriendsCycle.java,problems.medium.FriendsCycle,findCircleNum/1[int[][]],data,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/FriendsCycle.java,problems.medium.FriendsCycle,findCircleNum/1[int[][]],count,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/FriendsCycle.java,problems.medium.FriendsCycle,"connect/2[int,int]",data,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/FriendsCycle.java,problems.medium.FriendsCycle,"connect/2[int,int]",count,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/FriendsCycle.java,problems.medium.FriendsCycle,find/1[int],data,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/Vertex.java,ds.graph.Vertex,Vertex/1[T],neighbors,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/Vertex.java,ds.graph.Vertex,Vertex/1[T],value,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/Vertex.java,ds.graph.Vertex,setValue/1[T],value,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/Vertex.java,ds.graph.Vertex,hashCode/0,value,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/Vertex.java,ds.graph.Vertex,equals/1[java.lang.Object],value,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/Vertex.java,ds.graph.Vertex,getWeight/0,weight,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/Vertex.java,ds.graph.Vertex,toString/0,value,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/Vertex.java,ds.graph.Vertex,setVisited/1[boolean],visited,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/Vertex.java,ds.graph.Vertex,setWeight/1[java.lang.Number],weight,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/Vertex.java,ds.graph.Vertex,getParent/0,parent,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/Vertex.java,ds.graph.Vertex,isVisited/0,visited,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/Vertex.java,ds.graph.Vertex,compareTo/1[ds.graph.Vertex<T>],weight,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/Vertex.java,ds.graph.Vertex,getValue/0,value,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/Vertex.java,ds.graph.Vertex,setParent/1[ds.graph.Vertex],parent,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/Vertex.java,ds.graph.Vertex,removeNeighrbor/1[ds.graph.Vertex<T>],neighbors,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/Vertex.java,ds.graph.Vertex,addNeighbor/1[ds.graph.Vertex<T>],neighbors,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/graph/Vertex.java,ds.graph.Vertex,getNeighbors/0,neighbors,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/contests/facebookHC/Round1Test003.java,contests.facebookHC.Round1Test003$FastReader,next/0,st,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/contests/facebookHC/Round1Test003.java,contests.facebookHC.Round1Test003$FastReader,next/0,bf,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/contests/facebookHC/Round1Test003.java,contests.facebookHC.Round1Test003$FastReader,FastReader/0,bf,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/contests/facebookHC/Round1Test003.java,contests.facebookHC.Round1Test003$FastReader,nextLine/0,bf,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/TwoKeysKeyboard.java,problems.medium.TwoKeysKeyboard$Node,hashCode/0,val,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/TwoKeysKeyboard.java,problems.medium.TwoKeysKeyboard$Node,hashCode/0,copyVal,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/TwoKeysKeyboard.java,problems.medium.TwoKeysKeyboard$Node,"Node/3[int,int,int]",val,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/TwoKeysKeyboard.java,problems.medium.TwoKeysKeyboard$Node,"Node/3[int,int,int]",copyVal,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/TwoKeysKeyboard.java,problems.medium.TwoKeysKeyboard$Node,"Node/3[int,int,int]",step,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/TwoKeysKeyboard.java,problems.medium.TwoKeysKeyboard$Node,equals/1[java.lang.Object],val,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/TwoKeysKeyboard.java,problems.medium.TwoKeysKeyboard$Node,equals/1[java.lang.Object],copyVal,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/algo/graph/IsConnected.java,algo.graph.IsConnected,IsConnected/1[ds.graph.Graph],graph,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/algo/graph/IsConnected.java,algo.graph.IsConnected,isConnected/0,graph,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/hard/BinaryTreeMaximumPathSum.java,problems.hard.BinaryTreeMaximumPathSum,find/1[problems.utils.TreeNode],max,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/hard/BinaryTreeMaximumPathSum.java,problems.hard.BinaryTreeMaximumPathSum,maxPathSum/1[problems.utils.TreeNode],max,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/BST.java,ds.BST$Node,"Node/2[K,ds.BST<K>.Node]",parent,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/ds/BST.java,ds.BST$Node,"Node/2[K,ds.BST<K>.Node]",value,1
