file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/SubSets.java,problems.medium.SubSets,"generate/4[int[],boolean[],java.util.List<java.util.List<java.lang.Integer>>,int]",a,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/SubSets.java,problems.medium.SubSets,"generate/4[int[],boolean[],java.util.List<java.util.List<java.lang.Integer>>,int]",b,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/SubSets.java,problems.medium.SubSets,"generate/4[int[],boolean[],java.util.List<java.util.List<java.lang.Integer>>,int]",i,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/SubSets.java,problems.medium.SubSets,"generate/4[int[],boolean[],java.util.List<java.util.List<java.lang.Integer>>,int]",list,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/SubSets.java,problems.medium.SubSets,"generate/4[int[],boolean[],java.util.List<java.util.List<java.lang.Integer>>,int]",l,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/SubSets.java,problems.medium.SubSets,"generate/4[int[],boolean[],java.util.List<java.util.List<java.lang.Integer>>,int]",n,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/SubSets.java,problems.medium.SubSets,subsets/1[int[]],a,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/SubSets.java,problems.medium.SubSets,subsets/1[int[]],b,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/SubSets.java,problems.medium.SubSets,subsets/1[int[]],list,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/AddTwoNumbers2.java,problems.medium.AddTwoNumbers2,"addTwoNumbers/2[problems.medium.ListNode,problems.medium.ListNode]",val,10
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/AddTwoNumbers2.java,problems.medium.AddTwoNumbers2,"addTwoNumbers/2[problems.medium.ListNode,problems.medium.ListNode]",nn,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/AddTwoNumbers2.java,problems.medium.AddTwoNumbers2,"addTwoNumbers/2[problems.medium.ListNode,problems.medium.ListNode]",l1,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AlgoDS/src/problems/medium/AddTwoNumbers2.java,problems.medium.AddTwoNumbers2,"addTwoNumbers/2[problems.medium.ListNode,problems.medium.ListNode]",l2,6
