file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/PatcherAPI.java,com.aliucord.api.PatcherAPI$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/utils/MapUtils.java,com.aliucord.utils.MapUtils,class,4,5,1,4,3,1,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,2,1,0,0,0,0,0,0,0,0,2,0,0,0,26,17,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Injector/src/main/java/com/discord/app/App$a.java,com.discord.app.App$a,class,1,1,0,1,2,1,0,1,0,0.0,0.0,0.0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,17,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/PatcherAPI.java,com.aliucord.api.PatcherAPI$Anonymous2,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/installer/android/app/src/main/java/com/aliucord/installer/Signer.java,com.aliucord.installer.Signer,class,19,20,1,19,14,1,0,68,19,0.71428573,0.0,0.0,7,7,2,5,0,0,2,0,0,0,1,1,0,1,0,0,1,0,19,135,5,5,0,5,0,27,16,56,4,52,2,0,0,0,122,17,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/entities/Plugin.java,com.aliucord.entities.Plugin$Manifest$Author,innerclass,1,1,0,1,4,1,0,0,0,0.41666666,1.0,1.0,4,0,4,0,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,19,1,0,0,0,0,0,1,3,0,3,0,0,0,0,23,9,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/utils/ChannelUtils.java,com.aliucord.utils.ChannelUtils,class,3,3,0,3,6,1,0,6,15,0.0,0.0,0.0,6,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,1,0,0,0,0,0,0,0,0,20,17,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/installer/android/app/src/main/java/com/aliucord/installer/Action1.java,com.aliucord.installer.Action1,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI$CommandResult,innerclass,3,3,0,3,6,1,0,0,0,0.47222224,0.6666667,0.6666667,6,0,6,0,0,0,6,0,0,0,6,0,6,0,0,0,0,0,0,40,0,0,0,0,0,0,0,18,0,6,0,0,0,0,56,9,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/PluginManager.java,com.aliucord.PluginManager,class,30,35,5,30,39,1,0,48,0,0.65384614,0.6025641,0.7051282,13,13,11,0,0,2,13,0,0,0,4,4,4,0,0,0,4,0,24,156,8,2,2,10,4,37,0,22,23,21,3,0,0,1,151,1,14
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/fragments/InputDialog.java,com.aliucord.fragments.InputDialog,class,14,15,1,14,25,2,0,33,36,0.7916667,0.058333334,0.23333333,16,0,16,0,0,0,16,0,6,0,9,1,0,9,0,0,1,0,1,85,13,0,9,0,4,7,4,12,1,14,2,0,1,2,113,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/Http.java,com.aliucord.Http,class,4,6,2,4,9,4,0,13,36,0.0,0.0,0.0,9,9,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,338,8,0,0,0,0,4,0,2,0,2,0,0,5,0,55,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/views/TextInput.java,com.aliucord.views.TextInput$Anonymous1,anonymous,2,2,0,2,3,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/Http.java,com.aliucord.Http$Response,innerclass,9,9,0,9,31,1,0,29,77,0.8333333,0.043956045,0.06593407,14,0,14,0,0,0,14,0,0,0,3,0,2,1,0,0,3,0,8,81,8,0,2,5,0,10,3,13,3,13,4,0,0,0,131,9,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/updater/Updater.java,com.aliucord.updater.Updater,class,6,8,2,6,22,1,0,14,11,0.5714286,0.0,0.0,7,7,6,1,0,0,6,0,0,0,2,2,0,2,0,0,0,0,12,64,14,1,2,3,0,12,1,14,0,11,3,0,1,0,100,1,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/utils/MDUtils.java,com.aliucord.utils.MDUtils,class,15,17,2,15,8,1,0,9,0,0.0,0.0,0.0,2,2,2,0,0,0,3,0,0,0,2,2,1,1,0,0,0,0,2,37,3,0,3,2,0,5,2,4,0,4,1,0,1,0,43,17,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/entities/Plugin.java,com.aliucord.entities.Plugin$Manifest,innerclass,1,1,0,1,2,1,0,0,1,0.9375,0.0,0.0,2,0,2,0,0,0,2,0,0,0,8,0,8,0,0,0,0,0,0,34,0,0,0,0,0,2,0,4,0,8,0,0,1,0,40,9,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/CollectionUtils.java,com.aliucord.CollectionUtils,class,7,10,3,7,31,1,0,15,66,0.0,0.0,0.0,12,12,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,71,16,10,1,0,0,1,6,13,3,11,2,0,0,0,91,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/settings/Updater.java,com.aliucord.settings.Updater,class,8,9,1,8,11,3,0,43,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,98,4,1,5,1,0,27,8,21,1,18,5,0,0,9,68,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/patcher/Patcher.java,com.aliucord.patcher.Patcher,class,4,10,6,4,5,1,0,8,1,0.5,0.33333334,0.33333334,3,3,3,0,0,0,3,0,0,0,2,2,1,1,0,0,2,0,3,25,5,0,0,2,0,1,0,2,0,2,1,0,0,0,38,1,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/updater/Updater.java,com.aliucord.updater.Updater$AliucordData,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,10,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/entities/Plugin.java,com.aliucord.entities.Plugin$SettingsTab$Type,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/entities/NotificationData.java,com.aliucord.entities.NotificationData,class,8,11,3,8,28,1,0,0,350,0.9285715,0.037037037,0.037037037,28,0,28,0,0,0,28,0,0,0,14,0,0,14,0,0,0,0,0,114,28,0,0,0,0,2,1,16,0,14,0,0,0,0,66,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/utils/MDUtils.java,com.aliucord.utils.MDUtils$RenderContext,innerclass,2,2,0,2,2,1,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,9,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/entities/MessageEmbedBuilder.java,com.aliucord.entities.MessageEmbedBuilder,class,13,14,1,13,61,1,0,31,358,0.9166668,0.20168068,0.20168068,36,2,35,1,0,0,35,0,0,0,15,14,0,15,0,0,1,0,31,320,35,0,2,21,1,38,14,32,1,30,4,0,0,0,92,1,20
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/views/ToolbarButton.java,com.aliucord.views.ToolbarButton,class,6,10,4,6,5,2,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,1,1,0,0,1,0,0,0,22,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/coreplugins/TokenLogin.java,com.aliucord.coreplugins.TokenLogin$Page,innerclass,7,7,0,7,9,2,0,16,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,33,2,0,4,0,0,8,5,4,0,6,3,0,0,2,25,9,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/fragments/SettingsPage.java,com.aliucord.fragments.SettingsPage,class,18,21,3,18,27,2,2,37,154,0.85714287,0.13333334,0.13333334,21,0,21,0,0,0,21,0,18,0,4,1,0,4,0,0,1,0,0,97,7,0,6,0,2,8,7,9,2,8,2,0,0,0,131,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/utils/ReflectUtils.java,com.aliucord.utils.ReflectUtils,class,5,12,7,5,19,1,0,22,66,0.9166667,0.0,0.0,12,12,12,0,0,0,12,0,0,0,3,3,0,3,0,0,0,0,8,85,9,2,2,3,0,8,2,16,0,13,3,0,0,0,135,17,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/widgets/PluginCard.java,com.aliucord.widgets.PluginCard,class,13,15,2,13,1,2,0,30,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,9,0,9,0,0,0,9,0,0,59,0,0,0,0,0,3,15,14,1,14,0,0,0,0,41,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Injector/src/main/java/kotlin/Unit.java,kotlin.Unit,class,1,3,2,1,1,1,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,2,0,0,0,2,0,0,7,1,0,0,0,0,2,0,2,0,2,0,0,0,0,11,17,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/views/TextInput.java,com.aliucord.views.TextInput,class,14,17,3,14,17,2,0,25,64,0.8333333,0.015151516,0.015151516,12,0,12,0,0,0,12,0,0,0,1,0,1,0,0,0,0,0,0,64,6,0,4,0,2,6,2,2,0,3,1,1,0,1,61,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/entities/Plugin.java,com.aliucord.entities.Plugin,class,12,21,9,12,15,1,0,4,39,0.8777778,0.022222223,0.022222223,10,0,10,0,0,0,10,2,0,0,9,0,6,1,2,0,4,0,0,108,4,0,5,0,0,4,0,8,0,10,2,0,2,0,102,1025,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/NotificationsAPI.java,com.aliucord.api.NotificationsAPI,class,3,5,2,3,6,1,0,21,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,4,0,4,1,4,0,1,1,1,0,0,1,23,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/Constants.java,com.aliucord.Constants$Fonts,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,9,9,8,1,0,0,9,0,0,11,0,0,0,0,0,0,8,9,7,9,0,0,0,0,12,25,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/fragments/ConfirmDialog.java,com.aliucord.fragments.ConfirmDialog,class,10,12,2,10,17,2,0,16,4,0.72619045,0.07575758,0.22727273,12,0,12,0,0,0,12,0,5,0,7,1,0,7,0,0,1,0,0,61,10,0,4,0,0,6,0,10,0,11,0,0,0,2,114,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/updater/PluginUpdater.java,com.aliucord.updater.PluginUpdater$UpdateInfo,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,9,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/installer/android/app/src/main/java/com/aliucord/installer/KeySet.java,com.aliucord.installer.KeySet,class,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,9,17,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/installer/android/app/src/main/java/com/aliucord/installer/MainActivity.java,com.aliucord.installer.MainActivity,class,24,24,0,24,46,2,0,68,0,0.25,1.0,1.0,2,0,1,0,1,0,2,0,0,0,2,0,2,0,0,0,0,0,1,207,1,9,9,4,4,84,19,39,15,39,6,0,0,11,85,17,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/widgets/UpdaterPluginCard.java,com.aliucord.widgets.UpdaterPluginCard,class,12,13,1,12,7,2,0,40,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,92,0,0,4,2,0,7,17,19,4,18,3,0,0,3,56,1,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/coreplugins/TokenLogin.java,com.aliucord.coreplugins.TokenLogin,class,14,15,1,14,6,3,0,23,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,62,0,0,0,0,3,7,6,6,0,8,2,0,1,3,41,17,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI,class,31,33,2,31,44,1,0,73,46,0.8712122,0.11111111,0.16666667,12,6,9,3,0,0,9,0,0,0,11,9,9,2,0,0,6,0,15,206,8,3,15,6,0,40,11,38,3,37,7,0,1,3,145,1,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/discord/widgets/user/WidgetKickUser$binding$2.java,com.discord.widgets.user.WidgetKickUser$binding$2,class,3,5,2,3,1,1,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,16,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/Http.java,com.aliucord.Http$Request,innerclass,7,7,0,7,31,1,0,52,175,0.6363636,0.13333334,0.13333334,22,7,21,1,0,0,21,0,0,0,1,0,1,0,0,0,1,0,11,107,18,2,0,2,0,41,3,10,3,10,4,0,0,0,182,9,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/PatcherAPI.java,com.aliucord.api.PatcherAPI,class,8,10,2,8,9,1,0,7,22,0.75,0.0,0.0,8,0,6,2,0,0,6,0,0,0,2,0,2,0,0,0,1,0,4,45,6,1,0,0,1,1,0,5,0,5,1,2,0,0,54,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/Constants.java,com.aliucord.Constants$Icons,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,9,25,0
