file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/installer/android/app/src/main/java/com/aliucord/installer/Signer.java,com.aliucord.installer.Signer,signApk/1[java.io.File],stripPattern,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/entities/Plugin.java,com.aliucord.entities.Plugin$Manifest$Author,Author/1[java.lang.String],name,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/entities/Plugin.java,com.aliucord.entities.Plugin$Manifest$Author,toString/0,name,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/entities/Plugin.java,com.aliucord.entities.Plugin$Manifest$Author,"Author/3[java.lang.String,long,boolean]",hyperlink,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/entities/Plugin.java,com.aliucord.entities.Plugin$Manifest$Author,"Author/3[java.lang.String,long,boolean]",name,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/entities/Plugin.java,com.aliucord.entities.Plugin$Manifest$Author,"Author/3[java.lang.String,long,boolean]",id,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/entities/Plugin.java,com.aliucord.entities.Plugin$Manifest$Author,"Author/2[java.lang.String,long]",name,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/entities/Plugin.java,com.aliucord.entities.Plugin$Manifest$Author,"Author/2[java.lang.String,long]",id,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI$CommandResult,CommandResult/1[java.lang.String],content,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI$CommandResult,"CommandResult/5[java.lang.String,java.util.List<com.aliucord.api.MessageEmbed>,boolean,java.lang.String,java.lang.String]",avatarUrl,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI$CommandResult,"CommandResult/5[java.lang.String,java.util.List<com.aliucord.api.MessageEmbed>,boolean,java.lang.String,java.lang.String]",embeds,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI$CommandResult,"CommandResult/5[java.lang.String,java.util.List<com.aliucord.api.MessageEmbed>,boolean,java.lang.String,java.lang.String]",send,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI$CommandResult,"CommandResult/5[java.lang.String,java.util.List<com.aliucord.api.MessageEmbed>,boolean,java.lang.String,java.lang.String]",content,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI$CommandResult,"CommandResult/5[java.lang.String,java.util.List<com.aliucord.api.MessageEmbed>,boolean,java.lang.String,java.lang.String]",username,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI$CommandResult,"CommandResult/3[java.lang.String,java.util.List<com.aliucord.api.MessageEmbed>,boolean]",embeds,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI$CommandResult,"CommandResult/3[java.lang.String,java.util.List<com.aliucord.api.MessageEmbed>,boolean]",send,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI$CommandResult,"CommandResult/3[java.lang.String,java.util.List<com.aliucord.api.MessageEmbed>,boolean]",content,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI$CommandResult,"CommandResult/4[java.lang.String,java.util.List<com.aliucord.api.MessageEmbed>,boolean,java.lang.String]",embeds,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI$CommandResult,"CommandResult/4[java.lang.String,java.util.List<com.aliucord.api.MessageEmbed>,boolean,java.lang.String]",send,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI$CommandResult,"CommandResult/4[java.lang.String,java.util.List<com.aliucord.api.MessageEmbed>,boolean,java.lang.String]",content,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI$CommandResult,"CommandResult/4[java.lang.String,java.util.List<com.aliucord.api.MessageEmbed>,boolean,java.lang.String]",username,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI$CommandResult,"CommandResult/6[java.lang.String,java.util.List<com.aliucord.api.MessageEmbed>,boolean,java.lang.String,java.lang.String,java.util.List<ButtonsAPI.ButtonData>]",buttons,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI$CommandResult,"CommandResult/6[java.lang.String,java.util.List<com.aliucord.api.MessageEmbed>,boolean,java.lang.String,java.lang.String,java.util.List<ButtonsAPI.ButtonData>]",avatarUrl,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI$CommandResult,"CommandResult/6[java.lang.String,java.util.List<com.aliucord.api.MessageEmbed>,boolean,java.lang.String,java.lang.String,java.util.List<ButtonsAPI.ButtonData>]",embeds,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI$CommandResult,"CommandResult/6[java.lang.String,java.util.List<com.aliucord.api.MessageEmbed>,boolean,java.lang.String,java.lang.String,java.util.List<ButtonsAPI.ButtonData>]",send,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI$CommandResult,"CommandResult/6[java.lang.String,java.util.List<com.aliucord.api.MessageEmbed>,boolean,java.lang.String,java.lang.String,java.util.List<ButtonsAPI.ButtonData>]",content,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/api/CommandsAPI.java,com.aliucord.api.CommandsAPI$CommandResult,"CommandResult/6[java.lang.String,java.util.List<com.aliucord.api.MessageEmbed>,boolean,java.lang.String,java.lang.String,java.util.List<ButtonsAPI.ButtonData>]",username,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/PluginManager.java,com.aliucord.PluginManager,startPlugin/1[java.lang.String],plugins,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/PluginManager.java,com.aliucord.PluginManager,startPlugin/1[java.lang.String],logger,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/PluginManager.java,com.aliucord.PluginManager,isPluginEnabled/1[java.lang.String],plugins,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/PluginManager.java,com.aliucord.PluginManager,"loadPlugin/2[com.aliucord.Context,java.io.File]",failedToLoad,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/PluginManager.java,com.aliucord.PluginManager,"loadPlugin/2[com.aliucord.Context,java.io.File]",plugins,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/PluginManager.java,com.aliucord.PluginManager,"loadPlugin/2[com.aliucord.Context,java.io.File]",logger,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/PluginManager.java,com.aliucord.PluginManager,"loadPlugin/2[com.aliucord.Context,java.io.File]",classLoaders,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/PluginManager.java,com.aliucord.PluginManager,enablePlugin/1[java.lang.String],logger,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/PluginManager.java,com.aliucord.PluginManager,disablePlugin/1[java.lang.String],logger,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/PluginManager.java,com.aliucord.PluginManager,isPluginEnabled/1[com.aliucord.entities.Plugin],plugins,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/PluginManager.java,com.aliucord.PluginManager,remountPlugin/1[java.lang.String],plugins,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Aliucord/Aliucord/src/main/java/com/aliucord/PluginManager.java,com.aliucord.PluginManager,startCorePlugins/0,plugins,1
