file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/util/MediaType.java,com.yanzhenjie.andserver.util.MediaType,removeQualityValue/0,PARAM_QUALITY_FACTOR,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/util/MediaType.java,com.yanzhenjie.andserver.util.MediaType,sortByQualityValue/1[java.util.List<com.yanzhenjie.andserver.util.MediaType>],QUALITY_VALUE_COMPARATOR,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/util/MediaType.java,com.yanzhenjie.andserver.util.MediaType,"MediaType/3[java.lang.String,java.lang.String,double]",PARAM_QUALITY_FACTOR,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/util/MediaType.java,com.yanzhenjie.andserver.util.MediaType,"checkParameters/2[java.lang.String,java.lang.String]",PARAM_QUALITY_FACTOR,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/util/MediaType.java,com.yanzhenjie.andserver.util.MediaType,copyQualityValue/1[com.yanzhenjie.andserver.util.MediaType],PARAM_QUALITY_FACTOR,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/util/MediaType.java,com.yanzhenjie.andserver.util.MediaType,sortBySpecificity/1[java.util.List<com.yanzhenjie.andserver.util.MediaType>],SPECIFICITY_COMPARATOR,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/util/MediaType.java,com.yanzhenjie.andserver.util.MediaType,getQualityValue/0,PARAM_QUALITY_FACTOR,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/processor/src/main/java/com/yanzhenjie/andserver/processor/mapping/Null.java,com.yanzhenjie.andserver.processor.mapping.Null,Null/1[boolean],isRest,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/processor/src/main/java/com/yanzhenjie/andserver/processor/mapping/Null.java,com.yanzhenjie.andserver.processor.mapping.Null,isRest/0,isRest,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/server/BasicServer.java,com.yanzhenjie.andserver.server.BasicServer$Builder,port/1[int],port,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/server/BasicServer.java,com.yanzhenjie.andserver.server.BasicServer$Builder,listener/1[com.yanzhenjie.andserver.Server.ServerListener],listener,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/server/BasicServer.java,com.yanzhenjie.andserver.server.BasicServer$Builder,inetAddress/1[java.net.InetAddress],inetAddress,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/server/BasicServer.java,com.yanzhenjie.andserver.server.BasicServer$Builder,"timeout/2[int,java.util.concurrent.TimeUnit]",timeout,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/server/BasicServer.java,com.yanzhenjie.andserver.server.BasicServer$Builder,sslSocketInitializer/1[com.yanzhenjie.andserver.SSLSocketInitializer],mSSLSocketInitializer,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/server/BasicServer.java,com.yanzhenjie.andserver.server.BasicServer$Builder,serverSocketFactory/1[javax.net.ServerSocketFactory],mSocketFactory,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/server/BasicServer.java,com.yanzhenjie.andserver.server.BasicServer$Builder,sslContext/1[javax.net.ssl.SSLContext],sslContext,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/framework/body/StreamBody.java,com.yanzhenjie.andserver.framework.body.StreamBody,writeTo/1[java.io.OutputStream],mStream,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/framework/body/StreamBody.java,com.yanzhenjie.andserver.framework.body.StreamBody,"StreamBody/4[java.io.InputStream,boolean,long,com.yanzhenjie.andserver.util.MediaType]",mChunked,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/framework/body/StreamBody.java,com.yanzhenjie.andserver.framework.body.StreamBody,"StreamBody/4[java.io.InputStream,boolean,long,com.yanzhenjie.andserver.util.MediaType]",mLength,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/framework/body/StreamBody.java,com.yanzhenjie.andserver.framework.body.StreamBody,"StreamBody/4[java.io.InputStream,boolean,long,com.yanzhenjie.andserver.util.MediaType]",mStream,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/framework/body/StreamBody.java,com.yanzhenjie.andserver.framework.body.StreamBody,"StreamBody/4[java.io.InputStream,boolean,long,com.yanzhenjie.andserver.util.MediaType]",mMediaType,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/framework/body/StreamBody.java,com.yanzhenjie.andserver.framework.body.StreamBody,contentType/0,mMediaType,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/framework/body/StreamBody.java,com.yanzhenjie.andserver.framework.body.StreamBody,isChunked/0,mChunked,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/framework/body/StreamBody.java,com.yanzhenjie.andserver.framework.body.StreamBody,contentLength/0,mLength,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/framework/body/StreamBody.java,com.yanzhenjie.andserver.framework.body.StreamBody,contentLength/0,mStream,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/http/multipart/BodyContext.java,com.yanzhenjie.andserver.http.multipart.BodyContext,BodyContext/1[com.yanzhenjie.andserver.http.RequestBody],mBody,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/http/multipart/BodyContext.java,com.yanzhenjie.andserver.http.multipart.BodyContext,getCharacterEncoding/0,mBody,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/http/multipart/BodyContext.java,com.yanzhenjie.andserver.http.multipart.BodyContext,getInputStream/0,mBody,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/http/multipart/BodyContext.java,com.yanzhenjie.andserver.http.multipart.BodyContext,getContentType/0,mBody,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/http/multipart/BodyContext.java,com.yanzhenjie.andserver.http.multipart.BodyContext,contentLength/0,mBody,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/http/StandardResponse.java,com.yanzhenjie.andserver.http.StandardResponse$BodyToEntity,getContentLength/0,mBody,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/http/StandardResponse.java,com.yanzhenjie.andserver.http.StandardResponse$BodyToEntity,BodyToEntity/1[com.yanzhenjie.andserver.http.ResponseBody],mBody,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/http/StandardResponse.java,com.yanzhenjie.andserver.http.StandardResponse$BodyToEntity,isChunked/0,mBody,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/http/StandardResponse.java,com.yanzhenjie.andserver.http.StandardResponse$BodyToEntity,isRepeatable/0,mBody,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/http/StandardResponse.java,com.yanzhenjie.andserver.http.StandardResponse$BodyToEntity,getContentType/0,mBody,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/api/src/main/java/com/yanzhenjie/andserver/http/StandardResponse.java,com.yanzhenjie.andserver.http.StandardResponse$BodyToEntity,writeTo/1[java.io.OutputStream],mBody,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndServer/processor/src/main/java/com/yanzhenjie/andserver/processor/ResolverProcessor.java,com.yanzhenjie.andserver.processor.ResolverProcessor,"createRegister/2[java.lang.String,java.util.Map<java.lang.String,javax.lang.model.element.TypeElement>]",mRegisterType,1
