file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/request/BleUnnotifyRequest.java,com.inuker.bluetooth.library.connect.request.BleUnnotifyRequest,"BleUnnotifyRequest/3[java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleGeneralResponse]",mCharacterUUID,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/request/BleUnnotifyRequest.java,com.inuker.bluetooth.library.connect.request.BleUnnotifyRequest,"BleUnnotifyRequest/3[java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleGeneralResponse]",mServiceUUID,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/request/BleUnnotifyRequest.java,com.inuker.bluetooth.library.connect.request.BleUnnotifyRequest,closeNotify/0,mCharacterUUID,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/request/BleUnnotifyRequest.java,com.inuker.bluetooth.library.connect.request.BleUnnotifyRequest,closeNotify/0,mServiceUUID,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/options/BleConnectOptions.java,com.inuker.bluetooth.library.connect.options.BleConnectOptions,BleConnectOptions/1[com.inuker.bluetooth.library.connect.options.BleConnectOptions.Builder],serviceDiscoverRetry,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/options/BleConnectOptions.java,com.inuker.bluetooth.library.connect.options.BleConnectOptions,BleConnectOptions/1[com.inuker.bluetooth.library.connect.options.BleConnectOptions.Builder],connectTimeout,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/options/BleConnectOptions.java,com.inuker.bluetooth.library.connect.options.BleConnectOptions,BleConnectOptions/1[com.inuker.bluetooth.library.connect.options.BleConnectOptions.Builder],connectRetry,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/options/BleConnectOptions.java,com.inuker.bluetooth.library.connect.options.BleConnectOptions,BleConnectOptions/1[com.inuker.bluetooth.library.connect.options.BleConnectOptions.Builder],serviceDiscoverTimeout,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/options/BleConnectOptions.java,com.inuker.bluetooth.library.connect.options.BleConnectOptions,"writeToParcel/2[com.inuker.bluetooth.library.connect.options.Parcel,int]",serviceDiscoverRetry,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/options/BleConnectOptions.java,com.inuker.bluetooth.library.connect.options.BleConnectOptions,"writeToParcel/2[com.inuker.bluetooth.library.connect.options.Parcel,int]",connectTimeout,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/options/BleConnectOptions.java,com.inuker.bluetooth.library.connect.options.BleConnectOptions,"writeToParcel/2[com.inuker.bluetooth.library.connect.options.Parcel,int]",connectRetry,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/options/BleConnectOptions.java,com.inuker.bluetooth.library.connect.options.BleConnectOptions,"writeToParcel/2[com.inuker.bluetooth.library.connect.options.Parcel,int]",serviceDiscoverTimeout,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/options/BleConnectOptions.java,com.inuker.bluetooth.library.connect.options.BleConnectOptions,setServiceDiscoverTimeout/1[int],serviceDiscoverTimeout,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/options/BleConnectOptions.java,com.inuker.bluetooth.library.connect.options.BleConnectOptions,setServiceDiscoverRetry/1[int],serviceDiscoverRetry,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/options/BleConnectOptions.java,com.inuker.bluetooth.library.connect.options.BleConnectOptions,getConnectTimeout/0,connectTimeout,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/options/BleConnectOptions.java,com.inuker.bluetooth.library.connect.options.BleConnectOptions,getServiceDiscoverRetry/0,serviceDiscoverRetry,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/options/BleConnectOptions.java,com.inuker.bluetooth.library.connect.options.BleConnectOptions,BleConnectOptions/1[com.inuker.bluetooth.library.connect.options.Parcel],serviceDiscoverRetry,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/options/BleConnectOptions.java,com.inuker.bluetooth.library.connect.options.BleConnectOptions,BleConnectOptions/1[com.inuker.bluetooth.library.connect.options.Parcel],connectTimeout,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/options/BleConnectOptions.java,com.inuker.bluetooth.library.connect.options.BleConnectOptions,BleConnectOptions/1[com.inuker.bluetooth.library.connect.options.Parcel],connectRetry,1
