file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-CleanArchitecture/data/src/main/java/com/fernandocejas/android10/sample/data/net/RestApiImpl.java,com.fernandocejas.android10.sample.data.net.RestApiImpl,isThereInternetConnection/0,networkInfo,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-CleanArchitecture/data/src/main/java/com/fernandocejas/android10/sample/data/net/RestApiImpl.java,com.fernandocejas.android10.sample.data.net.RestApiImpl,isThereInternetConnection/0,isConnected,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-CleanArchitecture/data/src/main/java/com/fernandocejas/android10/sample/data/net/RestApiImpl.java,com.fernandocejas.android10.sample.data.net.RestApiImpl,isThereInternetConnection/0,connectivityManager,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-CleanArchitecture/data/src/main/java/com/fernandocejas/android10/sample/data/net/RestApiImpl.java,com.fernandocejas.android10.sample.data.net.RestApiImpl,userEntityById/1[int],responseUserDetails,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-CleanArchitecture/data/src/main/java/com/fernandocejas/android10/sample/data/net/RestApiImpl.java,com.fernandocejas.android10.sample.data.net.RestApiImpl,userEntityById/1[int],e,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-CleanArchitecture/data/src/main/java/com/fernandocejas/android10/sample/data/net/RestApiImpl.java,com.fernandocejas.android10.sample.data.net.RestApiImpl,userEntityById/1[int],userId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-CleanArchitecture/data/src/main/java/com/fernandocejas/android10/sample/data/net/RestApiImpl.java,com.fernandocejas.android10.sample.data.net.RestApiImpl,userEntityById/1[int],emitter,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-CleanArchitecture/data/src/main/java/com/fernandocejas/android10/sample/data/net/RestApiImpl.java,com.fernandocejas.android10.sample.data.net.RestApiImpl,userEntityList/0,e,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-CleanArchitecture/data/src/main/java/com/fernandocejas/android10/sample/data/net/RestApiImpl.java,com.fernandocejas.android10.sample.data.net.RestApiImpl,userEntityList/0,responseUserEntities,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-CleanArchitecture/data/src/main/java/com/fernandocejas/android10/sample/data/net/RestApiImpl.java,com.fernandocejas.android10.sample.data.net.RestApiImpl,userEntityList/0,emitter,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-CleanArchitecture/data/src/main/java/com/fernandocejas/android10/sample/data/net/RestApiImpl.java,com.fernandocejas.android10.sample.data.net.RestApiImpl,"RestApiImpl/2[com.fernandocejas.android10.sample.data.net.Context,com.fernandocejas.android10.sample.data.entity.mapper.UserEntityJsonMapper]",context,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-CleanArchitecture/data/src/main/java/com/fernandocejas/android10/sample/data/net/RestApiImpl.java,com.fernandocejas.android10.sample.data.net.RestApiImpl,"RestApiImpl/2[com.fernandocejas.android10.sample.data.net.Context,com.fernandocejas.android10.sample.data.entity.mapper.UserEntityJsonMapper]",userEntityJsonMapper,3
