file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/CBPageChangeListener.java,com.bigkoo.convenientbanner.listener.CBPageChangeListener,setOnPageChangeListener/1[com.bigkoo.convenientbanner.listener.OnPageChangeListener],onPageChangeListener,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/CBPageChangeListener.java,com.bigkoo.convenientbanner.listener.CBPageChangeListener,onPageSelected/1[int],onPageChangeListener,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/CBPageChangeListener.java,com.bigkoo.convenientbanner.listener.CBPageChangeListener,onPageSelected/1[int],pointViews,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/CBPageChangeListener.java,com.bigkoo.convenientbanner.listener.CBPageChangeListener,onPageSelected/1[int],page_indicatorId,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/CBPageChangeListener.java,com.bigkoo.convenientbanner.listener.CBPageChangeListener,"onScrolled/3[com.bigkoo.convenientbanner.listener.RecyclerView,int,int]",onPageChangeListener,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/CBPageChangeListener.java,com.bigkoo.convenientbanner.listener.CBPageChangeListener,"onScrollStateChanged/2[com.bigkoo.convenientbanner.listener.RecyclerView,int]",onPageChangeListener,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/CBPageChangeListener.java,com.bigkoo.convenientbanner.listener.CBPageChangeListener,"CBPageChangeListener/2[java.util.ArrayList<com.bigkoo.convenientbanner.listener.ImageView>,int[]]",pointViews,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/CBPageChangeListener.java,com.bigkoo.convenientbanner.listener.CBPageChangeListener,"CBPageChangeListener/2[java.util.ArrayList<com.bigkoo.convenientbanner.listener.ImageView>,int[]]",page_indicatorId,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/app/src/main/java/com/bigkoo/PtrFrameLayoutCompat.java,com.bigkoo.PtrFrameLayoutCompat,dispatchTouchEvent/1[com.bigkoo.MotionEvent],mDownY,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/app/src/main/java/com/bigkoo/PtrFrameLayoutCompat.java,com.bigkoo.PtrFrameLayoutCompat,dispatchTouchEvent/1[com.bigkoo.MotionEvent],mDownX,2
