file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/app/src/main/java/com/bigkoo/convenientbannerdemo/HeaderActivity.java,com.bigkoo.convenientbannerdemo.HeaderActivity$Anonymous2,"checkCanDoRefresh/3[com.bigkoo.convenientbannerdemo.PtrFrameLayout,com.bigkoo.convenientbannerdemo.View,com.bigkoo.convenientbannerdemo.View]",header,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/app/src/main/java/com/bigkoo/convenientbannerdemo/HeaderActivity.java,com.bigkoo.convenientbannerdemo.HeaderActivity$Anonymous2,"checkCanDoRefresh/3[com.bigkoo.convenientbannerdemo.PtrFrameLayout,com.bigkoo.convenientbannerdemo.View,com.bigkoo.convenientbannerdemo.View]",content,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/app/src/main/java/com/bigkoo/convenientbannerdemo/HeaderActivity.java,com.bigkoo.convenientbannerdemo.HeaderActivity$Anonymous2,"checkCanDoRefresh/3[com.bigkoo.convenientbannerdemo.PtrFrameLayout,com.bigkoo.convenientbannerdemo.View,com.bigkoo.convenientbannerdemo.View]",frame,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/app/src/main/java/com/bigkoo/convenientbannerdemo/HeaderActivity.java,com.bigkoo.convenientbannerdemo.HeaderActivity$Anonymous2,onRefreshBegin/1[com.bigkoo.convenientbannerdemo.PtrFrameLayout],frame,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/CBPageChangeListener.java,com.bigkoo.convenientbanner.listener.CBPageChangeListener,setOnPageChangeListener/1[com.bigkoo.convenientbanner.listener.OnPageChangeListener],onPageChangeListener,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/CBPageChangeListener.java,com.bigkoo.convenientbanner.listener.CBPageChangeListener,onPageSelected/1[int],index,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/CBPageChangeListener.java,com.bigkoo.convenientbanner.listener.CBPageChangeListener,onPageSelected/1[int],i,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/CBPageChangeListener.java,com.bigkoo.convenientbanner.listener.CBPageChangeListener,"onScrolled/3[com.bigkoo.convenientbanner.listener.RecyclerView,int,int]",dx,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/CBPageChangeListener.java,com.bigkoo.convenientbanner.listener.CBPageChangeListener,"onScrolled/3[com.bigkoo.convenientbanner.listener.RecyclerView,int,int]",dy,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/CBPageChangeListener.java,com.bigkoo.convenientbanner.listener.CBPageChangeListener,"onScrolled/3[com.bigkoo.convenientbanner.listener.RecyclerView,int,int]",recyclerView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/CBPageChangeListener.java,com.bigkoo.convenientbanner.listener.CBPageChangeListener,"onScrollStateChanged/2[com.bigkoo.convenientbanner.listener.RecyclerView,int]",recyclerView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/CBPageChangeListener.java,com.bigkoo.convenientbanner.listener.CBPageChangeListener,"onScrollStateChanged/2[com.bigkoo.convenientbanner.listener.RecyclerView,int]",newState,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/CBPageChangeListener.java,com.bigkoo.convenientbanner.listener.CBPageChangeListener,"CBPageChangeListener/2[java.util.ArrayList<com.bigkoo.convenientbanner.listener.ImageView>,int[]]",pointViews,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/CBPageChangeListener.java,com.bigkoo.convenientbanner.listener.CBPageChangeListener,"CBPageChangeListener/2[java.util.ArrayList<com.bigkoo.convenientbanner.listener.ImageView>,int[]]",page_indicatorId,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/app/src/main/java/com/bigkoo/convenientbannerdemo/HeaderActivity.java,com.bigkoo.convenientbannerdemo.HeaderActivity$Anonymous1,createHolder/1[com.bigkoo.convenientbannerdemo.View],itemView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/OnPageChangeListener.java,com.bigkoo.convenientbanner.listener.OnPageChangeListener,"onScrollStateChanged/2[com.bigkoo.convenientbanner.listener.RecyclerView,int]",recyclerView,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/OnPageChangeListener.java,com.bigkoo.convenientbanner.listener.OnPageChangeListener,"onScrollStateChanged/2[com.bigkoo.convenientbanner.listener.RecyclerView,int]",newState,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/OnPageChangeListener.java,com.bigkoo.convenientbanner.listener.OnPageChangeListener,onPageSelected/1[int],index,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/OnPageChangeListener.java,com.bigkoo.convenientbanner.listener.OnPageChangeListener,"onScrolled/3[com.bigkoo.convenientbanner.listener.RecyclerView,int,int]",dx,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/OnPageChangeListener.java,com.bigkoo.convenientbanner.listener.OnPageChangeListener,"onScrolled/3[com.bigkoo.convenientbanner.listener.RecyclerView,int,int]",dy,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/convenientbanner/src/main/java/com/bigkoo/convenientbanner/listener/OnPageChangeListener.java,com.bigkoo.convenientbanner.listener.OnPageChangeListener,"onScrolled/3[com.bigkoo.convenientbanner.listener.RecyclerView,int,int]",recyclerView,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/app/src/main/java/com/bigkoo/PtrFrameLayoutCompat.java,com.bigkoo.PtrFrameLayoutCompat,"PtrFrameLayoutCompat/2[com.bigkoo.Context,com.bigkoo.AttributeSet]",context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/app/src/main/java/com/bigkoo/PtrFrameLayoutCompat.java,com.bigkoo.PtrFrameLayoutCompat,"PtrFrameLayoutCompat/2[com.bigkoo.Context,com.bigkoo.AttributeSet]",attrs,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/app/src/main/java/com/bigkoo/PtrFrameLayoutCompat.java,com.bigkoo.PtrFrameLayoutCompat,dispatchTouchEvent/1[com.bigkoo.MotionEvent],ev,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/app/src/main/java/com/bigkoo/PtrFrameLayoutCompat.java,com.bigkoo.PtrFrameLayoutCompat,dispatchTouchEvent/1[com.bigkoo.MotionEvent],diffX,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/app/src/main/java/com/bigkoo/PtrFrameLayoutCompat.java,com.bigkoo.PtrFrameLayoutCompat,dispatchTouchEvent/1[com.bigkoo.MotionEvent],moveX,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/app/src/main/java/com/bigkoo/PtrFrameLayoutCompat.java,com.bigkoo.PtrFrameLayoutCompat,dispatchTouchEvent/1[com.bigkoo.MotionEvent],diffY,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/app/src/main/java/com/bigkoo/PtrFrameLayoutCompat.java,com.bigkoo.PtrFrameLayoutCompat,dispatchTouchEvent/1[com.bigkoo.MotionEvent],isHorizon,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ConvenientBanner/app/src/main/java/com/bigkoo/PtrFrameLayoutCompat.java,com.bigkoo.PtrFrameLayoutCompat,dispatchTouchEvent/1[com.bigkoo.MotionEvent],moveY,1
