file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-base/src/main/java/com/amitshekhar/sqlite/InMemoryDebugSQLiteDB.java,com.amitshekhar.sqlite.InMemoryDebugSQLiteDB,"rawQuery/2[java.lang.String,java.lang.String[]]",database,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-base/src/main/java/com/amitshekhar/sqlite/InMemoryDebugSQLiteDB.java,com.amitshekhar.sqlite.InMemoryDebugSQLiteDB,isOpen/0,database,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-base/src/main/java/com/amitshekhar/sqlite/InMemoryDebugSQLiteDB.java,com.amitshekhar.sqlite.InMemoryDebugSQLiteDB,"delete/3[java.lang.String,java.lang.String,java.lang.String[]]",database,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-base/src/main/java/com/amitshekhar/sqlite/InMemoryDebugSQLiteDB.java,com.amitshekhar.sqlite.InMemoryDebugSQLiteDB,"update/4[java.lang.String,com.amitshekhar.sqlite.ContentValues,java.lang.String,java.lang.String[]]",database,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-base/src/main/java/com/amitshekhar/sqlite/InMemoryDebugSQLiteDB.java,com.amitshekhar.sqlite.InMemoryDebugSQLiteDB,InMemoryDebugSQLiteDB/1[com.amitshekhar.sqlite.SupportSQLiteDatabase],database,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-base/src/main/java/com/amitshekhar/sqlite/InMemoryDebugSQLiteDB.java,com.amitshekhar.sqlite.InMemoryDebugSQLiteDB,"insert/3[java.lang.String,java.lang.String,com.amitshekhar.sqlite.ContentValues]",database,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-base/src/main/java/com/amitshekhar/sqlite/InMemoryDebugSQLiteDB.java,com.amitshekhar.sqlite.InMemoryDebugSQLiteDB,execSQL/1[java.lang.String],database,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-base/src/main/java/com/amitshekhar/sqlite/InMemoryDebugSQLiteDB.java,com.amitshekhar.sqlite.InMemoryDebugSQLiteDB,getVersion/0,database,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-encrypt/src/main/java/com/amitshekhar/debug/encrypt/sqlite/DebugEncryptSQLiteDB.java,com.amitshekhar.debug.encrypt.sqlite.DebugEncryptSQLiteDB,getVersion/0,database,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-encrypt/src/main/java/com/amitshekhar/debug/encrypt/sqlite/DebugEncryptSQLiteDB.java,com.amitshekhar.debug.encrypt.sqlite.DebugEncryptSQLiteDB,execSQL/1[java.lang.String],database,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-encrypt/src/main/java/com/amitshekhar/debug/encrypt/sqlite/DebugEncryptSQLiteDB.java,com.amitshekhar.debug.encrypt.sqlite.DebugEncryptSQLiteDB,"delete/3[java.lang.String,java.lang.String,java.lang.String[]]",database,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-encrypt/src/main/java/com/amitshekhar/debug/encrypt/sqlite/DebugEncryptSQLiteDB.java,com.amitshekhar.debug.encrypt.sqlite.DebugEncryptSQLiteDB,close/0,database,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-encrypt/src/main/java/com/amitshekhar/debug/encrypt/sqlite/DebugEncryptSQLiteDB.java,com.amitshekhar.debug.encrypt.sqlite.DebugEncryptSQLiteDB,"update/4[java.lang.String,com.amitshekhar.debug.encrypt.sqlite.ContentValues,java.lang.String,java.lang.String[]]",database,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-encrypt/src/main/java/com/amitshekhar/debug/encrypt/sqlite/DebugEncryptSQLiteDB.java,com.amitshekhar.debug.encrypt.sqlite.DebugEncryptSQLiteDB,"insert/3[java.lang.String,java.lang.String,com.amitshekhar.debug.encrypt.sqlite.ContentValues]",database,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-encrypt/src/main/java/com/amitshekhar/debug/encrypt/sqlite/DebugEncryptSQLiteDB.java,com.amitshekhar.debug.encrypt.sqlite.DebugEncryptSQLiteDB,isOpen/0,database,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-encrypt/src/main/java/com/amitshekhar/debug/encrypt/sqlite/DebugEncryptSQLiteDB.java,com.amitshekhar.debug.encrypt.sqlite.DebugEncryptSQLiteDB,DebugEncryptSQLiteDB/1[com.amitshekhar.debug.encrypt.sqlite.SQLiteDatabase],database,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-encrypt/src/main/java/com/amitshekhar/debug/encrypt/sqlite/DebugEncryptSQLiteDB.java,com.amitshekhar.debug.encrypt.sqlite.DebugEncryptSQLiteDB,"rawQuery/2[java.lang.String,java.lang.String[]]",database,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/sample-app-encrypt/src/main/java/com/sample/encrypt/database/CarDBHelper.java,com.sample.encrypt.database.CarDBHelper,numberOfRows/0,CARS_TABLE_NAME,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/sample-app-encrypt/src/main/java/com/sample/encrypt/database/CarDBHelper.java,com.sample.encrypt.database.CarDBHelper,CarDBHelper/1[com.sample.encrypt.database.Context],DATABASE_NAME,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/sample-app-encrypt/src/main/java/com/sample/encrypt/database/CarDBHelper.java,com.sample.encrypt.database.CarDBHelper,getAllCars/0,CARS_COLUMN_NAME,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/sample-app/src/main/java/com/sample/database/room/UserDBHelper.java,com.sample.database.room.UserDBHelper,insertUserInMemory/1[java.util.List<com.sample.database.room.User>],inMemoryAppDatabase,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/sample-app/src/main/java/com/sample/database/room/UserDBHelper.java,com.sample.database.room.UserDBHelper,countInMemory/0,inMemoryAppDatabase,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/sample-app/src/main/java/com/sample/database/room/UserDBHelper.java,com.sample.database.room.UserDBHelper,count/0,appDatabase,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/sample-app/src/main/java/com/sample/database/room/UserDBHelper.java,com.sample.database.room.UserDBHelper,UserDBHelper/1[com.sample.database.room.Context],appDatabase,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/sample-app/src/main/java/com/sample/database/room/UserDBHelper.java,com.sample.database.room.UserDBHelper,UserDBHelper/1[com.sample.database.room.Context],inMemoryAppDatabase,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/sample-app/src/main/java/com/sample/database/room/UserDBHelper.java,com.sample.database.room.UserDBHelper,getInMemoryDatabase/0,inMemoryAppDatabase,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/sample-app/src/main/java/com/sample/database/room/UserDBHelper.java,com.sample.database.room.UserDBHelper,insertUser/1[java.util.List<com.sample.database.room.User>],appDatabase,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-base/src/main/java/com/amitshekhar/server/RequestHandler.java,com.amitshekhar.server.RequestHandler,getAllDataFromTheTableResponse/1[java.lang.String],isDbOpened,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-base/src/main/java/com/amitshekhar/server/RequestHandler.java,com.amitshekhar.server.RequestHandler,getAllDataFromTheTableResponse/1[java.lang.String],mGson,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-base/src/main/java/com/amitshekhar/server/RequestHandler.java,com.amitshekhar.server.RequestHandler,getAllDataFromTheTableResponse/1[java.lang.String],mContext,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Debug-Database/debug-db-base/src/main/java/com/amitshekhar/server/RequestHandler.java,com.amitshekhar.server.RequestHandler,getAllDataFromTheTableResponse/1[java.lang.String],sqLiteDB,1
