file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Image-Cropper/sample/src/main/java/com/theartofdev/edmodo/cropper/sample/CropResultActivity.java,com.theartofdev.edmodo.cropper.sample.CropResultActivity,onCreate/1[com.theartofdev.edmodo.cropper.sample.Bundle],imageView,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Image-Cropper/sample/src/main/java/com/theartofdev/edmodo/cropper/sample/CropResultActivity.java,com.theartofdev.edmodo.cropper.sample.CropResultActivity,onCreate/1[com.theartofdev.edmodo.cropper.sample.Bundle],mImage,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Image-Cropper/sample/src/main/java/com/theartofdev/edmodo/cropper/sample/CropResultActivity.java,com.theartofdev.edmodo.cropper.sample.CropResultActivity,releaseBitmap/0,mImage,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Image-Cropper/cropper/src/main/java/com/theartofdev/edmodo/cropper/CropImageAnimation.java,com.theartofdev.edmodo.cropper.CropImageAnimation,"CropImageAnimation/2[com.theartofdev.edmodo.cropper.ImageView,com.theartofdev.edmodo.cropper.CropOverlayView]",mImageView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Image-Cropper/cropper/src/main/java/com/theartofdev/edmodo/cropper/CropImageAnimation.java,com.theartofdev.edmodo.cropper.CropImageAnimation,"CropImageAnimation/2[com.theartofdev.edmodo.cropper.ImageView,com.theartofdev.edmodo.cropper.CropOverlayView]",mCropOverlayView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Image-Cropper/cropper/src/main/java/com/theartofdev/edmodo/cropper/CropImageAnimation.java,com.theartofdev.edmodo.cropper.CropImageAnimation,"setEndState/2[float[],com.theartofdev.edmodo.cropper.Matrix]",mEndCropWindowRect,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Image-Cropper/cropper/src/main/java/com/theartofdev/edmodo/cropper/CropImageAnimation.java,com.theartofdev.edmodo.cropper.CropImageAnimation,"setEndState/2[float[],com.theartofdev.edmodo.cropper.Matrix]",mEndBoundPoints,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Image-Cropper/cropper/src/main/java/com/theartofdev/edmodo/cropper/CropImageAnimation.java,com.theartofdev.edmodo.cropper.CropImageAnimation,"setEndState/2[float[],com.theartofdev.edmodo.cropper.Matrix]",mCropOverlayView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Image-Cropper/cropper/src/main/java/com/theartofdev/edmodo/cropper/CropImageAnimation.java,com.theartofdev.edmodo.cropper.CropImageAnimation,"setEndState/2[float[],com.theartofdev.edmodo.cropper.Matrix]",mEndImageMatrix,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Image-Cropper/cropper/src/main/java/com/theartofdev/edmodo/cropper/CropImageAnimation.java,com.theartofdev.edmodo.cropper.CropImageAnimation,"setStartState/2[float[],com.theartofdev.edmodo.cropper.Matrix]",mStartImageMatrix,1
