file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Image-Cropper/quick-start/src/main/java/com/theartofdev/edmodo/cropper/quick/start/MainActivity.java,com.theartofdev.edmodo.cropper.quick.start.MainActivity,onCreate/1[com.theartofdev.edmodo.cropper.quick.start.Bundle],savedInstanceState,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Image-Cropper/quick-start/src/main/java/com/theartofdev/edmodo/cropper/quick/start/MainActivity.java,com.theartofdev.edmodo.cropper.quick.start.MainActivity,"onActivityResult/3[int,int,com.theartofdev.edmodo.cropper.quick.start.Intent]",result,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Image-Cropper/quick-start/src/main/java/com/theartofdev/edmodo/cropper/quick/start/MainActivity.java,com.theartofdev.edmodo.cropper.quick.start.MainActivity,"onActivityResult/3[int,int,com.theartofdev.edmodo.cropper.quick.start.Intent]",data,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Image-Cropper/quick-start/src/main/java/com/theartofdev/edmodo/cropper/quick/start/MainActivity.java,com.theartofdev.edmodo.cropper.quick.start.MainActivity,"onActivityResult/3[int,int,com.theartofdev.edmodo.cropper.quick.start.Intent]",resultCode,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Image-Cropper/quick-start/src/main/java/com/theartofdev/edmodo/cropper/quick/start/MainActivity.java,com.theartofdev.edmodo.cropper.quick.start.MainActivity,"onActivityResult/3[int,int,com.theartofdev.edmodo.cropper.quick.start.Intent]",requestCode,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Image-Cropper/quick-start/src/main/java/com/theartofdev/edmodo/cropper/quick/start/MainActivity.java,com.theartofdev.edmodo.cropper.quick.start.MainActivity,onSelectImageClick/1[com.theartofdev.edmodo.cropper.quick.start.View],view,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Image-Cropper/sample/src/main/java/com/theartofdev/edmodo/cropper/sample/CropResultActivity.java,com.theartofdev.edmodo.cropper.sample.CropResultActivity,onImageViewClicked/1[com.theartofdev.edmodo.cropper.sample.View],view,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Image-Cropper/sample/src/main/java/com/theartofdev/edmodo/cropper/sample/CropResultActivity.java,com.theartofdev.edmodo.cropper.sample.CropResultActivity,onCreate/1[com.theartofdev.edmodo.cropper.sample.Bundle],savedInstanceState,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Image-Cropper/sample/src/main/java/com/theartofdev/edmodo/cropper/sample/CropResultActivity.java,com.theartofdev.edmodo.cropper.sample.CropResultActivity,onCreate/1[com.theartofdev.edmodo.cropper.sample.Bundle],imageUri,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Image-Cropper/sample/src/main/java/com/theartofdev/edmodo/cropper/sample/CropResultActivity.java,com.theartofdev.edmodo.cropper.sample.CropResultActivity,onCreate/1[com.theartofdev.edmodo.cropper.sample.Bundle],byteCount,2
