file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ObservableScrollView/samples/src/main/java/com/github/ksoichiro/android/observablescrollview/samples/ParallaxToolbarGridViewActivity.java,com.github.ksoichiro.android.observablescrollview.samples.ParallaxToolbarGridViewActivity,onCreate/1[com.github.ksoichiro.android.observablescrollview.samples.Bundle],mImageView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ObservableScrollView/samples/src/main/java/com/github/ksoichiro/android/observablescrollview/samples/ParallaxToolbarGridViewActivity.java,com.github.ksoichiro.android.observablescrollview.samples.ParallaxToolbarGridViewActivity,onCreate/1[com.github.ksoichiro.android.observablescrollview.samples.Bundle],mParallaxImageHeight,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ObservableScrollView/samples/src/main/java/com/github/ksoichiro/android/observablescrollview/samples/ParallaxToolbarGridViewActivity.java,com.github.ksoichiro.android.observablescrollview.samples.ParallaxToolbarGridViewActivity,onCreate/1[com.github.ksoichiro.android.observablescrollview.samples.Bundle],mListBackgroundView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ObservableScrollView/samples/src/main/java/com/github/ksoichiro/android/observablescrollview/samples/ParallaxToolbarGridViewActivity.java,com.github.ksoichiro.android.observablescrollview.samples.ParallaxToolbarGridViewActivity,onCreate/1[com.github.ksoichiro.android.observablescrollview.samples.Bundle],mToolbarView,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ObservableScrollView/samples/src/main/java/com/github/ksoichiro/android/observablescrollview/samples/ParallaxToolbarGridViewActivity.java,com.github.ksoichiro.android.observablescrollview.samples.ParallaxToolbarGridViewActivity,onCreate/1[com.github.ksoichiro.android.observablescrollview.samples.Bundle],mGridView,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ObservableScrollView/samples/src/main/java/com/github/ksoichiro/android/observablescrollview/samples/ParallaxToolbarGridViewActivity.java,com.github.ksoichiro.android.observablescrollview.samples.ParallaxToolbarGridViewActivity,onRestoreInstanceState/1[com.github.ksoichiro.android.observablescrollview.samples.Bundle],mGridView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ObservableScrollView/samples/src/main/java/com/github/ksoichiro/android/observablescrollview/samples/ParallaxToolbarGridViewActivity.java,com.github.ksoichiro.android.observablescrollview.samples.ParallaxToolbarGridViewActivity,"onScrollChanged/3[int,boolean,boolean]",mImageView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ObservableScrollView/samples/src/main/java/com/github/ksoichiro/android/observablescrollview/samples/ParallaxToolbarGridViewActivity.java,com.github.ksoichiro.android.observablescrollview.samples.ParallaxToolbarGridViewActivity,"onScrollChanged/3[int,boolean,boolean]",mParallaxImageHeight,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ObservableScrollView/samples/src/main/java/com/github/ksoichiro/android/observablescrollview/samples/ParallaxToolbarGridViewActivity.java,com.github.ksoichiro.android.observablescrollview.samples.ParallaxToolbarGridViewActivity,"onScrollChanged/3[int,boolean,boolean]",mListBackgroundView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ObservableScrollView/samples/src/main/java/com/github/ksoichiro/android/observablescrollview/samples/ParallaxToolbarGridViewActivity.java,com.github.ksoichiro.android.observablescrollview.samples.ParallaxToolbarGridViewActivity,"onScrollChanged/3[int,boolean,boolean]",mToolbarView,1
