file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,build/0,mPickerOptions,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,"OptionsPickerBuilder/2[com.bigkoo.pickerview.builder.Context,com.bigkoo.pickerview.listener.OnOptionsSelectListener]",mPickerOptions,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/bean/JsonBean.java,com.bigkoo.pickerviewdemo.bean.JsonBean$CityBean,setName/1[java.lang.String],name,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/bean/JsonBean.java,com.bigkoo.pickerviewdemo.bean.JsonBean$CityBean,getName/0,name,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/bean/JsonBean.java,com.bigkoo.pickerviewdemo.bean.JsonBean$CityBean,setArea/1[java.util.List<java.lang.String>],area,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/bean/JsonBean.java,com.bigkoo.pickerviewdemo.bean.JsonBean$CityBean,getArea/0,area,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/configure/PickerOptions.java,com.bigkoo.pickerview.configure.PickerOptions,PickerOptions/1[int],layoutRes,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/configure/PickerOptions.java,com.bigkoo.pickerview.configure.PickerOptions,PickerOptions/1[int],TYPE_PICKER_OPTIONS,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/wheelview/src/main/java/com/contrarywind/timer/SmoothScrollTimerTask.java,com.contrarywind.timer.SmoothScrollTimerTask,"SmoothScrollTimerTask/2[com.contrarywind.view.WheelView,int]",realOffset,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/wheelview/src/main/java/com/contrarywind/timer/SmoothScrollTimerTask.java,com.contrarywind.timer.SmoothScrollTimerTask,"SmoothScrollTimerTask/2[com.contrarywind.view.WheelView,int]",wheelView,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/wheelview/src/main/java/com/contrarywind/timer/SmoothScrollTimerTask.java,com.contrarywind.timer.SmoothScrollTimerTask,"SmoothScrollTimerTask/2[com.contrarywind.view.WheelView,int]",offset,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/wheelview/src/main/java/com/contrarywind/timer/SmoothScrollTimerTask.java,com.contrarywind.timer.SmoothScrollTimerTask,"SmoothScrollTimerTask/2[com.contrarywind.view.WheelView,int]",realTotalOffset,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/wheelview/src/main/java/com/contrarywind/timer/SmoothScrollTimerTask.java,com.contrarywind.timer.SmoothScrollTimerTask,run/0,realOffset,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/wheelview/src/main/java/com/contrarywind/timer/SmoothScrollTimerTask.java,com.contrarywind.timer.SmoothScrollTimerTask,run/0,wheelView,16
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/wheelview/src/main/java/com/contrarywind/timer/SmoothScrollTimerTask.java,com.contrarywind.timer.SmoothScrollTimerTask,run/0,offset,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/wheelview/src/main/java/com/contrarywind/timer/SmoothScrollTimerTask.java,com.contrarywind.timer.SmoothScrollTimerTask,run/0,realTotalOffset,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/adapter/NumericWheelAdapter.java,com.bigkoo.pickerview.adapter.NumericWheelAdapter,getItem/1[int],minValue,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/adapter/NumericWheelAdapter.java,com.bigkoo.pickerview.adapter.NumericWheelAdapter,"NumericWheelAdapter/2[int,int]",minValue,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/adapter/NumericWheelAdapter.java,com.bigkoo.pickerview.adapter.NumericWheelAdapter,"NumericWheelAdapter/2[int,int]",maxValue,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/adapter/NumericWheelAdapter.java,com.bigkoo.pickerview.adapter.NumericWheelAdapter,indexOf/1[java.lang.Object],minValue,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/adapter/NumericWheelAdapter.java,com.bigkoo.pickerview.adapter.NumericWheelAdapter,getItemsCount/0,minValue,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/adapter/NumericWheelAdapter.java,com.bigkoo.pickerview.adapter.NumericWheelAdapter,getItemsCount/0,maxValue,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/FragmentTestActivity.java,com.bigkoo.pickerviewdemo.FragmentTestActivity,onCreate/1[com.bigkoo.pickerviewdemo.Bundle],mFragmentManager,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,setAlphaGradient/1[boolean],wv_option1,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,setAlphaGradient/1[boolean],wv_option2,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,setAlphaGradient/1[boolean],wv_option3,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,setView/1[com.bigkoo.pickerview.view.View],view,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,setTextColorCenter/1[int],wv_option1,1
