file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/sample/src/com/handmark/pulltorefresh/samples/PullToRefreshListInViewPagerActivity.java,com.handmark.pulltorefresh.samples.PullToRefreshListInViewPagerActivity$GetDataTask,onPostExecute/1[java.lang.Void],mRefreshedView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/sample/src/com/handmark/pulltorefresh/samples/PullToRefreshListInViewPagerActivity.java,com.handmark.pulltorefresh.samples.PullToRefreshListInViewPagerActivity$GetDataTask,GetDataTask/1[com.handmark.pulltorefresh.library.PullToRefreshBase<?>],mRefreshedView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/internal/RotateLoadingLayout.java,com.handmark.pulltorefresh.library.internal.RotateLoadingLayout,resetImageRotation/0,mHeaderImageMatrix,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/internal/RotateLoadingLayout.java,com.handmark.pulltorefresh.library.internal.RotateLoadingLayout,onLoadingDrawableSet/1[com.handmark.pulltorefresh.library.internal.Drawable],mRotationPivotX,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/internal/RotateLoadingLayout.java,com.handmark.pulltorefresh.library.internal.RotateLoadingLayout,onLoadingDrawableSet/1[com.handmark.pulltorefresh.library.internal.Drawable],mRotationPivotY,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/internal/RotateLoadingLayout.java,com.handmark.pulltorefresh.library.internal.RotateLoadingLayout,refreshingImpl/0,mRotateAnimation,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/internal/RotateLoadingLayout.java,com.handmark.pulltorefresh.library.internal.RotateLoadingLayout,"RotateLoadingLayout/4[com.handmark.pulltorefresh.library.internal.Context,com.handmark.pulltorefresh.library.PullToRefreshBase.Mode,com.handmark.pulltorefresh.library.PullToRefreshBase.Orientation,com.handmark.pulltorefresh.library.internal.TypedArray]",mRotateAnimation,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/internal/RotateLoadingLayout.java,com.handmark.pulltorefresh.library.internal.RotateLoadingLayout,"RotateLoadingLayout/4[com.handmark.pulltorefresh.library.internal.Context,com.handmark.pulltorefresh.library.PullToRefreshBase.Mode,com.handmark.pulltorefresh.library.PullToRefreshBase.Orientation,com.handmark.pulltorefresh.library.internal.TypedArray]",ROTATION_ANIMATION_DURATION,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/internal/RotateLoadingLayout.java,com.handmark.pulltorefresh.library.internal.RotateLoadingLayout,"RotateLoadingLayout/4[com.handmark.pulltorefresh.library.internal.Context,com.handmark.pulltorefresh.library.PullToRefreshBase.Mode,com.handmark.pulltorefresh.library.PullToRefreshBase.Orientation,com.handmark.pulltorefresh.library.internal.TypedArray]",mHeaderImageMatrix,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/internal/RotateLoadingLayout.java,com.handmark.pulltorefresh.library.internal.RotateLoadingLayout,"RotateLoadingLayout/4[com.handmark.pulltorefresh.library.internal.Context,com.handmark.pulltorefresh.library.PullToRefreshBase.Mode,com.handmark.pulltorefresh.library.PullToRefreshBase.Orientation,com.handmark.pulltorefresh.library.internal.TypedArray]",mRotateDrawableWhilePulling,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/internal/RotateLoadingLayout.java,com.handmark.pulltorefresh.library.internal.RotateLoadingLayout,onPullImpl/1[float],mRotationPivotX,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/internal/RotateLoadingLayout.java,com.handmark.pulltorefresh.library.internal.RotateLoadingLayout,onPullImpl/1[float],mRotationPivotY,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/internal/RotateLoadingLayout.java,com.handmark.pulltorefresh.library.internal.RotateLoadingLayout,onPullImpl/1[float],mHeaderImageMatrix,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/internal/RotateLoadingLayout.java,com.handmark.pulltorefresh.library.internal.RotateLoadingLayout,onPullImpl/1[float],mRotateDrawableWhilePulling,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/sample/src/com/handmark/pulltorefresh/samples/PullToRefreshListInViewPagerActivity.java,com.handmark.pulltorefresh.samples.PullToRefreshListInViewPagerActivity,onCreate/1[com.handmark.pulltorefresh.samples.Bundle],mViewPager,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/extras/SoundPullEventListener.java,com.handmark.pulltorefresh.library.extras.SoundPullEventListener,"addSoundEvent/2[com.handmark.pulltorefresh.library.PullToRefreshBase.State,int]",mSoundMap,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/extras/SoundPullEventListener.java,com.handmark.pulltorefresh.library.extras.SoundPullEventListener,clearSounds/0,mSoundMap,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/extras/SoundPullEventListener.java,com.handmark.pulltorefresh.library.extras.SoundPullEventListener,SoundPullEventListener/1[com.handmark.pulltorefresh.library.extras.Context],mSoundMap,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/extras/SoundPullEventListener.java,com.handmark.pulltorefresh.library.extras.SoundPullEventListener,SoundPullEventListener/1[com.handmark.pulltorefresh.library.extras.Context],mContext,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/extras/SoundPullEventListener.java,com.handmark.pulltorefresh.library.extras.SoundPullEventListener,playSound/1[int],mCurrentMediaPlayer,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/extras/SoundPullEventListener.java,com.handmark.pulltorefresh.library.extras.SoundPullEventListener,playSound/1[int],mContext,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/extras/SoundPullEventListener.java,com.handmark.pulltorefresh.library.extras.SoundPullEventListener,getCurrentMediaPlayer/0,mCurrentMediaPlayer,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/extras/SoundPullEventListener.java,com.handmark.pulltorefresh.library.extras.SoundPullEventListener,"onPullEvent/3[com.handmark.pulltorefresh.library.PullToRefreshBase<V>,com.handmark.pulltorefresh.library.PullToRefreshBase.State,com.handmark.pulltorefresh.library.PullToRefreshBase.Mode]",mSoundMap,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/library/src/com/handmark/pulltorefresh/library/PullToRefreshListView.java,com.handmark.pulltorefresh.library.PullToRefreshListView$InternalListView,setAdapter/1[com.handmark.pulltorefresh.library.ListAdapter],mAddedLvFooter,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PullToRefresh/sample/src/com/handmark/pulltorefresh/samples/PullToRefreshWebViewActivity.java,com.handmark.pulltorefresh.samples.PullToRefreshWebViewActivity,onCreate/1[com.handmark.pulltorefresh.samples.Bundle],mPullRefreshWebView,2
