file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Tips/Utils/URLChecker/UrlMatcher.java,UrlMatcher,getUrlTitle/1[java.lang.String],pattern,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Tips/Utils/URLChecker/UrlMatcher.java,UrlMatcher,getUrlTitle/1[java.lang.String],urlResponse,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Tips/Utils/URLChecker/UrlMatcher.java,UrlMatcher,getUrlTitle/1[java.lang.String],matcher,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Tips/Utils/URLChecker/UrlMatcher.java,UrlMatcher,getUrlTitle/1[java.lang.String],title,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Tips/Utils/URLChecker/UrlMatcher.java,UrlMatcher,getUrlStr/1[java.lang.String],urls,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Tips/Utils/URLChecker/UrlMatcher.java,UrlMatcher,getUrlStr/1[java.lang.String],response,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Tips/Utils/URLChecker/UrlMatcher.java,UrlMatcher,getUrlStr/1[java.lang.String],tmp,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Tips/Utils/URLChecker/UrlMatcher.java,UrlMatcher,getUrlStr/1[java.lang.String],pattern,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Tips/Utils/URLChecker/UrlMatcher.java,UrlMatcher,getUrlStr/1[java.lang.String],index,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Tips/Utils/URLChecker/UrlMatcher.java,UrlMatcher,getUrlStr/1[java.lang.String],matcher,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Tips/Utils/URLChecker/NetUtils.java,NetUtils,getBundle/1[java.lang.String],bufferedReader,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Tips/Utils/URLChecker/NetUtils.java,NetUtils,getBundle/1[java.lang.String],stringBuilder,2
