file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Touch-Helper/app/src/main/java/com/zfdang/touchhelper/ui/settings/ManagePackageWidgetsDialogFragment.java,com.zfdang.touchhelper.ui.settings.ManagePackageWidgetsDialogFragment,"onCreateView/3[com.zfdang.touchhelper.ui.settings.LayoutInflater,com.zfdang.touchhelper.ui.settings.ViewGroup,com.zfdang.touchhelper.ui.settings.Bundle]",originalRules,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Touch-Helper/app/src/main/java/com/zfdang/touchhelper/ui/settings/ManagePackageWidgetsDialogFragment.java,com.zfdang.touchhelper.ui.settings.ManagePackageWidgetsDialogFragment,"onCreateView/3[com.zfdang.touchhelper.ui.settings.LayoutInflater,com.zfdang.touchhelper.ui.settings.ViewGroup,com.zfdang.touchhelper.ui.settings.Bundle]",editRules,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Touch-Helper/app/src/main/java/com/zfdang/touchhelper/ui/settings/ManagePackageWidgetsDialogFragment.java,com.zfdang.touchhelper.ui.settings.ManagePackageWidgetsDialogFragment,"onCreateView/3[com.zfdang.touchhelper.ui.settings.LayoutInflater,com.zfdang.touchhelper.ui.settings.ViewGroup,com.zfdang.touchhelper.ui.settings.Bundle]",setting,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Touch-Helper/app/src/main/java/com/zfdang/touchhelper/Settings.java,com.zfdang.touchhelper.Settings,isSkipAdNotification/0,bSkipAdNotification,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Touch-Helper/app/src/main/java/com/zfdang/touchhelper/Settings.java,com.zfdang.touchhelper.Settings,getPackageWidgets/0,mapPackageWidgets,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Touch-Helper/app/src/main/java/com/zfdang/touchhelper/Settings.java,com.zfdang.touchhelper.Settings,initSettings/0,mapPackageWidgets,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Touch-Helper/app/src/main/java/com/zfdang/touchhelper/Settings.java,com.zfdang.touchhelper.Settings,initSettings/0,mEditor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Touch-Helper/app/src/main/java/com/zfdang/touchhelper/Settings.java,com.zfdang.touchhelper.Settings,initSettings/0,SKIP_AD_DURATION,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Touch-Helper/app/src/main/java/com/zfdang/touchhelper/Settings.java,com.zfdang.touchhelper.Settings,initSettings/0,mapPackagePositions,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Touch-Helper/app/src/main/java/com/zfdang/touchhelper/Settings.java,com.zfdang.touchhelper.Settings,initSettings/0,mPreference,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Touch-Helper/app/src/main/java/com/zfdang/touchhelper/Settings.java,com.zfdang.touchhelper.Settings,initSettings/0,iSkipAdDuration,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Touch-Helper/app/src/main/java/com/zfdang/touchhelper/Settings.java,com.zfdang.touchhelper.Settings,initSettings/0,setWhiteListPackages,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Touch-Helper/app/src/main/java/com/zfdang/touchhelper/Settings.java,com.zfdang.touchhelper.Settings,initSettings/0,SKIP_AD_NOTIFICATION,1
