file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/library/src/main/java/com/alamkanak/weekview/WeekView.java,com.alamkanak.weekview.WeekView$EventRect,"EventRect/3[com.alamkanak.weekview.WeekViewEvent,com.alamkanak.weekview.WeekViewEvent,com.alamkanak.weekview.RectF]",rectF,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/library/src/main/java/com/alamkanak/weekview/WeekView.java,com.alamkanak.weekview.WeekView$EventRect,"EventRect/3[com.alamkanak.weekview.WeekViewEvent,com.alamkanak.weekview.WeekViewEvent,com.alamkanak.weekview.RectF]",originalEvent,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/library/src/main/java/com/alamkanak/weekview/WeekView.java,com.alamkanak.weekview.WeekView$EventRect,"EventRect/3[com.alamkanak.weekview.WeekViewEvent,com.alamkanak.weekview.WeekViewEvent,com.alamkanak.weekview.RectF]",event,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/sample/src/main/java/com/alamkanak/weekview/sample/BaseActivity.java,com.alamkanak.weekview.sample.BaseActivity,getWeekView/0,mWeekView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/sample/src/main/java/com/alamkanak/weekview/sample/BaseActivity.java,com.alamkanak.weekview.sample.BaseActivity,onCreate/1[com.alamkanak.weekview.sample.Bundle],mWeekView,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/sample/src/main/java/com/alamkanak/weekview/sample/BaseActivity.java,com.alamkanak.weekview.sample.BaseActivity,onOptionsItemSelected/1[com.alamkanak.weekview.sample.MenuItem],TYPE_WEEK_VIEW,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/sample/src/main/java/com/alamkanak/weekview/sample/BaseActivity.java,com.alamkanak.weekview.sample.BaseActivity,onOptionsItemSelected/1[com.alamkanak.weekview.sample.MenuItem],mWeekView,13
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/sample/src/main/java/com/alamkanak/weekview/sample/BaseActivity.java,com.alamkanak.weekview.sample.BaseActivity,onOptionsItemSelected/1[com.alamkanak.weekview.sample.MenuItem],mWeekViewType,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/sample/src/main/java/com/alamkanak/weekview/sample/BaseActivity.java,com.alamkanak.weekview.sample.BaseActivity,onOptionsItemSelected/1[com.alamkanak.weekview.sample.MenuItem],TYPE_THREE_DAY_VIEW,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/sample/src/main/java/com/alamkanak/weekview/sample/BaseActivity.java,com.alamkanak.weekview.sample.BaseActivity,onOptionsItemSelected/1[com.alamkanak.weekview.sample.MenuItem],TYPE_DAY_VIEW,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/sample/src/main/java/com/alamkanak/weekview/sample/BaseActivity.java,com.alamkanak.weekview.sample.BaseActivity,setupDateTimeInterpreter/1[boolean],mWeekView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/library/src/main/java/com/alamkanak/weekview/WeekViewEvent.java,com.alamkanak.weekview.WeekViewEvent,setId/1[long],mId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/library/src/main/java/com/alamkanak/weekview/WeekViewEvent.java,com.alamkanak.weekview.WeekViewEvent,getEndTime/0,mEndTime,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/library/src/main/java/com/alamkanak/weekview/WeekViewEvent.java,com.alamkanak.weekview.WeekViewEvent,getColor/0,mColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/library/src/main/java/com/alamkanak/weekview/WeekViewEvent.java,com.alamkanak.weekview.WeekViewEvent,setColor/1[int],mColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/library/src/main/java/com/alamkanak/weekview/WeekViewEvent.java,com.alamkanak.weekview.WeekViewEvent,setName/1[java.lang.String],mName,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/library/src/main/java/com/alamkanak/weekview/WeekViewEvent.java,com.alamkanak.weekview.WeekViewEvent,setEndTime/1[java.util.Calendar],mEndTime,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/library/src/main/java/com/alamkanak/weekview/WeekViewEvent.java,com.alamkanak.weekview.WeekViewEvent,isAllDay/0,mAllDay,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/library/src/main/java/com/alamkanak/weekview/WeekViewEvent.java,com.alamkanak.weekview.WeekViewEvent,"WeekViewEvent/12[long,java.lang.String,int,int,int,int,int,int,int,int,int,int]",mEndTime,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/library/src/main/java/com/alamkanak/weekview/WeekViewEvent.java,com.alamkanak.weekview.WeekViewEvent,"WeekViewEvent/12[long,java.lang.String,int,int,int,int,int,int,int,int,int,int]",mId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/library/src/main/java/com/alamkanak/weekview/WeekViewEvent.java,com.alamkanak.weekview.WeekViewEvent,"WeekViewEvent/12[long,java.lang.String,int,int,int,int,int,int,int,int,int,int]",mName,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-Week-View/library/src/main/java/com/alamkanak/weekview/WeekViewEvent.java,com.alamkanak.weekview.WeekViewEvent,"WeekViewEvent/12[long,java.lang.String,int,int,int,int,int,int,int,int,int,int]",mStartTime,6
