file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ZBLibrary/ZBLibrary/src/main/java/zuo/biao/library/ui/GridPickerView.java,zuo.biao.library.ui.GridPickerView,"getItemPosition/2[int,java.util.List<zuo.biao.library.model.Entry<java.lang.Integer,java.lang.String>>]",i,11
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ZBLibrary/ZBLibrary/src/main/java/zuo/biao/library/ui/GridPickerView.java,zuo.biao.library.ui.GridPickerView,"getItemPosition/2[int,java.util.List<zuo.biao.library.model.Entry<java.lang.Integer,java.lang.String>>]",itemPosition,15
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ZBLibrary/ZBLibrary/src/main/java/zuo/biao/library/ui/GridPickerView.java,zuo.biao.library.ui.GridPickerView,"getItemPosition/2[int,java.util.List<zuo.biao.library.model.Entry<java.lang.Integer,java.lang.String>>]",list,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ZBLibrary/ZBLibrary/src/main/java/zuo/biao/library/ui/GridPickerView.java,zuo.biao.library.ui.GridPickerView,getSelectedItemList/0,gpcb,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ZBLibrary/ZBLibrary/src/main/java/zuo/biao/library/ui/GridPickerView.java,zuo.biao.library.ui.GridPickerView,getSelectedItemList/0,list,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ZBLibrary/ZBLibrary/src/main/java/zuo/biao/library/ui/GridPickerView.java,zuo.biao.library.ui.GridPickerView,"init/2[java.util.ArrayList<zuo.biao.library.model.GridPickerConfig>,java.util.List<zuo.biao.library.model.Entry<java.lang.Integer,java.lang.String>>]",i,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ZBLibrary/ZBLibrary/src/main/java/zuo/biao/library/ui/GridPickerView.java,zuo.biao.library.ui.GridPickerView,"init/2[java.util.ArrayList<zuo.biao.library.model.GridPickerConfig>,java.util.List<zuo.biao.library.model.Entry<java.lang.Integer,java.lang.String>>]",lastList,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ZBLibrary/ZBLibrary/src/main/java/zuo/biao/library/ui/GridPickerView.java,zuo.biao.library.ui.GridPickerView,"init/2[java.util.ArrayList<zuo.biao.library.model.GridPickerConfig>,java.util.List<zuo.biao.library.model.Entry<java.lang.Integer,java.lang.String>>]",tabWidth,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ZBLibrary/ZBLibrary/src/main/java/zuo/biao/library/ui/GridPickerView.java,zuo.biao.library.ui.GridPickerView,"init/2[java.util.ArrayList<zuo.biao.library.model.GridPickerConfig>,java.util.List<zuo.biao.library.model.Entry<java.lang.Integer,java.lang.String>>]",configList,11
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ZBLibrary/ZBLibrary/src/main/java/zuo/biao/library/ui/GridPickerView.java,zuo.biao.library.ui.GridPickerView,setOnTabClickListener/1[zuo.biao.library.ui.GridPickerView.OnTabClickListener],onTabClickListener,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ZBLibrary/ZBLibrary/src/main/java/zuo/biao/library/ui/GridPickerView.java,zuo.biao.library.ui.GridPickerView,"addTab/3[int,int,java.lang.String]",name,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ZBLibrary/ZBLibrary/src/main/java/zuo/biao/library/ui/GridPickerView.java,zuo.biao.library.ui.GridPickerView,"addTab/3[int,int,java.lang.String]",tabPosition,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ZBLibrary/ZBLibrary/src/main/java/zuo/biao/library/ui/GridPickerView.java,zuo.biao.library.ui.GridPickerView,"addTab/3[int,int,java.lang.String]",tvTab,9
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ZBLibrary/ZBLibrary/src/main/java/zuo/biao/library/ui/GridPickerView.java,zuo.biao.library.ui.GridPickerView,"addTab/3[int,int,java.lang.String]",tabWidth,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ZBLibrary/ZBLibrary/src/main/java/zuo/biao/library/ui/GridPickerView.java,zuo.biao.library.ui.GridPickerView,"doOnItemSelected/3[int,int,java.lang.String]",itemName,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-ZBLibrary/ZBLibrary/src/main/java/zuo/biao/library/ui/GridPickerView.java,zuo.biao.library.ui.GridPickerView,"doOnItemSelected/3[int,int,java.lang.String]",i,6
