file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/third-part-support/circleimageview/src/main/java/skin/support/circleimageview/SkinCircleImageViewManager.java,skin.support.circleimageview.SkinCircleImageViewManager,getInstance/0,sInstance,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/third-part-support/circleimageview/src/main/java/skin/support/circleimageview/SkinCircleImageViewManager.java,skin.support.circleimageview.SkinCircleImageViewManager,init/1[skin.support.circleimageview.Context],sInstance,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support-design/src/main/java/skin/support/design/widget/SkinMaterialBottomNavigationView.java,skin.support.design.widget.SkinMaterialBottomNavigationView,setBackgroundResource/1[int],mBackgroundTintHelper,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support-design/src/main/java/skin/support/design/widget/SkinMaterialBottomNavigationView.java,skin.support.design.widget.SkinMaterialBottomNavigationView,applyItemIconTintResource/0,mDefaultTintResId,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support-design/src/main/java/skin/support/design/widget/SkinMaterialBottomNavigationView.java,skin.support.design.widget.SkinMaterialBottomNavigationView,applyItemIconTintResource/0,mIconTintResId,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support-design/src/main/java/skin/support/design/widget/SkinMaterialBottomNavigationView.java,skin.support.design.widget.SkinMaterialBottomNavigationView,createDefaultColorStateList/1[int],mDefaultTintResId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support-design/src/main/java/skin/support/design/widget/SkinMaterialBottomNavigationView.java,skin.support.design.widget.SkinMaterialBottomNavigationView,createDefaultColorStateList/1[int],CHECKED_STATE_SET,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support-design/src/main/java/skin/support/design/widget/SkinMaterialBottomNavigationView.java,skin.support.design.widget.SkinMaterialBottomNavigationView,createDefaultColorStateList/1[int],DISABLED_STATE_SET,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support-design/src/main/java/skin/support/design/widget/SkinMaterialBottomNavigationView.java,skin.support.design.widget.SkinMaterialBottomNavigationView,"SkinMaterialBottomNavigationView/3[skin.support.design.widget.Context,skin.support.design.widget.AttributeSet,int]",mDefaultTintResId,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support-design/src/main/java/skin/support/design/widget/SkinMaterialBottomNavigationView.java,skin.support.design.widget.SkinMaterialBottomNavigationView,"SkinMaterialBottomNavigationView/3[skin.support.design.widget.Context,skin.support.design.widget.AttributeSet,int]",mIconTintResId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support-design/src/main/java/skin/support/design/widget/SkinMaterialBottomNavigationView.java,skin.support.design.widget.SkinMaterialBottomNavigationView,"SkinMaterialBottomNavigationView/3[skin.support.design.widget.Context,skin.support.design.widget.AttributeSet,int]",mBackgroundTintHelper,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support-design/src/main/java/skin/support/design/widget/SkinMaterialBottomNavigationView.java,skin.support.design.widget.SkinMaterialBottomNavigationView,"SkinMaterialBottomNavigationView/3[skin.support.design.widget.Context,skin.support.design.widget.AttributeSet,int]",mTextColorResId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support-design/src/main/java/skin/support/design/widget/SkinMaterialBottomNavigationView.java,skin.support.design.widget.SkinMaterialBottomNavigationView,applySkin/0,mBackgroundTintHelper,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support-design/src/main/java/skin/support/design/widget/SkinMaterialBottomNavigationView.java,skin.support.design.widget.SkinMaterialBottomNavigationView,applyItemTextColorResource/0,mDefaultTintResId,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support-design/src/main/java/skin/support/design/widget/SkinMaterialBottomNavigationView.java,skin.support.design.widget.SkinMaterialBottomNavigationView,applyItemTextColorResource/0,mTextColorResId,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/collection/MapCollections.java,skin.support.collection.MapCollections$MapIterator,setValue/1[V],mEntryValid,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/collection/MapCollections.java,skin.support.collection.MapCollections$MapIterator,setValue/1[V],mIndex,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/collection/MapCollections.java,skin.support.collection.MapCollections$MapIterator,next/0,mEntryValid,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/collection/MapCollections.java,skin.support.collection.MapCollections$MapIterator,next/0,mIndex,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/collection/MapCollections.java,skin.support.collection.MapCollections$MapIterator,remove/0,mEntryValid,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/collection/MapCollections.java,skin.support.collection.MapCollections$MapIterator,remove/0,mEnd,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/collection/MapCollections.java,skin.support.collection.MapCollections$MapIterator,remove/0,mIndex,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/collection/MapCollections.java,skin.support.collection.MapCollections$MapIterator,equals/1[java.lang.Object],mEntryValid,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/collection/MapCollections.java,skin.support.collection.MapCollections$MapIterator,equals/1[java.lang.Object],mIndex,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/collection/MapCollections.java,skin.support.collection.MapCollections$MapIterator,MapIterator/0,mEnd,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/collection/MapCollections.java,skin.support.collection.MapCollections$MapIterator,MapIterator/0,mIndex,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/collection/MapCollections.java,skin.support.collection.MapCollections$MapIterator,hasNext/0,mEnd,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/collection/MapCollections.java,skin.support.collection.MapCollections$MapIterator,hasNext/0,mIndex,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/collection/MapCollections.java,skin.support.collection.MapCollections$MapIterator,getValue/0,mEntryValid,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/collection/MapCollections.java,skin.support.collection.MapCollections$MapIterator,getValue/0,mIndex,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/collection/MapCollections.java,skin.support.collection.MapCollections$MapIterator,getKey/0,mEntryValid,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/collection/MapCollections.java,skin.support.collection.MapCollections$MapIterator,getKey/0,mIndex,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/collection/MapCollections.java,skin.support.collection.MapCollections$MapIterator,hashCode/0,mEntryValid,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/collection/MapCollections.java,skin.support.collection.MapCollections$MapIterator,hashCode/0,mIndex,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/third-part-support/flycotablayout/src/main/java/skin/support/flycotablayout/SkinFlycoTabLayoutManager.java,skin.support.flycotablayout.SkinFlycoTabLayoutManager,init/1[skin.support.flycotablayout.Context],sInstance,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/third-part-support/flycotablayout/src/main/java/skin/support/flycotablayout/SkinFlycoTabLayoutManager.java,skin.support.flycotablayout.SkinFlycoTabLayoutManager,getInstance/0,sInstance,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/app/SkinCompatDelegate.java,skin.support.app.SkinCompatDelegate,applySkin/0,mSkinHelpers,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/app/SkinCompatDelegate.java,skin.support.app.SkinCompatDelegate,"onCreateView/3[java.lang.String,skin.support.app.Context,skin.support.app.AttributeSet]",mSkinHelpers,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/app/SkinCompatDelegate.java,skin.support.app.SkinCompatDelegate,"onCreateView/4[skin.support.app.View,java.lang.String,skin.support.app.Context,skin.support.app.AttributeSet]",mSkinHelpers,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/app/SkinCompatDelegate.java,skin.support.app.SkinCompatDelegate,"createView/4[skin.support.app.View,java.lang.String,skin.support.app.Context,skin.support.app.AttributeSet]",mSkinCompatViewInflater,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/app/SkinCompatDelegate.java,skin.support.app.SkinCompatDelegate,"createView/4[skin.support.app.View,java.lang.String,skin.support.app.Context,skin.support.app.AttributeSet]",mContext,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/androidx/skin-support/src/main/java/skin/support/app/SkinCompatDelegate.java,skin.support.app.SkinCompatDelegate,SkinCompatDelegate/1[skin.support.app.Context],mContext,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/demo/skin-app/src/main/java/com/ximsfei/skindemo/coordinator/AvatarImageBehavior.java,com.ximsfei.skindemo.coordinator.AvatarImageBehavior,bindDimensions/0,mContext,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/demo/skin-app/src/main/java/com/ximsfei/skindemo/coordinator/AvatarImageBehavior.java,com.ximsfei.skindemo.coordinator.AvatarImageBehavior,bindDimensions/0,mAvatarMaxSize,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/demo/skin-app/src/main/java/com/ximsfei/skindemo/coordinator/AvatarImageBehavior.java,com.ximsfei.skindemo.coordinator.AvatarImageBehavior,"onDependentViewChanged/3[com.ximsfei.skindemo.coordinator.CoordinatorLayout,com.ximsfei.skindemo.coordinator.CircleImageView,com.ximsfei.skindemo.coordinator.View]",mFinalXPosition,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/demo/skin-app/src/main/java/com/ximsfei/skindemo/coordinator/AvatarImageBehavior.java,com.ximsfei.skindemo.coordinator.AvatarImageBehavior,"onDependentViewChanged/3[com.ximsfei.skindemo.coordinator.CoordinatorLayout,com.ximsfei.skindemo.coordinator.CircleImageView,com.ximsfei.skindemo.coordinator.View]",mFinalHeight,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/demo/skin-app/src/main/java/com/ximsfei/skindemo/coordinator/AvatarImageBehavior.java,com.ximsfei.skindemo.coordinator.AvatarImageBehavior,"onDependentViewChanged/3[com.ximsfei.skindemo.coordinator.CoordinatorLayout,com.ximsfei.skindemo.coordinator.CircleImageView,com.ximsfei.skindemo.coordinator.View]",mStartYPosition,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/demo/skin-app/src/main/java/com/ximsfei/skindemo/coordinator/AvatarImageBehavior.java,com.ximsfei.skindemo.coordinator.AvatarImageBehavior,"onDependentViewChanged/3[com.ximsfei.skindemo.coordinator.CoordinatorLayout,com.ximsfei.skindemo.coordinator.CircleImageView,com.ximsfei.skindemo.coordinator.View]",mFinalYPosition,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/demo/skin-app/src/main/java/com/ximsfei/skindemo/coordinator/AvatarImageBehavior.java,com.ximsfei.skindemo.coordinator.AvatarImageBehavior,"onDependentViewChanged/3[com.ximsfei.skindemo.coordinator.CoordinatorLayout,com.ximsfei.skindemo.coordinator.CircleImageView,com.ximsfei.skindemo.coordinator.View]",mStartXPosition,2
