file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/android-support/skin-support/src/main/java/skin/support/widget/SkinCompatCheckBox.java,SkinCompatCheckBox,SkinCompatCheckBox/1[Context],context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/android-support/skin-support/src/main/java/skin/support/widget/SkinCompatCheckBox.java,SkinCompatCheckBox,"setTextAppearance/2[Context,int]",context,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/android-support/skin-support/src/main/java/skin/support/widget/SkinCompatCheckBox.java,SkinCompatCheckBox,"setTextAppearance/2[Context,int]",resId,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/android-support/skin-support/src/main/java/skin/support/widget/SkinCompatCheckBox.java,SkinCompatCheckBox,"SkinCompatCheckBox/2[Context,AttributeSet]",context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/android-support/skin-support/src/main/java/skin/support/widget/SkinCompatCheckBox.java,SkinCompatCheckBox,"SkinCompatCheckBox/2[Context,AttributeSet]",attrs,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/android-support/skin-support/src/main/java/skin/support/widget/SkinCompatCheckBox.java,SkinCompatCheckBox,"setCompoundDrawablesRelativeWithIntrinsicBounds/4[int,int,int,int]",top,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/android-support/skin-support/src/main/java/skin/support/widget/SkinCompatCheckBox.java,SkinCompatCheckBox,"setCompoundDrawablesRelativeWithIntrinsicBounds/4[int,int,int,int]",bottom,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/android-support/skin-support/src/main/java/skin/support/widget/SkinCompatCheckBox.java,SkinCompatCheckBox,"setCompoundDrawablesRelativeWithIntrinsicBounds/4[int,int,int,int]",start,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/android-support/skin-support/src/main/java/skin/support/widget/SkinCompatCheckBox.java,SkinCompatCheckBox,"setCompoundDrawablesRelativeWithIntrinsicBounds/4[int,int,int,int]",end,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/android-support/skin-support/src/main/java/skin/support/widget/SkinCompatCheckBox.java,SkinCompatCheckBox,"setCompoundDrawablesWithIntrinsicBounds/4[int,int,int,int]",top,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/android-support/skin-support/src/main/java/skin/support/widget/SkinCompatCheckBox.java,SkinCompatCheckBox,"setCompoundDrawablesWithIntrinsicBounds/4[int,int,int,int]",left,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/android-support/skin-support/src/main/java/skin/support/widget/SkinCompatCheckBox.java,SkinCompatCheckBox,"setCompoundDrawablesWithIntrinsicBounds/4[int,int,int,int]",bottom,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/android-support/skin-support/src/main/java/skin/support/widget/SkinCompatCheckBox.java,SkinCompatCheckBox,"setCompoundDrawablesWithIntrinsicBounds/4[int,int,int,int]",right,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/android-support/skin-support/src/main/java/skin/support/widget/SkinCompatCheckBox.java,SkinCompatCheckBox,"SkinCompatCheckBox/3[Context,AttributeSet,int]",context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/android-support/skin-support/src/main/java/skin/support/widget/SkinCompatCheckBox.java,SkinCompatCheckBox,"SkinCompatCheckBox/3[Context,AttributeSet,int]",defStyleAttr,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/android-support/skin-support/src/main/java/skin/support/widget/SkinCompatCheckBox.java,SkinCompatCheckBox,"SkinCompatCheckBox/3[Context,AttributeSet,int]",attrs,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-skin-support/android-support/skin-support/src/main/java/skin/support/widget/SkinCompatCheckBox.java,SkinCompatCheckBox,setBackgroundResource/1[int],resId,2
