file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android/android-show-image-and-path/src/com/hmkcode/android/image/MainActivity.java,com.hmkcode.android.image.MainActivity,"setTextViews/3[int,java.lang.String,java.lang.String]",txtRealPath,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android/android-show-image-and-path/src/com/hmkcode/android/image/MainActivity.java,com.hmkcode.android.image.MainActivity,"setTextViews/3[int,java.lang.String,java.lang.String]",txtSDK,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android/android-show-image-and-path/src/com/hmkcode/android/image/MainActivity.java,com.hmkcode.android.image.MainActivity,"setTextViews/3[int,java.lang.String,java.lang.String]",imageView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android/android-show-image-and-path/src/com/hmkcode/android/image/MainActivity.java,com.hmkcode.android.image.MainActivity,"setTextViews/3[int,java.lang.String,java.lang.String]",txtUriPath,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android/android-show-image-and-path/src/com/hmkcode/android/image/MainActivity.java,com.hmkcode.android.image.MainActivity,onCreate/1[com.hmkcode.android.image.Bundle],btnSelectImage,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android/android-show-image-and-path/src/com/hmkcode/android/image/MainActivity.java,com.hmkcode.android.image.MainActivity,onCreate/1[com.hmkcode.android.image.Bundle],txtRealPath,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android/android-show-image-and-path/src/com/hmkcode/android/image/MainActivity.java,com.hmkcode.android.image.MainActivity,onCreate/1[com.hmkcode.android.image.Bundle],txtSDK,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android/android-show-image-and-path/src/com/hmkcode/android/image/MainActivity.java,com.hmkcode.android.image.MainActivity,onCreate/1[com.hmkcode.android.image.Bundle],imageView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android/android-show-image-and-path/src/com/hmkcode/android/image/MainActivity.java,com.hmkcode.android.image.MainActivity,onCreate/1[com.hmkcode.android.image.Bundle],txtUriPath,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android/android-draw-happy-face/src/com/hmkcode/drawing/shapes/Face.java,com.hmkcode.drawing.shapes.Face,Face/1[float],eyeLeftX,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android/android-draw-happy-face/src/com/hmkcode/drawing/shapes/Face.java,com.hmkcode.drawing.shapes.Face,Face/1[float],mouthRectF,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android/android-draw-happy-face/src/com/hmkcode/drawing/shapes/Face.java,com.hmkcode.drawing.shapes.Face,Face/1[float],eyeRightx,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android/android-draw-happy-face/src/com/hmkcode/drawing/shapes/Face.java,com.hmkcode.drawing.shapes.Face,Face/1[float],facePaint,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android/android-draw-happy-face/src/com/hmkcode/drawing/shapes/Face.java,com.hmkcode.drawing.shapes.Face,Face/1[float],mouthLeftX,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android/android-draw-happy-face/src/com/hmkcode/drawing/shapes/Face.java,com.hmkcode.drawing.shapes.Face,Face/1[float],mePaint,9
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android/android-draw-happy-face/src/com/hmkcode/drawing/shapes/Face.java,com.hmkcode.drawing.shapes.Face,Face/1[float],eyeTopY,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android/android-draw-happy-face/src/com/hmkcode/drawing/shapes/Face.java,com.hmkcode.drawing.shapes.Face,Face/1[float],adjust,13
