file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/test/src/com/koushikdutta/async/test/Md5.java,com.koushikdutta.async.test.Md5,update/1[com.koushikdutta.async.ByteBufferList],digest,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/test/src/com/koushikdutta/async/test/Md5.java,com.koushikdutta.async.test.Md5,digest/0,digest,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/DocumentBody.java,com.koushikdutta.async.http.body.DocumentBody,DocumentBody/1[org.w3c.dom.Document],document,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/DocumentBody.java,com.koushikdutta.async.http.body.DocumentBody,get/0,document,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/DocumentBody.java,com.koushikdutta.async.http.body.DocumentBody,getContentType/0,CONTENT_TYPE,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/DocumentBody.java,com.koushikdutta.async.http.body.DocumentBody,length/0,bout,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/DocumentBody.java,com.koushikdutta.async.http.body.DocumentBody,prepare/0,bout,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/DocumentBody.java,com.koushikdutta.async.http.body.DocumentBody,prepare/0,document,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/DocumentBody.java,com.koushikdutta.async.http.body.DocumentBody,"write/3[com.koushikdutta.async.http.AsyncHttpRequest,com.koushikdutta.async.DataSink,com.koushikdutta.async.callback.CompletedCallback]",bout,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/test/src/com/koushikdutta/async/test/CacheTests.java,com.koushikdutta.async.test.CacheTests,testFilteredDataEmitter/0,TIMEOUT,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/test/src/com/koushikdutta/async/test/CacheTests.java,com.koushikdutta.async.test.CacheTests,test304/0,dataNameAndHash,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/AsyncServer.java,com.koushikdutta.async.AsyncServer$Scheduled,"Scheduled/3[com.koushikdutta.async.AsyncServer,java.lang.Runnable,long]",server,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/AsyncServer.java,com.koushikdutta.async.AsyncServer$Scheduled,"Scheduled/3[com.koushikdutta.async.AsyncServer,java.lang.Runnable,long]",runnable,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/AsyncServer.java,com.koushikdutta.async.AsyncServer$Scheduled,"Scheduled/3[com.koushikdutta.async.AsyncServer,java.lang.Runnable,long]",time,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/AsyncServer.java,com.koushikdutta.async.AsyncServer$Scheduled,isCancelled/0,cancelled,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/AsyncServer.java,com.koushikdutta.async.AsyncServer$Scheduled,run/0,runnable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/AsyncServer.java,com.koushikdutta.async.AsyncServer$Scheduled,isDone/0,server,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/AsyncServer.java,com.koushikdutta.async.AsyncServer$Scheduled,isDone/0,cancelled,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/AsyncServer.java,com.koushikdutta.async.AsyncServer$Scheduled,cancel/0,server,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/AsyncServer.java,com.koushikdutta.async.AsyncServer$Scheduled,cancel/0,cancelled,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/server/AsyncHttpServerRouter.java,com.koushikdutta.async.http.server.AsyncHttpServerRouter$Asset,"Asset/3[int,java.io.InputStream,java.lang.String]",path,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/server/AsyncHttpServerRouter.java,com.koushikdutta.async.http.server.AsyncHttpServerRouter$Asset,"Asset/3[int,java.io.InputStream,java.lang.String]",available,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/server/AsyncHttpServerRouter.java,com.koushikdutta.async.http.server.AsyncHttpServerRouter$Asset,"Asset/3[int,java.io.InputStream,java.lang.String]",inputStream,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/JSONObjectBody.java,com.koushikdutta.async.http.body.JSONObjectBody,get/0,json,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/JSONObjectBody.java,com.koushikdutta.async.http.body.JSONObjectBody,JSONObjectBody/1[com.koushikdutta.async.http.body.JSONObject],json,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/JSONObjectBody.java,com.koushikdutta.async.http.body.JSONObjectBody,length/0,json,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/JSONObjectBody.java,com.koushikdutta.async.http.body.JSONObjectBody,length/0,mBodyBytes,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/JSONObjectBody.java,com.koushikdutta.async.http.body.JSONObjectBody,getContentType/0,CONTENT_TYPE,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/JSONObjectBody.java,com.koushikdutta.async.http.body.JSONObjectBody,"write/3[com.koushikdutta.async.http.AsyncHttpRequest,com.koushikdutta.async.DataSink,com.koushikdutta.async.callback.CompletedCallback]",mBodyBytes,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/PushParser.java,com.koushikdutta.async.PushParser$ByteArrayWaiter,"ByteArrayWaiter/2[int,com.koushikdutta.async.PushParser.ParseCallback<byte[]>]",callback,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/PushParser.java,com.koushikdutta.async.PushParser$ByteArrayWaiter,"onDataAvailable/2[com.koushikdutta.async.DataEmitter,com.koushikdutta.async.ByteBufferList]",callback,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/AsyncHttpPost.java,com.koushikdutta.async.http.AsyncHttpPost,AsyncHttpPost/1[com.koushikdutta.async.http.Uri],METHOD,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/ByteBufferList.java,com.koushikdutta.async.ByteBufferList,peekString/1[java.nio.charset.Charset],mBuffers,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/ByteBufferList.java,com.koushikdutta.async.ByteBufferList,peekString/1[java.nio.charset.Charset],remaining,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/ByteBufferList.java,com.koushikdutta.async.ByteBufferList,read/1[int],mBuffers,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/ByteBufferList.java,com.koushikdutta.async.ByteBufferList,read/1[int],EMPTY_BYTEBUFFER,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/ByteBufferList.java,com.koushikdutta.async.ByteBufferList,read/1[int],remaining,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/ByteBufferList.java,com.koushikdutta.async.ByteBufferList,read/1[int],order,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/ByteBufferList.java,com.koushikdutta.async.ByteBufferList,getShort/0,remaining,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/ByteBufferList.java,com.koushikdutta.async.ByteBufferList,order/0,order,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/ByteBufferList.java,com.koushikdutta.async.ByteBufferList,getInt/0,remaining,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/ByteBufferList.java,com.koushikdutta.async.ByteBufferList,"obtainArray/2[java.nio.ByteBuffer[],int]",LOCK,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/ByteBufferList.java,com.koushikdutta.async.ByteBufferList,"obtainArray/2[java.nio.ByteBuffer[],int]",EMPTY_BYTEBUFFER,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/ByteBufferList.java,com.koushikdutta.async.ByteBufferList,"obtainArray/2[java.nio.ByteBuffer[],int]",currentSize,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/ByteBufferList.java,com.koushikdutta.async.ByteBufferList,setMaxPoolSize/1[int],MAX_SIZE,1
