file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/future/FutureThread.java,com.koushikdutta.async.future.FutureThread$Anonymous1,run/0,e,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/test/src/com/koushikdutta/async/test/Md5.java,com.koushikdutta.async.test.Md5,update/1[com.koushikdutta.async.ByteBufferList],bb,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/test/src/com/koushikdutta/async/test/Md5.java,com.koushikdutta.async.test.Md5,update/1[com.koushikdutta.async.ByteBufferList],b,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/test/src/com/koushikdutta/async/test/Md5.java,com.koushikdutta.async.test.Md5,digest/0,hash,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/test/src/com/koushikdutta/async/test/Md5.java,com.koushikdutta.async.test.Md5,createInstance/0,md5,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/DocumentBody.java,com.koushikdutta.async.http.body.DocumentBody,DocumentBody/1[org.w3c.dom.Document],document,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/DocumentBody.java,com.koushikdutta.async.http.body.DocumentBody,prepare/0,result,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/DocumentBody.java,com.koushikdutta.async.http.body.DocumentBody,prepare/0,tf,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/DocumentBody.java,com.koushikdutta.async.http.body.DocumentBody,prepare/0,e,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/DocumentBody.java,com.koushikdutta.async.http.body.DocumentBody,prepare/0,transformer,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/DocumentBody.java,com.koushikdutta.async.http.body.DocumentBody,prepare/0,source,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/DocumentBody.java,com.koushikdutta.async.http.body.DocumentBody,prepare/0,writer,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/DocumentBody.java,com.koushikdutta.async.http.body.DocumentBody,"parse/2[com.koushikdutta.async.DataEmitter,com.koushikdutta.async.callback.CompletedCallback]",completed,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/DocumentBody.java,com.koushikdutta.async.http.body.DocumentBody,"parse/2[com.koushikdutta.async.DataEmitter,com.koushikdutta.async.callback.CompletedCallback]",emitter,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/DocumentBody.java,com.koushikdutta.async.http.body.DocumentBody,"write/3[com.koushikdutta.async.http.AsyncHttpRequest,com.koushikdutta.async.DataSink,com.koushikdutta.async.callback.CompletedCallback]",request,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/DocumentBody.java,com.koushikdutta.async.http.body.DocumentBody,"write/3[com.koushikdutta.async.http.AsyncHttpRequest,com.koushikdutta.async.DataSink,com.koushikdutta.async.callback.CompletedCallback]",sink,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/DocumentBody.java,com.koushikdutta.async.http.body.DocumentBody,"write/3[com.koushikdutta.async.http.AsyncHttpRequest,com.koushikdutta.async.DataSink,com.koushikdutta.async.callback.CompletedCallback]",bytes,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/body/DocumentBody.java,com.koushikdutta.async.http.body.DocumentBody,"write/3[com.koushikdutta.async.http.AsyncHttpRequest,com.koushikdutta.async.DataSink,com.koushikdutta.async.callback.CompletedCallback]",completed,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/HttpUtil.java,com.koushikdutta.async.http.HttpUtil,"getBodyDecoder/4[com.koushikdutta.async.DataEmitter,com.koushikdutta.async.http.Protocol,com.koushikdutta.async.http.Headers,boolean]",headers,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/HttpUtil.java,com.koushikdutta.async.http.HttpUtil,"getBodyDecoder/4[com.koushikdutta.async.DataEmitter,com.koushikdutta.async.http.Protocol,com.koushikdutta.async.http.Headers,boolean]",server,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/HttpUtil.java,com.koushikdutta.async.http.HttpUtil,"getBodyDecoder/4[com.koushikdutta.async.DataEmitter,com.koushikdutta.async.http.Protocol,com.koushikdutta.async.http.Headers,boolean]",ender,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/HttpUtil.java,com.koushikdutta.async.http.HttpUtil,"getBodyDecoder/4[com.koushikdutta.async.DataEmitter,com.koushikdutta.async.http.Protocol,com.koushikdutta.async.http.Headers,boolean]",contentLengthWatcher,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/HttpUtil.java,com.koushikdutta.async.http.HttpUtil,"getBodyDecoder/4[com.koushikdutta.async.DataEmitter,com.koushikdutta.async.http.Protocol,com.koushikdutta.async.http.Headers,boolean]",protocol,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/HttpUtil.java,com.koushikdutta.async.http.HttpUtil,"getBodyDecoder/4[com.koushikdutta.async.DataEmitter,com.koushikdutta.async.http.Protocol,com.koushikdutta.async.http.Headers,boolean]",_contentLength,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAsync/AndroidAsync/src/com/koushikdutta/async/http/HttpUtil.java,com.koushikdutta.async.http.HttpUtil,"getBodyDecoder/4[com.koushikdutta.async.DataEmitter,com.koushikdutta.async.http.Protocol,com.koushikdutta.async.http.Headers,boolean]",ex,0
