file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/demo-subunits/src/androidTest/java/me/jessyan/autosize/demo/ExampleInstrumentedTest.java,ExampleInstrumentedTest,useAppContext/0,appContext,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/autosize/src/main/java/me/jessyan/autosize/WrapperAutoAdaptStrategy.java,me.jessyan.autosize.WrapperAutoAdaptStrategy,"applyAdapt/2[java.lang.Object,me.jessyan.autosize.Activity]",activity,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/autosize/src/main/java/me/jessyan/autosize/WrapperAutoAdaptStrategy.java,me.jessyan.autosize.WrapperAutoAdaptStrategy,"applyAdapt/2[java.lang.Object,me.jessyan.autosize.Activity]",onAdaptListener,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/autosize/src/main/java/me/jessyan/autosize/WrapperAutoAdaptStrategy.java,me.jessyan.autosize.WrapperAutoAdaptStrategy,"applyAdapt/2[java.lang.Object,me.jessyan.autosize.Activity]",target,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/autosize/src/main/java/me/jessyan/autosize/WrapperAutoAdaptStrategy.java,me.jessyan.autosize.WrapperAutoAdaptStrategy,WrapperAutoAdaptStrategy/1[me.jessyan.autosize.AutoAdaptStrategy],autoAdaptStrategy,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/autosize/src/main/java/me/jessyan/autosize/unit/UnitsManager.java,me.jessyan.autosize.unit.UnitsManager,setSupportSubunits/1[me.jessyan.autosize.unit.Subunits],supportSubunits,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/autosize/src/main/java/me/jessyan/autosize/unit/UnitsManager.java,me.jessyan.autosize.unit.UnitsManager,setSupportScreenSizeDP/1[boolean],supportScreenSizeDP,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/autosize/src/main/java/me/jessyan/autosize/unit/UnitsManager.java,me.jessyan.autosize.unit.UnitsManager,"setDesignSize/2[float,float]",designWidth,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/autosize/src/main/java/me/jessyan/autosize/unit/UnitsManager.java,me.jessyan.autosize.unit.UnitsManager,"setDesignSize/2[float,float]",designHeight,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/autosize/src/main/java/me/jessyan/autosize/unit/UnitsManager.java,me.jessyan.autosize.unit.UnitsManager,setDesignWidth/1[float],designWidth,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/autosize/src/main/java/me/jessyan/autosize/unit/UnitsManager.java,me.jessyan.autosize.unit.UnitsManager,setSupportDP/1[boolean],supportDP,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/autosize/src/main/java/me/jessyan/autosize/unit/UnitsManager.java,me.jessyan.autosize.unit.UnitsManager,setSupportSP/1[boolean],supportSP,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/autosize/src/main/java/me/jessyan/autosize/unit/UnitsManager.java,me.jessyan.autosize.unit.UnitsManager,setDesignHeight/1[float],designHeight,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/demo-androidx/src/main/java/me/jessyan/autosize/demo/androidx/CustomAdaptActivity.java,me.jessyan.autosize.demo.androidx.CustomAdaptActivity,goCustomAdaptFragment/1[me.jessyan.autosize.demo.androidx.View],view,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/demo-androidx/src/main/java/me/jessyan/autosize/demo/androidx/CustomAdaptActivity.java,me.jessyan.autosize.demo.androidx.CustomAdaptActivity,onCreate/1[me.jessyan.autosize.demo.androidx.Bundle],savedInstanceState,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/demo/src/main/java/me/jessyan/autosize/demo/CustomFragment3.java,me.jessyan.autosize.demo.CustomFragment3,"onCreateView/3[me.jessyan.autosize.demo.LayoutInflater,me.jessyan.autosize.demo.ViewGroup,me.jessyan.autosize.demo.Bundle]",container,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/demo/src/main/java/me/jessyan/autosize/demo/CustomFragment3.java,me.jessyan.autosize.demo.CustomFragment3,"onCreateView/3[me.jessyan.autosize.demo.LayoutInflater,me.jessyan.autosize.demo.ViewGroup,me.jessyan.autosize.demo.Bundle]",savedInstanceState,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/demo/src/main/java/me/jessyan/autosize/demo/CustomFragment3.java,me.jessyan.autosize.demo.CustomFragment3,"onCreateView/3[me.jessyan.autosize.demo.LayoutInflater,me.jessyan.autosize.demo.ViewGroup,me.jessyan.autosize.demo.Bundle]",inflater,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/demo/src/main/java/me/jessyan/autosize/demo/CustomFragment1.java,me.jessyan.autosize.demo.CustomFragment1,"createTextView/3[me.jessyan.autosize.demo.LayoutInflater,java.lang.String,int]",backgroundColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/demo/src/main/java/me/jessyan/autosize/demo/CustomFragment1.java,me.jessyan.autosize.demo.CustomFragment1,"createTextView/3[me.jessyan.autosize.demo.LayoutInflater,java.lang.String,int]",view,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/demo/src/main/java/me/jessyan/autosize/demo/CustomFragment1.java,me.jessyan.autosize.demo.CustomFragment1,"createTextView/3[me.jessyan.autosize.demo.LayoutInflater,java.lang.String,int]",layoutParams,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/demo/src/main/java/me/jessyan/autosize/demo/CustomFragment1.java,me.jessyan.autosize.demo.CustomFragment1,"createTextView/3[me.jessyan.autosize.demo.LayoutInflater,java.lang.String,int]",inflater,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/demo/src/main/java/me/jessyan/autosize/demo/CustomFragment1.java,me.jessyan.autosize.demo.CustomFragment1,"createTextView/3[me.jessyan.autosize.demo.LayoutInflater,java.lang.String,int]",content,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidAutoSize/demo/src/main/java/me/jessyan/autosize/demo/CustomFragment1.java,me.jessyan.autosize.demo.CustomFragment1,"onCreateView/3[me.jessyan.autosize.demo.LayoutInflater,me.jessyan.autosize.demo.ViewGroup,me.jessyan.autosize.demo.Bundle]",container,0
