file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/core/har/HarPostDataParam.java,net.lightbody.bmp.core.har.HarPostDataParam,setValue/1[java.lang.String],value,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/core/har/HarPostDataParam.java,net.lightbody.bmp.core.har.HarPostDataParam,setFileName/1[java.lang.String],fileName,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/core/har/HarPostDataParam.java,net.lightbody.bmp.core.har.HarPostDataParam,"HarPostDataParam/2[java.lang.String,java.lang.String]",name,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/core/har/HarPostDataParam.java,net.lightbody.bmp.core.har.HarPostDataParam,"HarPostDataParam/2[java.lang.String,java.lang.String]",value,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/core/har/HarPostDataParam.java,net.lightbody.bmp.core.har.HarPostDataParam,setComment/1[java.lang.String],comment,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/core/har/HarPostDataParam.java,net.lightbody.bmp.core.har.HarPostDataParam,setContentType/1[java.lang.String],contentType,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/core/har/HarPostDataParam.java,net.lightbody.bmp.core.har.HarPostDataParam,getName/0,name,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/core/har/HarPostDataParam.java,net.lightbody.bmp.core.har.HarPostDataParam,setName/1[java.lang.String],name,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/core/har/HarPostDataParam.java,net.lightbody.bmp.core.har.HarPostDataParam,getContentType/0,contentType,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/core/har/HarPostDataParam.java,net.lightbody.bmp.core.har.HarPostDataParam,getComment/0,comment,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/core/har/HarPostDataParam.java,net.lightbody.bmp.core.har.HarPostDataParam,getFileName/0,fileName,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/core/har/HarPostDataParam.java,net.lightbody.bmp.core.har.HarPostDataParam,getValue/0,value,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/mitm/util/SslUtil.java,net.lightbody.bmp.mitm.util.SslUtil,getEnabledJdkCipherSuites/0,log,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/mitm/util/SslUtil.java,net.lightbody.bmp.mitm.util.SslUtil,getBuiltInCipherList/0,DEFAULT_CIPHERS_LIST_RESOURCE,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/mitm/util/SslUtil.java,net.lightbody.bmp.mitm.util.SslUtil,getDefaultCipherList/0,defaultCipherList,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/mitm/util/SslUtil.java,net.lightbody.bmp.mitm.util.SslUtil,"getUpstreamServerSslContext/2[java.util.Collection<java.lang.String>,net.lightbody.bmp.mitm.TrustSource]",log,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/cn/darkal/networkdiagnosis/View/RecycleViewDivider.java,cn.darkal.networkdiagnosis.View.RecycleViewDivider,"onDraw/2[cn.darkal.networkdiagnosis.View.Canvas,cn.darkal.networkdiagnosis.View.RecyclerView]",VERTICAL_LIST,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/cn/darkal/networkdiagnosis/View/RecycleViewDivider.java,cn.darkal.networkdiagnosis.View.RecycleViewDivider,"onDraw/2[cn.darkal.networkdiagnosis.View.Canvas,cn.darkal.networkdiagnosis.View.RecyclerView]",mOrientation,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/cn/darkal/networkdiagnosis/View/RecycleViewDivider.java,cn.darkal.networkdiagnosis.View.RecycleViewDivider,"drawVertical/2[cn.darkal.networkdiagnosis.View.Canvas,cn.darkal.networkdiagnosis.View.RecyclerView]",mDivider,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/cn/darkal/networkdiagnosis/View/RecycleViewDivider.java,cn.darkal.networkdiagnosis.View.RecycleViewDivider,"RecycleViewDivider/2[cn.darkal.networkdiagnosis.View.Context,int]",mDivider,1
