file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/core/har/HarPostDataParam.java,net.lightbody.bmp.core.har.HarPostDataParam,setValue/1[java.lang.String],value,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/core/har/HarPostDataParam.java,net.lightbody.bmp.core.har.HarPostDataParam,setFileName/1[java.lang.String],fileName,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/core/har/HarPostDataParam.java,net.lightbody.bmp.core.har.HarPostDataParam,"HarPostDataParam/2[java.lang.String,java.lang.String]",name,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/core/har/HarPostDataParam.java,net.lightbody.bmp.core.har.HarPostDataParam,"HarPostDataParam/2[java.lang.String,java.lang.String]",value,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/core/har/HarPostDataParam.java,net.lightbody.bmp.core.har.HarPostDataParam,setComment/1[java.lang.String],comment,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/core/har/HarPostDataParam.java,net.lightbody.bmp.core.har.HarPostDataParam,setContentType/1[java.lang.String],contentType,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/core/har/HarPostDataParam.java,net.lightbody.bmp.core.har.HarPostDataParam,setName/1[java.lang.String],name,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/mitm/util/SslUtil.java,net.lightbody.bmp.mitm.util.SslUtil,getEnabledJdkCipherSuites/0,defaultCiphers,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/mitm/util/SslUtil.java,net.lightbody.bmp.mitm.util.SslUtil,getEnabledJdkCipherSuites/0,t,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/mitm/util/SslUtil.java,net.lightbody.bmp.mitm.util.SslUtil,getEnabledJdkCipherSuites/0,sslContext,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidHttpCapture/app/src/main/java/net/lightbody/bmp/mitm/util/SslUtil.java,net.lightbody.bmp.mitm.util.SslUtil,getServerCertificate/1[javax.net.ssl.SSLSession],peerCertificate,2
