file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/Transformers/ZoomOutTransformer.java,com.daimajia.slider.library.Transformers.ZoomOutTransformer,"onTransform/2[com.daimajia.slider.library.Transformers.View,float]",view,9
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/Transformers/ZoomOutTransformer.java,com.daimajia.slider.library.Transformers.ZoomOutTransformer,"onTransform/2[com.daimajia.slider.library.Transformers.View,float]",scale,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/Transformers/ZoomOutTransformer.java,com.daimajia.slider.library.Transformers.ZoomOutTransformer,"onTransform/2[com.daimajia.slider.library.Transformers.View,float]",position,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/Indicators/PagerIndicator.java,com.daimajia.slider.library.Indicators.PagerIndicator$Anonymous1,onChanged/0,indicator,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/Indicators/PagerIndicator.java,com.daimajia.slider.library.Indicators.PagerIndicator$Anonymous1,onChanged/0,adapter,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/Indicators/PagerIndicator.java,com.daimajia.slider.library.Indicators.PagerIndicator$Anonymous1,onChanged/0,count,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/Indicators/PagerIndicator.java,com.daimajia.slider.library.Indicators.PagerIndicator$Anonymous1,onChanged/0,i,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,setIndicatorVisibility/1[com.daimajia.slider.library.Indicators.PagerIndicator.IndicatorVisibility],visibility,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,"setPagerTransformer/2[boolean,com.daimajia.slider.library.Transformers.BaseTransformer]",reverseDrawingOrder,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,"setPagerTransformer/2[boolean,com.daimajia.slider.library.Transformers.BaseTransformer]",transformer,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,removeAllSliders/0,count,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,setCustomIndicator/1[com.daimajia.slider.library.Indicators.PagerIndicator],indicator,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,removeOnPageChangeListener/1[com.daimajia.slider.library.Tricks.ViewPagerEx.OnPageChangeListener],onPageChangeListener,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,setDuration/1[long],duration,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,addOnPageChangeListener/1[com.daimajia.slider.library.Tricks.ViewPagerEx.OnPageChangeListener],onPageChangeListener,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,"SliderLayout/2[com.daimajia.slider.library.Context,com.daimajia.slider.library.AttributeSet]",context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,"SliderLayout/2[com.daimajia.slider.library.Context,com.daimajia.slider.library.AttributeSet]",attrs,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,"SliderLayout/3[com.daimajia.slider.library.Context,com.daimajia.slider.library.AttributeSet,int]",wrappedAdapter,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,"SliderLayout/3[com.daimajia.slider.library.Context,com.daimajia.slider.library.AttributeSet,int]",visibility,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,"SliderLayout/3[com.daimajia.slider.library.Context,com.daimajia.slider.library.AttributeSet,int]",v,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,"SliderLayout/3[com.daimajia.slider.library.Context,com.daimajia.slider.library.AttributeSet,int]",context,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,"SliderLayout/3[com.daimajia.slider.library.Context,com.daimajia.slider.library.AttributeSet,int]",attributes,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,"SliderLayout/3[com.daimajia.slider.library.Context,com.daimajia.slider.library.AttributeSet,int]",defStyle,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,"SliderLayout/3[com.daimajia.slider.library.Context,com.daimajia.slider.library.AttributeSet,int]",attrs,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,removeSliderAt/1[int],position,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,onInterceptTouchEvent/1[com.daimajia.slider.library.MotionEvent],ev,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,onInterceptTouchEvent/1[com.daimajia.slider.library.MotionEvent],action,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,addSlider/1[T],imageContent,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,SliderLayout/1[com.daimajia.slider.library.Context],context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,setPresetTransformer/1[java.lang.String],t,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,setPresetTransformer/1[java.lang.String],transformerName,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,getRealAdapter/0,adapter,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,moveNextPosition/1[boolean],smooth,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,getCurrentSlider/0,count,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,getCurrentSlider/0,realCount,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,"startAutoCycle/3[long,long,boolean]",duration,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,"startAutoCycle/3[long,long,boolean]",delay,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,"startAutoCycle/3[long,long,boolean]",autoRecover,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,"setCurrentPosition/2[int,boolean]",p,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,"setCurrentPosition/2[int,boolean]",position,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,"setCurrentPosition/2[int,boolean]",n,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,"setCurrentPosition/2[int,boolean]",smooth,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,setCurrentPosition/1[int],position,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,setCustomAnimation/1[com.daimajia.slider.library.Animations.BaseAnimationInterface],animation,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,setPresetTransformer/1[com.daimajia.slider.library.SliderLayout.Transformer],t,17
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,setPresetTransformer/1[com.daimajia.slider.library.SliderLayout.Transformer],ts,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidImageSlider/library/src/main/java/com/daimajia/slider/library/SliderLayout.java,com.daimajia.slider.library.SliderLayout,setPresetIndicator/1[com.daimajia.slider.library.SliderLayout.PresetIndicators],presetIndicator,1
