file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/source/AssetSource.java,com.github.barteksc.pdfviewer.source.AssetSource,AssetSource/1[java.lang.String],assetName,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/source/AssetSource.java,com.github.barteksc.pdfviewer.source.AssetSource,"createDocument/3[com.github.barteksc.pdfviewer.source.Context,com.github.barteksc.pdfviewer.source.PdfiumCore,java.lang.String]",core,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/source/AssetSource.java,com.github.barteksc.pdfviewer.source.AssetSource,"createDocument/3[com.github.barteksc.pdfviewer.source.Context,com.github.barteksc.pdfviewer.source.PdfiumCore,java.lang.String]",password,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/source/AssetSource.java,com.github.barteksc.pdfviewer.source.AssetSource,"createDocument/3[com.github.barteksc.pdfviewer.source.Context,com.github.barteksc.pdfviewer.source.PdfiumCore,java.lang.String]",f,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/source/AssetSource.java,com.github.barteksc.pdfviewer.source.AssetSource,"createDocument/3[com.github.barteksc.pdfviewer.source.Context,com.github.barteksc.pdfviewer.source.PdfiumCore,java.lang.String]",context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/source/AssetSource.java,com.github.barteksc.pdfviewer.source.AssetSource,"createDocument/3[com.github.barteksc.pdfviewer.source.Context,com.github.barteksc.pdfviewer.source.PdfiumCore,java.lang.String]",pfd,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/scroll/DefaultScrollHandle.java,com.github.barteksc.pdfviewer.scroll.DefaultScrollHandle,onTouchEvent/1[com.github.barteksc.pdfviewer.scroll.MotionEvent],event,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/scroll/DefaultScrollHandle.java,com.github.barteksc.pdfviewer.scroll.DefaultScrollHandle,setScroll/1[float],position,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/scroll/DefaultScrollHandle.java,com.github.barteksc.pdfviewer.scroll.DefaultScrollHandle,setPosition/1[float],pos,9
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/scroll/DefaultScrollHandle.java,com.github.barteksc.pdfviewer.scroll.DefaultScrollHandle,setPosition/1[float],pdfViewSize,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/scroll/DefaultScrollHandle.java,com.github.barteksc.pdfviewer.scroll.DefaultScrollHandle,setPageNum/1[int],text,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/scroll/DefaultScrollHandle.java,com.github.barteksc.pdfviewer.scroll.DefaultScrollHandle,setPageNum/1[int],pageNum,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/scroll/DefaultScrollHandle.java,com.github.barteksc.pdfviewer.scroll.DefaultScrollHandle,calculateMiddle/0,viewSize,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/scroll/DefaultScrollHandle.java,com.github.barteksc.pdfviewer.scroll.DefaultScrollHandle,calculateMiddle/0,pos,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/scroll/DefaultScrollHandle.java,com.github.barteksc.pdfviewer.scroll.DefaultScrollHandle,calculateMiddle/0,pdfViewSize,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/scroll/DefaultScrollHandle.java,com.github.barteksc.pdfviewer.scroll.DefaultScrollHandle,setTextSize/1[int],size,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/scroll/DefaultScrollHandle.java,com.github.barteksc.pdfviewer.scroll.DefaultScrollHandle,DefaultScrollHandle/1[com.github.barteksc.pdfviewer.scroll.Context],context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/scroll/DefaultScrollHandle.java,com.github.barteksc.pdfviewer.scroll.DefaultScrollHandle,setupLayout/1[com.github.barteksc.pdfviewer.PDFView],tvlp,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/scroll/DefaultScrollHandle.java,com.github.barteksc.pdfviewer.scroll.DefaultScrollHandle,setupLayout/1[com.github.barteksc.pdfviewer.PDFView],pdfView,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/scroll/DefaultScrollHandle.java,com.github.barteksc.pdfviewer.scroll.DefaultScrollHandle,setupLayout/1[com.github.barteksc.pdfviewer.PDFView],lp,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/scroll/DefaultScrollHandle.java,com.github.barteksc.pdfviewer.scroll.DefaultScrollHandle,setupLayout/1[com.github.barteksc.pdfviewer.PDFView],background,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/scroll/DefaultScrollHandle.java,com.github.barteksc.pdfviewer.scroll.DefaultScrollHandle,setupLayout/1[com.github.barteksc.pdfviewer.PDFView],width,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/scroll/DefaultScrollHandle.java,com.github.barteksc.pdfviewer.scroll.DefaultScrollHandle,setupLayout/1[com.github.barteksc.pdfviewer.PDFView],align,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPdfViewer/android-pdf-viewer/src/main/java/com/github/barteksc/pdfviewer/scroll/DefaultScrollHandle.java,com.github.barteksc.pdfviewer.scroll.DefaultScrollHandle,setupLayout/1[com.github.barteksc.pdfviewer.PDFView],height,3
