file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPerformanceMonitor/blockcanary-analyzer/src/main/java/com/github/moduth/blockcanary/LooperMonitor.java,com.github.moduth.blockcanary.LooperMonitor$BlockListener,"onBlockEvent/4[long,long,long,long]",threadTimeEnd,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPerformanceMonitor/blockcanary-analyzer/src/main/java/com/github/moduth/blockcanary/LooperMonitor.java,com.github.moduth.blockcanary.LooperMonitor$BlockListener,"onBlockEvent/4[long,long,long,long]",realTimeEnd,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPerformanceMonitor/blockcanary-analyzer/src/main/java/com/github/moduth/blockcanary/LooperMonitor.java,com.github.moduth.blockcanary.LooperMonitor$BlockListener,"onBlockEvent/4[long,long,long,long]",realStartTime,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPerformanceMonitor/blockcanary-analyzer/src/main/java/com/github/moduth/blockcanary/LooperMonitor.java,com.github.moduth.blockcanary.LooperMonitor$BlockListener,"onBlockEvent/4[long,long,long,long]",threadTimeStart,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPerformanceMonitor/blockcanary-analyzer/src/main/java/com/github/moduth/blockcanary/AbstractSampler.java,com.github.moduth.blockcanary.AbstractSampler,AbstractSampler/1[long],sampleInterval,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPerformanceMonitor/blockcanary-analyzer/src/main/java/com/github/moduth/blockcanary/BlockCanaryInternals.java,com.github.moduth.blockcanary.BlockCanaryInternals$BlockLogFileFilter,"accept/2[java.io.File,java.lang.String]",filename,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPerformanceMonitor/blockcanary-analyzer/src/main/java/com/github/moduth/blockcanary/BlockCanaryInternals.java,com.github.moduth.blockcanary.BlockCanaryInternals$BlockLogFileFilter,"accept/2[java.io.File,java.lang.String]",dir,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPerformanceMonitor/blockcanary-android/src/main/java/com/github/moduth/blockcanary/Uploader.java,com.github.moduth.blockcanary.Uploader$Anonymous1,run/0,file,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPerformanceMonitor/blockcanary-analyzer/src/main/java/com/github/moduth/blockcanary/BlockCanaryContext.java,BlockCanaryContext,"init/2[Context,BlockCanaryContext]",blockCanaryContext,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPerformanceMonitor/blockcanary-analyzer/src/main/java/com/github/moduth/blockcanary/BlockCanaryContext.java,BlockCanaryContext,"init/2[Context,BlockCanaryContext]",context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPerformanceMonitor/blockcanary-analyzer/src/main/java/com/github/moduth/blockcanary/BlockCanaryContext.java,BlockCanaryContext,provideWhiteList/0,whiteList,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPerformanceMonitor/blockcanary-analyzer/src/main/java/com/github/moduth/blockcanary/BlockCanaryContext.java,BlockCanaryContext,upload/1[File],zippedFile,0
