file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPicker/ImagePicker/src/main/java/com/github/gzuliyujiang/imagepicker/CropImageOptions.java,com.github.gzuliyujiang.imagepicker.CropImageOptions,CropImageOptions/0,cropShape,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPicker/ImagePicker/src/main/java/com/github/gzuliyujiang/imagepicker/CropImageOptions.java,com.github.gzuliyujiang.imagepicker.CropImageOptions,CropImageOptions/0,showProgressBar,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPicker/ImagePicker/src/main/java/com/github/gzuliyujiang/imagepicker/CropImageOptions.java,com.github.gzuliyujiang.imagepicker.CropImageOptions,CropImageOptions/0,guidelinesThickness,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPicker/ImagePicker/src/main/java/com/github/gzuliyujiang/imagepicker/CropImageOptions.java,com.github.gzuliyujiang.imagepicker.CropImageOptions,CropImageOptions/0,maxZoom,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPicker/ImagePicker/src/main/java/com/github/gzuliyujiang/imagepicker/CropImageOptions.java,com.github.gzuliyujiang.imagepicker.CropImageOptions,CropImageOptions/0,outputUri,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPicker/ImagePicker/src/main/java/com/github/gzuliyujiang/imagepicker/CropImageOptions.java,com.github.gzuliyujiang.imagepicker.CropImageOptions,CropImageOptions/0,autoZoomEnabled,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPicker/ImagePicker/src/main/java/com/github/gzuliyujiang/imagepicker/CropImageOptions.java,com.github.gzuliyujiang.imagepicker.CropImageOptions,CropImageOptions/0,borderLineThickness,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPicker/ImagePicker/src/main/java/com/github/gzuliyujiang/imagepicker/CropImageOptions.java,com.github.gzuliyujiang.imagepicker.CropImageOptions,CropImageOptions/0,allowRotation,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPicker/ImagePicker/src/main/java/com/github/gzuliyujiang/imagepicker/CropImageOptions.java,com.github.gzuliyujiang.imagepicker.CropImageOptions,CropImageOptions/0,minCropWindowWidth,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidPicker/ImagePicker/src/main/java/com/github/gzuliyujiang/imagepicker/CropImageOptions.java,com.github.gzuliyujiang.imagepicker.CropImageOptions,CropImageOptions/0,multiTouchEnabled,1
