file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSlidingUpPanel/demo/src/main/java/com/sothree/slidinguppanel/demo/DemoActivity.java,com.sothree.slidinguppanel.demo.DemoActivity$Anonymous4,onClick/1[com.sothree.slidinguppanel.demo.View],v,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSlidingUpPanel/demo/src/main/java/com/sothree/slidinguppanel/demo/DemoActivity.java,com.sothree.slidinguppanel.demo.DemoActivity$Anonymous4,onClick/1[com.sothree.slidinguppanel.demo.View],i,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSlidingUpPanel/library/src/main/java/com/sothree/slidinguppanel/ViewDragHelper.java,com.sothree.slidinguppanel.ViewDragHelper$Callback,onEdgeLock/1[int],edgeFlags,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSlidingUpPanel/library/src/main/java/com/sothree/slidinguppanel/ViewDragHelper.java,com.sothree.slidinguppanel.ViewDragHelper$Callback,onViewDragStateChanged/1[int],state,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSlidingUpPanel/library/src/main/java/com/sothree/slidinguppanel/ViewDragHelper.java,com.sothree.slidinguppanel.ViewDragHelper$Callback,getViewVerticalDragRange/1[com.sothree.slidinguppanel.View],child,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSlidingUpPanel/library/src/main/java/com/sothree/slidinguppanel/ViewDragHelper.java,com.sothree.slidinguppanel.ViewDragHelper$Callback,"onViewCaptured/2[com.sothree.slidinguppanel.View,int]",activePointerId,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSlidingUpPanel/library/src/main/java/com/sothree/slidinguppanel/ViewDragHelper.java,com.sothree.slidinguppanel.ViewDragHelper$Callback,"onViewCaptured/2[com.sothree.slidinguppanel.View,int]",capturedChild,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSlidingUpPanel/library/src/main/java/com/sothree/slidinguppanel/ViewDragHelper.java,com.sothree.slidinguppanel.ViewDragHelper$Callback,"onEdgeDragStarted/2[int,int]",pointerId,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSlidingUpPanel/library/src/main/java/com/sothree/slidinguppanel/ViewDragHelper.java,com.sothree.slidinguppanel.ViewDragHelper$Callback,"onEdgeDragStarted/2[int,int]",edgeFlags,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSlidingUpPanel/library/src/main/java/com/sothree/slidinguppanel/ViewDragHelper.java,com.sothree.slidinguppanel.ViewDragHelper$Callback,getOrderedChildIndex/1[int],index,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSlidingUpPanel/library/src/main/java/com/sothree/slidinguppanel/ViewDragHelper.java,com.sothree.slidinguppanel.ViewDragHelper$Callback,getViewHorizontalDragRange/1[com.sothree.slidinguppanel.View],child,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSlidingUpPanel/library/src/main/java/com/sothree/slidinguppanel/ViewDragHelper.java,com.sothree.slidinguppanel.ViewDragHelper$Callback,"onEdgeTouched/2[int,int]",pointerId,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSlidingUpPanel/library/src/main/java/com/sothree/slidinguppanel/ViewDragHelper.java,com.sothree.slidinguppanel.ViewDragHelper$Callback,"onEdgeTouched/2[int,int]",edgeFlags,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSlidingUpPanel/library/src/main/java/com/sothree/slidinguppanel/ViewDragHelper.java,com.sothree.slidinguppanel.ViewDragHelper$Callback,"onViewPositionChanged/5[com.sothree.slidinguppanel.View,int,int,int,int]",changedView,0
