file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidStaggeredGrid/library/src/main/java/com/etsy/android/grid/ClassLoaderSavedState.java,com.etsy.android.grid.ClassLoaderSavedState,"ClassLoaderSavedState/2[com.etsy.android.grid.Parcelable,java.lang.ClassLoader]",classLoader,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidStaggeredGrid/library/src/main/java/com/etsy/android/grid/ClassLoaderSavedState.java,com.etsy.android.grid.ClassLoaderSavedState,"ClassLoaderSavedState/2[com.etsy.android.grid.Parcelable,java.lang.ClassLoader]",superState,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidStaggeredGrid/library/src/main/java/com/etsy/android/grid/ClassLoaderSavedState.java,com.etsy.android.grid.ClassLoaderSavedState,ClassLoaderSavedState/1[com.etsy.android.grid.Parcel],source,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidStaggeredGrid/library/src/main/java/com/etsy/android/grid/ClassLoaderSavedState.java,com.etsy.android.grid.ClassLoaderSavedState,ClassLoaderSavedState/1[com.etsy.android.grid.Parcel],superState,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidStaggeredGrid/library/src/main/java/com/etsy/android/grid/ClassLoaderSavedState.java,com.etsy.android.grid.ClassLoaderSavedState,"writeToParcel/2[com.etsy.android.grid.Parcel,int]",flags,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidStaggeredGrid/library/src/main/java/com/etsy/android/grid/ClassLoaderSavedState.java,com.etsy.android.grid.ClassLoaderSavedState,"writeToParcel/2[com.etsy.android.grid.Parcel,int]",dest,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidStaggeredGrid/library/src/main/java/com/etsy/android/grid/StaggeredGridView.java,com.etsy.android.grid.StaggeredGridView$GridLayoutParams,"GridLayoutParams/2[com.etsy.android.grid.Context,com.etsy.android.grid.AttributeSet]",c,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidStaggeredGrid/library/src/main/java/com/etsy/android/grid/StaggeredGridView.java,com.etsy.android.grid.StaggeredGridView$GridLayoutParams,"GridLayoutParams/2[com.etsy.android.grid.Context,com.etsy.android.grid.AttributeSet]",attrs,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidStaggeredGrid/library/src/main/java/com/etsy/android/grid/StaggeredGridView.java,com.etsy.android.grid.StaggeredGridView$GridLayoutParams,"GridLayoutParams/3[int,int,int]",w,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidStaggeredGrid/library/src/main/java/com/etsy/android/grid/StaggeredGridView.java,com.etsy.android.grid.StaggeredGridView$GridLayoutParams,"GridLayoutParams/3[int,int,int]",h,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidStaggeredGrid/library/src/main/java/com/etsy/android/grid/StaggeredGridView.java,com.etsy.android.grid.StaggeredGridView$GridLayoutParams,"GridLayoutParams/3[int,int,int]",viewType,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidStaggeredGrid/library/src/main/java/com/etsy/android/grid/StaggeredGridView.java,com.etsy.android.grid.StaggeredGridView$GridLayoutParams,"GridLayoutParams/2[int,int]",w,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidStaggeredGrid/library/src/main/java/com/etsy/android/grid/StaggeredGridView.java,com.etsy.android.grid.StaggeredGridView$GridLayoutParams,"GridLayoutParams/2[int,int]",h,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidStaggeredGrid/library/src/main/java/com/etsy/android/grid/StaggeredGridView.java,com.etsy.android.grid.StaggeredGridView$GridLayoutParams,GridLayoutParams/1[ViewGroup.LayoutParams],source,1
