file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"onViewReleased/3[com.daimajia.swipe.View,float,float]",isCloseBeforeDrag,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"tryCaptureView/2[com.daimajia.swipe.View,int]",isCloseBeforeDrag,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/demo/src/main/java/com/daimajia/swipedemo/adapter/RecyclerViewAdapter.java,com.daimajia.swipedemo.adapter.RecyclerViewAdapter$SimpleViewHolder,SimpleViewHolder/1[com.daimajia.swipedemo.adapter.View],textViewPos,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/demo/src/main/java/com/daimajia/swipedemo/adapter/RecyclerViewAdapter.java,com.daimajia.swipedemo.adapter.RecyclerViewAdapter$SimpleViewHolder,SimpleViewHolder/1[com.daimajia.swipedemo.adapter.View],buttonDelete,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/demo/src/main/java/com/daimajia/swipedemo/adapter/RecyclerViewAdapter.java,com.daimajia.swipedemo.adapter.RecyclerViewAdapter$SimpleViewHolder,SimpleViewHolder/1[com.daimajia.swipedemo.adapter.View],swipeLayout,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/demo/src/main/java/com/daimajia/swipedemo/adapter/RecyclerViewAdapter.java,com.daimajia.swipedemo.adapter.RecyclerViewAdapter$SimpleViewHolder,SimpleViewHolder/1[com.daimajia.swipedemo.adapter.View],textViewData,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/adapters/CursorSwipeAdapter.java,com.daimajia.swipe.adapters.CursorSwipeAdapter,setMode/1[com.daimajia.swipe.util.Attributes.Mode],mItemManger,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/adapters/CursorSwipeAdapter.java,com.daimajia.swipe.adapters.CursorSwipeAdapter,openItem/1[int],mItemManger,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/adapters/CursorSwipeAdapter.java,com.daimajia.swipe.adapters.CursorSwipeAdapter,closeAllItems/0,mItemManger,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/adapters/CursorSwipeAdapter.java,com.daimajia.swipe.adapters.CursorSwipeAdapter,getOpenItems/0,mItemManger,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/adapters/CursorSwipeAdapter.java,com.daimajia.swipe.adapters.CursorSwipeAdapter,closeAllExcept/1[com.daimajia.swipe.SwipeLayout],mItemManger,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/adapters/CursorSwipeAdapter.java,com.daimajia.swipe.adapters.CursorSwipeAdapter,closeItem/1[int],mItemManger,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/adapters/CursorSwipeAdapter.java,com.daimajia.swipe.adapters.CursorSwipeAdapter,removeShownLayouts/1[com.daimajia.swipe.SwipeLayout],mItemManger,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/adapters/CursorSwipeAdapter.java,com.daimajia.swipe.adapters.CursorSwipeAdapter,isOpen/1[int],mItemManger,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/adapters/CursorSwipeAdapter.java,com.daimajia.swipe.adapters.CursorSwipeAdapter,getOpenLayouts/0,mItemManger,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/adapters/CursorSwipeAdapter.java,com.daimajia.swipe.adapters.CursorSwipeAdapter,"getView/3[int,com.daimajia.swipe.adapters.View,com.daimajia.swipe.adapters.ViewGroup]",mItemManger,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/adapters/CursorSwipeAdapter.java,com.daimajia.swipe.adapters.CursorSwipeAdapter,getMode/0,mItemManger,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/demo/src/main/java/com/daimajia/swipedemo/adapter/util/DividerItemDecoration.java,com.daimajia.swipedemo.adapter.util.DividerItemDecoration,"DividerItemDecoration/2[com.daimajia.swipedemo.adapter.util.Context,com.daimajia.swipedemo.adapter.util.AttributeSet]",mDivider,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/demo/src/main/java/com/daimajia/swipedemo/adapter/util/DividerItemDecoration.java,com.daimajia.swipedemo.adapter.util.DividerItemDecoration,"DividerItemDecoration/3[com.daimajia.swipedemo.adapter.util.Drawable,boolean,boolean]",mShowFirstDivider,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/demo/src/main/java/com/daimajia/swipedemo/adapter/util/DividerItemDecoration.java,com.daimajia.swipedemo.adapter.util.DividerItemDecoration,"DividerItemDecoration/3[com.daimajia.swipedemo.adapter.util.Drawable,boolean,boolean]",mShowLastDivider,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/demo/src/main/java/com/daimajia/swipedemo/adapter/util/DividerItemDecoration.java,com.daimajia.swipedemo.adapter.util.DividerItemDecoration,"getItemOffsets/4[com.daimajia.swipedemo.adapter.util.Rect,com.daimajia.swipedemo.adapter.util.View,com.daimajia.swipedemo.adapter.util.RecyclerView,RecyclerView.State]",mDivider,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/demo/src/main/java/com/daimajia/swipedemo/adapter/util/DividerItemDecoration.java,com.daimajia.swipedemo.adapter.util.DividerItemDecoration,"DividerItemDecoration/4[com.daimajia.swipedemo.adapter.util.Context,com.daimajia.swipedemo.adapter.util.AttributeSet,boolean,boolean]",mShowFirstDivider,1
