file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/demo/src/main/java/com/daimajia/swipedemo/GridViewExample.java,com.daimajia.swipedemo.GridViewExample,onCreate/1[com.daimajia.swipedemo.Bundle],savedInstanceState,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/demo/src/main/java/com/daimajia/swipedemo/GridViewExample.java,com.daimajia.swipedemo.GridViewExample,onCreate/1[com.daimajia.swipedemo.Bundle],adapter,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/demo/src/main/java/com/daimajia/swipedemo/GridViewExample.java,com.daimajia.swipedemo.GridViewExample,onCreate/1[com.daimajia.swipedemo.Bundle],gridView,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,getViewVerticalDragRange/1[com.daimajia.swipe.View],child,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,getViewHorizontalDragRange/1[com.daimajia.swipe.View],child,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"clampViewPositionHorizontal/3[com.daimajia.swipe.View,int,int]",dx,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"clampViewPositionHorizontal/3[com.daimajia.swipe.View,int,int]",left,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"clampViewPositionHorizontal/3[com.daimajia.swipe.View,int,int]",child,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"onViewReleased/3[com.daimajia.swipe.View,float,float]",releasedChild,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"onViewReleased/3[com.daimajia.swipe.View,float,float]",yvel,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"onViewReleased/3[com.daimajia.swipe.View,float,float]",l,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"onViewReleased/3[com.daimajia.swipe.View,float,float]",xvel,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"onViewPositionChanged/5[com.daimajia.swipe.View,int,int,int,int]",changedView,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"onViewPositionChanged/5[com.daimajia.swipe.View,int,int,int,int]",evTop,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"onViewPositionChanged/5[com.daimajia.swipe.View,int,int,int,int]",evLeft,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"onViewPositionChanged/5[com.daimajia.swipe.View,int,int,int,int]",currentBottomView,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"onViewPositionChanged/5[com.daimajia.swipe.View,int,int,int,int]",evRight,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"onViewPositionChanged/5[com.daimajia.swipe.View,int,int,int,int]",newTop,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"onViewPositionChanged/5[com.daimajia.swipe.View,int,int,int,int]",surfaceView,11
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"onViewPositionChanged/5[com.daimajia.swipe.View,int,int,int,int]",newLeft,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"onViewPositionChanged/5[com.daimajia.swipe.View,int,int,int,int]",rect,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"onViewPositionChanged/5[com.daimajia.swipe.View,int,int,int,int]",top,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"onViewPositionChanged/5[com.daimajia.swipe.View,int,int,int,int]",dx,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"onViewPositionChanged/5[com.daimajia.swipe.View,int,int,int,int]",evBottom,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"onViewPositionChanged/5[com.daimajia.swipe.View,int,int,int,int]",left,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"onViewPositionChanged/5[com.daimajia.swipe.View,int,int,int,int]",dy,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"clampViewPositionVertical/3[com.daimajia.swipe.View,int,int]",surfaceView,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"clampViewPositionVertical/3[com.daimajia.swipe.View,int,int]",top,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"clampViewPositionVertical/3[com.daimajia.swipe.View,int,int]",dy,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"clampViewPositionVertical/3[com.daimajia.swipe.View,int,int]",surfaceViewTop,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"clampViewPositionVertical/3[com.daimajia.swipe.View,int,int]",child,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"tryCaptureView/2[com.daimajia.swipe.View,int]",pointerId,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"tryCaptureView/2[com.daimajia.swipe.View,int]",result,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/SwipeLayout.java,com.daimajia.swipe.SwipeLayout$Anonymous1,"tryCaptureView/2[com.daimajia.swipe.View,int]",child,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/interfaces/SwipeItemMangerInterface.java,com.daimajia.swipe.interfaces.SwipeItemMangerInterface,closeItem/1[int],position,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidSwipeLayout/library/src/main/java/com/daimajia/swipe/interfaces/SwipeItemMangerInterface.java,com.daimajia.swipe.interfaces.SwipeItemMangerInterface,isOpen/1[int],position,0
