file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,BuClick/1[com.hussein.tictactoyonline.View],PlayerSession,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,BuClick/1[com.hussein.tictactoyonline.View],MyEmail,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,BuClick/1[com.hussein.tictactoyonline.View],myRef,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,"UserLogin/2[java.lang.String,java.lang.String]",mAuth,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,onStart/0,mAuth,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,onStart/0,mAuthListener,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,BuInvite/1[com.hussein.tictactoyonline.View],MyEmail,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,BuInvite/1[com.hussein.tictactoyonline.View],etInviteEMail,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,BuInvite/1[com.hussein.tictactoyonline.View],MySample,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,BuInvite/1[com.hussein.tictactoyonline.View],myRef,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,CheckWiner/0,Player2,18
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,CheckWiner/0,Player1,18
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,onCreate/1[com.hussein.tictactoyonline.Bundle],etMyEmail,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,onCreate/1[com.hussein.tictactoyonline.Bundle],mFirebaseAnalytics,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,onCreate/1[com.hussein.tictactoyonline.Bundle],buLogin,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,onCreate/1[com.hussein.tictactoyonline.Bundle],mAuth,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,onCreate/1[com.hussein.tictactoyonline.Bundle],mAuthListener,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,onCreate/1[com.hussein.tictactoyonline.Bundle],etInviteEMail,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,IncommingRequest/0,MyEmail,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,IncommingRequest/0,myRef,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,BuAccept/1[com.hussein.tictactoyonline.View],MyEmail,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,BuAccept/1[com.hussein.tictactoyonline.View],etInviteEMail,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,BuAccept/1[com.hussein.tictactoyonline.View],MySample,1
