file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/MyCurrentLocationApp/app/src/androidTest/java/com/hussein/mycurrentlocation/ExampleInstrumentedTest.java,ExampleInstrumentedTest,useAppContext/0,appContext,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,BuClick/1[com.hussein.tictactoyonline.View],view,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,BuClick/1[com.hussein.tictactoyonline.View],buSelected,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,BuClick/1[com.hussein.tictactoyonline.View],CellID,10
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,"UserLogin/2[java.lang.String,java.lang.String]",password,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,"UserLogin/2[java.lang.String,java.lang.String]",email,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,AutoPlay/1[int],buSelected,11
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,AutoPlay/1[int],CellID,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,BuInvite/1[com.hussein.tictactoyonline.View],view,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,CheckWiner/0,Winer,15
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,onCreate/1[com.hussein.tictactoyonline.Bundle],savedInstanceState,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,BuAccept/1[com.hussein.tictactoyonline.View],view,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,BeforeAt/1[java.lang.String],Email,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,BeforeAt/1[java.lang.String],split,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,"PlayGame/2[int,com.hussein.tictactoyonline.Button]",buSelected,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,"PlayGame/2[int,com.hussein.tictactoyonline.Button]",CellID,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,BuLogin/1[com.hussein.tictactoyonline.View],view,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/TicTacToyGame/TicTacToyOnline/app/src/main/java/com/hussein/tictactoyonline/MainActivity.java,com.hussein.tictactoyonline.MainActivity,StartGame/1[java.lang.String],PlayerGameID,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/MyTracker/app/src/main/java/com/alrubaye/mytracker/MyTrackers.java,com.alrubaye.mytracker.MyTrackers$MyCustomAdapter,getItem/1[int],position,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidTutorialForBeginners/MyTracker/app/src/main/java/com/alrubaye/mytracker/MyTrackers.java,com.alrubaye.mytracker.MyTrackers$MyCustomAdapter,"getView/3[int,com.alrubaye.mytracker.View,com.alrubaye.mytracker.ViewGroup]",parent,0
