file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidWiFiADB/src/main/java/com/github/pedrovgs/androidwifiadb/adb/ADB.java,com.github.pedrovgs.androidwifiadb.adb.ADB,enableTCPCommand/0,enableTCPCommand,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidWiFiADB/src/main/java/com/github/pedrovgs/androidwifiadb/adb/ADB.java,com.github.pedrovgs.androidwifiadb.adb.ADB,getDeviceIp/1[com.github.pedrovgs.androidwifiadb.Device],getDeviceIpCommand,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidWiFiADB/src/main/java/com/github/pedrovgs/androidwifiadb/adb/ADB.java,com.github.pedrovgs.androidwifiadb.adb.ADB,getDeviceIp/1[com.github.pedrovgs.androidwifiadb.Device],ipInfoOutput,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidWiFiADB/src/main/java/com/github/pedrovgs/androidwifiadb/adb/ADB.java,com.github.pedrovgs.androidwifiadb.adb.ADB,getDeviceIp/1[com.github.pedrovgs.androidwifiadb.Device],device,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidWiFiADB/src/main/java/com/github/pedrovgs/androidwifiadb/adb/ADB.java,com.github.pedrovgs.androidwifiadb.adb.ADB,connectDevices/1[java.util.Collection<com.github.pedrovgs.androidwifiadb.Device>],connected,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidWiFiADB/src/main/java/com/github/pedrovgs/androidwifiadb/adb/ADB.java,com.github.pedrovgs.androidwifiadb.adb.ADB,connectDevices/1[java.util.Collection<com.github.pedrovgs.androidwifiadb.Device>],devices,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidWiFiADB/src/main/java/com/github/pedrovgs/androidwifiadb/adb/ADB.java,com.github.pedrovgs.androidwifiadb.adb.ADB,connectDevices/1[java.util.Collection<com.github.pedrovgs.androidwifiadb.Device>],device,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidWiFiADB/src/main/java/com/github/pedrovgs/androidwifiadb/adb/ADB.java,com.github.pedrovgs.androidwifiadb.adb.ADB,disconnectDevice/1[java.lang.String],deviceIp,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidWiFiADB/src/main/java/com/github/pedrovgs/androidwifiadb/adb/ADB.java,com.github.pedrovgs.androidwifiadb.adb.ADB,disconnectDevice/1[java.lang.String],connectDeviceCommand,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AndroidWiFiADB/src/main/java/com/github/pedrovgs/androidwifiadb/adb/ADB.java,com.github.pedrovgs.androidwifiadb.adb.ADB,updateProject/1[com.github.pedrovgs.androidwifiadb.adb.Project],project,2
