file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/NetworkUtils.java,com.chengxinet.bobo.utils.NetworkUtils,isWifiEnabled/1[com.chengxinet.bobo.utils.Context],mgrTel,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/NetworkUtils.java,com.chengxinet.bobo.utils.NetworkUtils,isWifiEnabled/1[com.chengxinet.bobo.utils.Context],mgrConn,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/NetworkUtils.java,com.chengxinet.bobo.utils.NetworkUtils,isWifiEnabled/1[com.chengxinet.bobo.utils.Context],context,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/NetworkUtils.java,com.chengxinet.bobo.utils.NetworkUtils,is3rd/1[com.chengxinet.bobo.utils.Context],networkINfo,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/NetworkUtils.java,com.chengxinet.bobo.utils.NetworkUtils,is3rd/1[com.chengxinet.bobo.utils.Context],context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/NetworkUtils.java,com.chengxinet.bobo.utils.NetworkUtils,is3rd/1[com.chengxinet.bobo.utils.Context],cm,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/NetworkUtils.java,com.chengxinet.bobo.utils.NetworkUtils,isWifi/1[com.chengxinet.bobo.utils.Context],networkINfo,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/NetworkUtils.java,com.chengxinet.bobo.utils.NetworkUtils,isWifi/1[com.chengxinet.bobo.utils.Context],context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/NetworkUtils.java,com.chengxinet.bobo.utils.NetworkUtils,isWifi/1[com.chengxinet.bobo.utils.Context],cm,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/NetworkUtils.java,com.chengxinet.bobo.utils.NetworkUtils,isNetworkAvailable/1[com.chengxinet.bobo.utils.Context],c,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/NetworkUtils.java,com.chengxinet.bobo.utils.NetworkUtils,isNetworkAvailable/1[com.chengxinet.bobo.utils.Context],networkInfo,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/NetworkUtils.java,com.chengxinet.bobo.utils.NetworkUtils,isNetworkAvailable/1[com.chengxinet.bobo.utils.Context],aNetworkInfo,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/NetworkUtils.java,com.chengxinet.bobo.utils.NetworkUtils,isNetworkAvailable/1[com.chengxinet.bobo.utils.Context],context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/NetworkUtils.java,com.chengxinet.bobo.utils.NetworkUtils,isNetworkAvailable/1[com.chengxinet.bobo.utils.Context],connectivityManager,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"d/2[java.lang.String,java.lang.String]",tag,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"d/2[java.lang.String,java.lang.String]",message,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"logw/2[java.lang.String,java.lang.String]",tag,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"logw/2[java.lang.String,java.lang.String]",message,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"e/3[java.lang.String,java.lang.String,java.lang.Exception]",e,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"e/3[java.lang.String,java.lang.String,java.lang.Exception]",tag,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"e/3[java.lang.String,java.lang.String,java.lang.Exception]",message,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"loge/2[java.lang.String,java.lang.String]",tag,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"loge/2[java.lang.String,java.lang.String]",message,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"logi/2[java.lang.String,java.lang.String]",tag,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"logi/2[java.lang.String,java.lang.String]",message,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"w/2[java.lang.String,java.lang.String]",tag,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"w/2[java.lang.String,java.lang.String]",message,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"i/2[java.lang.String,java.lang.String]",tag,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"i/2[java.lang.String,java.lang.String]",message,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"e/2[java.lang.String,java.lang.String]",tag,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"e/2[java.lang.String,java.lang.String]",message,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"logv/2[java.lang.String,java.lang.String]",tag,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"logv/2[java.lang.String,java.lang.String]",message,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"logd/2[java.lang.String,java.lang.String]",tag,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"logd/2[java.lang.String,java.lang.String]",message,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"logJ/2[java.lang.String,java.lang.String]",tag,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"logJ/2[java.lang.String,java.lang.String]",message,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"loge/3[java.lang.String,java.lang.String,java.lang.Exception]",e,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"loge/3[java.lang.String,java.lang.String,java.lang.Exception]",tag,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"loge/3[java.lang.String,java.lang.String,java.lang.Exception]",message,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"v/2[java.lang.String,java.lang.String]",tag,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android_Data/fake_land/LogUtils.java,com.chengxinet.bobo.utils.LogUtils,"v/2[java.lang.String,java.lang.String]",message,1
