file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Apktool/brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/value/ResStringValue.java,brut.androlib.res.data.value.ResStringValue,checkIfStringIsNumeric/1[java.lang.String],allDigits,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Apktool/brut.apktool/apktool-lib/src/main/java/brut/androlib/apk/VersionInfo.java,brut.androlib.apk.VersionInfo,readItem/1[brut.androlib.apk.YamlReader],versionName,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Apktool/brut.apktool/apktool-lib/src/main/java/brut/androlib/apk/VersionInfo.java,brut.androlib.apk.VersionInfo,readItem/1[brut.androlib.apk.YamlReader],versionCode,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Apktool/brut.apktool/apktool-lib/src/main/java/brut/androlib/apk/VersionInfo.java,brut.androlib.apk.VersionInfo,write/1[brut.androlib.apk.YamlWriter],versionName,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Apktool/brut.apktool/apktool-lib/src/main/java/brut/androlib/apk/VersionInfo.java,brut.androlib.apk.VersionInfo,write/1[brut.androlib.apk.YamlWriter],versionCode,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Apktool/brut.apktool/apktool-lib/src/test/java/brut/androlib/decode/ForceManifestDecodeNoResourcesTest.java,brut.androlib.decode.ForceManifestDecodeNoResourcesTest,checkForceManifestToFalseWithResourcesEnabledIsIgnored/0,xmlHeader,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Apktool/brut.apktool/apktool-lib/src/test/java/brut/androlib/decode/ForceManifestDecodeNoResourcesTest.java,brut.androlib.decode.ForceManifestDecodeNoResourcesTest,checkIfForceManifestWorksWithNoChangeToResources/0,xmlHeader,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Apktool/brut.apktool/apktool-lib/src/test/java/brut/androlib/decode/ForceManifestDecodeNoResourcesTest.java,brut.androlib.decode.ForceManifestDecodeNoResourcesTest,checkIfForceManifestWithNoResourcesWorks/0,xmlHeader,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Apktool/brut.apktool/apktool-lib/src/test/java/brut/androlib/decode/ForceManifestDecodeNoResourcesTest.java,brut.androlib.decode.ForceManifestDecodeNoResourcesTest,checkBothManifestAndResourcesSetToNone/0,xmlHeader,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Apktool/brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/arsc/ARSCHeader.java,brut.androlib.res.data.arsc.ARSCHeader,checkForUnreadHeader/1[brut.util.ExtCountingDataInput],headerSize,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Apktool/brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/arsc/ARSCHeader.java,brut.androlib.res.data.arsc.ARSCHeader,checkForUnreadHeader/1[brut.util.ExtCountingDataInput],LOGGER,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Apktool/brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/arsc/ARSCHeader.java,brut.androlib.res.data.arsc.ARSCHeader,checkForUnreadHeader/1[brut.util.ExtCountingDataInput],startPosition,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Apktool/brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/arsc/ARSCHeader.java,brut.androlib.res.data.arsc.ARSCHeader,skipChunk/1[brut.util.ExtDataInput],headerSize,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Apktool/brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/arsc/ARSCHeader.java,brut.androlib.res.data.arsc.ARSCHeader,skipChunk/1[brut.util.ExtDataInput],chunkSize,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Apktool/brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/arsc/ARSCHeader.java,brut.androlib.res.data.arsc.ARSCHeader,"ARSCHeader/4[short,int,int,int]",headerSize,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Apktool/brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/arsc/ARSCHeader.java,brut.androlib.res.data.arsc.ARSCHeader,"ARSCHeader/4[short,int,int,int]",chunkSize,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Apktool/brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/arsc/ARSCHeader.java,brut.androlib.res.data.arsc.ARSCHeader,"ARSCHeader/4[short,int,int,int]",endPosition,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Apktool/brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/arsc/ARSCHeader.java,brut.androlib.res.data.arsc.ARSCHeader,"ARSCHeader/4[short,int,int,int]",type,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Apktool/brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/arsc/ARSCHeader.java,brut.androlib.res.data.arsc.ARSCHeader,"ARSCHeader/4[short,int,int,int]",startPosition,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Apktool/brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/arsc/ARSCHeader.java,brut.androlib.res.data.arsc.ARSCHeader,read/1[brut.util.ExtCountingDataInput],RES_NONE_TYPE,1
