file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AppUpdate/update-app/src/main/java/com/vector/update_app/UpdateAppManager.java,com.vector.update_app.UpdateAppManager$Builder,setActivity/1[com.vector.update_app.Activity],activity,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AppUpdate/update-app/src/main/java/com/vector/update_app/UpdateAppManager.java,com.vector.update_app.UpdateAppManager$Builder,setThemeColor/1[int],themeColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AppUpdate/update-app/src/main/java/com/vector/update_app/UpdateAppManager.java,com.vector.update_app.UpdateAppManager$Builder,setTopPic/1[int],topPic,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AppUpdate/update-app/src/main/java/com/vector/update_app/UpdateAppManager.java,com.vector.update_app.UpdateAppManager$Builder,"setParams/1[java.util.Map<java.lang.String,java.lang.String>]",params,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AppUpdate/update-app/src/main/java/com/vector/update_app/UpdateAppManager.java,com.vector.update_app.UpdateAppManager$Builder,setUpdateDialogFragmentListener/1[com.vector.update_app.listener.IUpdateDialogFragmentListener],updateDialogFragmentListener,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AppUpdate/update-app/src/main/java/com/vector/update_app/UpdateAppManager.java,com.vector.update_app.UpdateAppManager$Builder,build/0,path,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AppUpdate/update-app/src/main/java/com/vector/update_app/UpdateAppManager.java,com.vector.update_app.UpdateAppManager$Builder,build/0,e,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AppUpdate/update-app/src/main/java/com/vector/update_app/UpdateAppManager.java,com.vector.update_app.UpdateAppManager$Builder,build/0,appKey,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AppUpdate/update-app/src/main/java/com/vector/update_app/UpdateAppManager.java,com.vector.update_app.UpdateAppManager$Builder,handleException/1[com.vector.update_app.listener.ExceptionHandler],exceptionHandler,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AppUpdate/update-app/src/main/java/com/vector/update_app/UpdateAppManager.java,com.vector.update_app.UpdateAppManager$Builder,setIgnoreDefParams/1[boolean],ignoreDefParams,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AppUpdate/update-app/src/main/java/com/vector/update_app/UpdateAppManager.java,com.vector.update_app.UpdateAppManager$Builder,setTargetPath/1[java.lang.String],targetPath,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AppUpdate/update-app/src/main/java/com/vector/update_app/UpdateAppManager.java,com.vector.update_app.UpdateAppManager$Builder,setAppKey/1[java.lang.String],appKey,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AppUpdate/update-app/src/main/java/com/vector/update_app/UpdateAppManager.java,com.vector.update_app.UpdateAppManager$Builder,setUpdateUrl/1[java.lang.String],updateUrl,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AppUpdate/update-app/src/main/java/com/vector/update_app/UpdateAppManager.java,com.vector.update_app.UpdateAppManager$Builder,setPost/1[boolean],post,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AppUpdate/update-app/src/main/java/com/vector/update_app/UpdateAppManager.java,com.vector.update_app.UpdateAppManager$Builder,setHttpManager/1[com.vector.update_app.HttpManager],httpManager,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AppUpdate/update-app/src/main/java/com/vector/update_app/utils/ColorUtil.java,com.vector.update_app.utils.ColorUtil,"getColorStateList/2[int,int]",pressedColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AppUpdate/update-app/src/main/java/com/vector/update_app/utils/ColorUtil.java,com.vector.update_app.utils.ColorUtil,"getColorStateList/2[int,int]",normalColor,1
