file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withMaybe_normal/0,LOGGER,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withProvider_interrupted/0,LOGGER,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withMaybe_interrupted/0,LOGGER,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withProvider/0,LOGGER,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withScopeProviderCompleted_shouldNotReportDoubleSubscriptions/0,rule,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,isDisposed/0,mainDisposable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,"AutoDisposingMaybeObserverImpl/2[io.reactivex.rxjava3.core.CompletableSource,io.reactivex.rxjava3.core.MaybeObserver<? super T>]",delegate,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,"AutoDisposingMaybeObserverImpl/2[io.reactivex.rxjava3.core.CompletableSource,io.reactivex.rxjava3.core.MaybeObserver<? super T>]",scope,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,dispose/0,scopeDisposable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,dispose/0,mainDisposable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,onSuccess/1[T],delegate,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,onSuccess/1[T],scopeDisposable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,onSuccess/1[T],mainDisposable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,delegateObserver/0,delegate,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,onSubscribe/1[io.reactivex.rxjava3.disposables.Disposable],delegate,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,onSubscribe/1[io.reactivex.rxjava3.disposables.Disposable],scope,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,onSubscribe/1[io.reactivex.rxjava3.disposables.Disposable],scopeDisposable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,onSubscribe/1[io.reactivex.rxjava3.disposables.Disposable],mainDisposable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,onComplete/0,delegate,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,onComplete/0,scopeDisposable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,onComplete/0,mainDisposable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,onError/1[java.lang.Throwable],delegate,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,onError/1[java.lang.Throwable],scopeDisposable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,onError/1[java.lang.Throwable],mainDisposable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/test-utils/src/main/java/autodispose2/test/RxErrorsRule.java,autodispose2.test.RxErrorsRule,take/0,errors,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/test-utils/src/main/java/autodispose2/test/RxErrorsRule.java,autodispose2.test.RxErrorsRule,starting/1[autodispose2.test.Description],errors,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/test-utils/src/main/java/autodispose2/test/RxErrorsRule.java,autodispose2.test.RxErrorsRule,hasErrors/0,errors,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/test-utils/src/main/java/autodispose2/test/RxErrorsRule.java,autodispose2.test.RxErrorsRule,getErrors/0,errors,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeObserverTest.java,autodispose2.AutoDisposeObserverTest,autoDispose_withScopeProviderCompleted_shouldNotReportDoubleSubscriptions/0,rule,1
