file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,hideProxies/0,proxy,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withSuperClassGenerics_compilesFine/0,aClass,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_outsideScope_withProviderAndNoOpPlugin_shouldFailSilently/0,e,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_outsideScope_withProviderAndNoOpPlugin_shouldFailSilently/0,provider,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_outsideScope_withProviderAndNoOpPlugin_shouldFailSilently/0,source,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_outsideScope_withProviderAndNoOpPlugin_shouldFailSilently/0,o,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,verifyCancellation/0,e,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,verifyCancellation/0,scope,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,verifyCancellation/0,i,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,verifyCancellation/0,source,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,AutoDisposeSingleObserverTest/1[boolean],hideProxies,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withMaybe_normal/0,scope,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withMaybe_normal/0,source,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withMaybe_normal/0,o,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withProvider_interrupted/0,provider,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withProvider_interrupted/0,scope,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withProvider_interrupted/0,source,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withProvider_interrupted/0,o,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withMaybe_interrupted/0,scope,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withMaybe_interrupted/0,source,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withMaybe_interrupted/0,o,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_outsideScope_withProviderAndPlugin_shouldFailWithWrappedExp/0,e,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_outsideScope_withProviderAndPlugin_shouldFailWithWrappedExp/0,provider,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_outsideScope_withProviderAndPlugin_shouldFailWithWrappedExp/0,throwable,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_outsideScope_withProviderAndPlugin_shouldFailWithWrappedExp/0,o,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,verifyObserverDelegate/0,observer,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,verifyObserverDelegate/0,atomicAutoDisposingObserver,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,verifyObserverDelegate/0,atomicObserver,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,verifyObserverDelegate/0,source,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withProvider/0,provider,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withProvider/0,scope,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withProvider/0,source,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withProvider/0,o,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,autoDispose_withScopeProviderCompleted_shouldNotReportDoubleSubscriptions/0,o,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,unbound_shouldStillPassValues/0,s,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/test/java/autodispose2/AutoDisposeSingleObserverTest.java,autodispose2.AutoDisposeSingleObserverTest,unbound_shouldStillPassValues/0,o,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,"AutoDisposingMaybeObserverImpl/2[io.reactivex.rxjava3.core.CompletableSource,io.reactivex.rxjava3.core.MaybeObserver<? super T>]",delegate,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,"AutoDisposingMaybeObserverImpl/2[io.reactivex.rxjava3.core.CompletableSource,io.reactivex.rxjava3.core.MaybeObserver<? super T>]",scope,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,onSuccess/1[T],value,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,onSubscribe/1[io.reactivex.rxjava3.disposables.Disposable],d,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,onSubscribe/1[io.reactivex.rxjava3.disposables.Disposable],o,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/autodispose/src/main/java/autodispose2/AutoDisposingMaybeObserverImpl.java,autodispose2.AutoDisposingMaybeObserverImpl,onError/1[java.lang.Throwable],e,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/test-utils/src/main/java/autodispose2/test/RxErrorsRule.java,autodispose2.test.RxErrorsRule,take/0,e,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/test-utils/src/main/java/autodispose2/test/RxErrorsRule.java,autodispose2.test.RxErrorsRule,take/0,error,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/test-utils/src/main/java/autodispose2/test/RxErrorsRule.java,autodispose2.test.RxErrorsRule,starting/1[autodispose2.test.Description],description,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AutoDispose/test-utils/src/main/java/autodispose2/test/RxErrorsRule.java,autodispose2.test.RxErrorsRule,finished/1[autodispose2.test.Description],description,0
