file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AxonFramework/modelling/src/test/java/org/axonframework/modelling/command/AnnotatedAggregateTest.java,org.axonframework.modelling.command.AnnotatedAggregateTest$Event_2,innerclass,0,0,0,0,2,1,0,0,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,1,0,1,0,1,0,0,0,0,5,10,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AxonFramework/eventsourcing/src/main/java/org/axonframework/eventsourcing/conflictresolution/DefaultConflictDescription.java,org.axonframework.eventsourcing.conflictresolution.DefaultConflictDescription,class,2,3,1,2,5,1,0,0,2,0.6,0.4,1.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,4,0,0,24,4,0,0,0,0,0,0,4,0,4,0,0,0,0,29,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AxonFramework/modelling/src/test/java/org/axonframework/modelling/command/AnnotatedAggregateTest.java,org.axonframework.modelling.command.AnnotatedAggregateTest$Event_3,innerclass,0,0,0,0,2,1,0,0,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,1,0,1,0,1,0,0,0,0,5,10,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AxonFramework/integrationtests/src/test/java/org/axonframework/integrationtests/polymorphic/CommonCommand.java,org.axonframework.integrationtests.polymorphic.CommonCommand,class,1,3,2,1,2,1,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,18,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AxonFramework/test/src/main/java/org/axonframework/test/matchers/ListMatcher.java,org.axonframework.test.matchers.ListMatcher,class,5,10,5,5,18,2,0,13,33,0.7,0.13333334,0.22222222,10,0,2,0,8,0,10,2,0,0,2,0,0,2,0,0,2,0,1,57,6,2,2,0,0,12,5,4,2,4,2,0,0,0,115,1025,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AxonFramework/eventsourcing/src/test/java/org/axonframework/eventsourcing/SpawningNewAggregateTest.java,org.axonframework.eventsourcing.SpawningNewAggregateTest,class,24,25,1,24,7,1,0,34,0,0.4,1.0,1.0,5,0,0,1,0,4,4,0,0,0,6,0,0,6,0,0,0,0,0,144,0,0,0,0,0,15,5,8,0,18,2,0,5,4,71,0,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AxonFramework/eventsourcing/src/test/java/org/axonframework/eventsourcing/AbstractAggregateFactoryTest.java,org.axonframework.eventsourcing.AbstractAggregateFactoryTest$LeafOneAggregate,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AxonFramework/messaging/src/test/java/org/axonframework/eventhandling/AbstractEventBusTest.java,org.axonframework.eventhandling.AbstractEventBusTest$StubNumberedEvent,innerclass,2,2,0,2,7,2,0,4,6,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,21,5,0,3,0,0,2,0,1,1,1,1,0,0,0,19,10,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AxonFramework/modelling/src/test/java/org/axonframework/modelling/command/AnnotatedAggregateTest.java,org.axonframework.modelling.command.AnnotatedAggregateTest$Event_1,innerclass,0,0,0,0,3,1,0,0,0,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,7,10,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/AxonFramework/messaging/src/test/java/org/axonframework/eventhandling/async/SequentialPerAggregatePolicyTest.java,org.axonframework.eventhandling.async.SequentialPerAggregatePolicyTest,class,6,7,1,6,2,1,0,8,1,0.0,NaN,NaN,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,17,1,0,0,0,0,2,1,6,0,6,0,0,0,0,26,0,0
