file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BGARefreshLayout-Android/library/src/main/java/cn/bingoogolapple/refreshlayout/BGAMoocStyleRefreshView.java,cn.bingoogolapple.refreshlayout.BGAMoocStyleRefreshView,reset/0,mBezierControlX,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BGARefreshLayout-Android/library/src/main/java/cn/bingoogolapple/refreshlayout/BGAMoocStyleRefreshView.java,cn.bingoogolapple.refreshlayout.BGAMoocStyleRefreshView,reset/0,mBezierControlOriginalY,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BGARefreshLayout-Android/library/src/main/java/cn/bingoogolapple/refreshlayout/BGAMoocStyleRefreshView.java,cn.bingoogolapple.refreshlayout.BGAMoocStyleRefreshView,reset/0,mWaveOriginalY,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BGARefreshLayout-Android/library/src/main/java/cn/bingoogolapple/refreshlayout/BGAMoocStyleRefreshView.java,cn.bingoogolapple.refreshlayout.BGAMoocStyleRefreshView,reset/0,mWaveY,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BGARefreshLayout-Android/library/src/main/java/cn/bingoogolapple/refreshlayout/BGAMoocStyleRefreshView.java,cn.bingoogolapple.refreshlayout.BGAMoocStyleRefreshView,reset/0,mBezierControlY,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BGARefreshLayout-Android/library/src/main/java/cn/bingoogolapple/refreshlayout/BGAMoocStyleRefreshView.java,cn.bingoogolapple.refreshlayout.BGAMoocStyleRefreshView,initCanvas/0,mOriginalBitmap,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BGARefreshLayout-Android/library/src/main/java/cn/bingoogolapple/refreshlayout/BGAMoocStyleRefreshView.java,cn.bingoogolapple.refreshlayout.BGAMoocStyleRefreshView,initCanvas/0,mXfermode,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BGARefreshLayout-Android/library/src/main/java/cn/bingoogolapple/refreshlayout/BGAMoocStyleRefreshView.java,cn.bingoogolapple.refreshlayout.BGAMoocStyleRefreshView,initCanvas/0,mBezierPath,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BGARefreshLayout-Android/library/src/main/java/cn/bingoogolapple/refreshlayout/BGAMoocStyleRefreshView.java,cn.bingoogolapple.refreshlayout.BGAMoocStyleRefreshView,initCanvas/0,mCanvas,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BGARefreshLayout-Android/library/src/main/java/cn/bingoogolapple/refreshlayout/BGAMoocStyleRefreshView.java,cn.bingoogolapple.refreshlayout.BGAMoocStyleRefreshView,initCanvas/0,mBezierControlOriginalY,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BGARefreshLayout-Android/library/src/main/java/cn/bingoogolapple/refreshlayout/BGAMoocStyleRefreshView.java,cn.bingoogolapple.refreshlayout.BGAMoocStyleRefreshView,initCanvas/0,mWaveOriginalY,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BGARefreshLayout-Android/library/src/main/java/cn/bingoogolapple/refreshlayout/BGAMoocStyleRefreshView.java,cn.bingoogolapple.refreshlayout.BGAMoocStyleRefreshView,initCanvas/0,mOriginalBitmapWidth,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BGARefreshLayout-Android/library/src/main/java/cn/bingoogolapple/refreshlayout/BGAMoocStyleRefreshView.java,cn.bingoogolapple.refreshlayout.BGAMoocStyleRefreshView,initCanvas/0,mWaveY,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BGARefreshLayout-Android/library/src/main/java/cn/bingoogolapple/refreshlayout/BGAMoocStyleRefreshView.java,cn.bingoogolapple.refreshlayout.BGAMoocStyleRefreshView,initCanvas/0,mOriginalBitmapHeight,3
