file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/libraryx/src/main/java/com/noober/background/drawable/TextViewGradientColor.java,com.noober.background.drawable.TextViewGradientColor,"invoke/3[com.noober.background.drawable.Context,com.noober.background.drawable.AttributeSet,com.noober.background.drawable.TextView]",orientation,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/libraryx/src/main/java/com/noober/background/drawable/TextViewGradientColor.java,com.noober.background.drawable.TextViewGradientColor,"invoke/3[com.noober.background.drawable.Context,com.noober.background.drawable.AttributeSet,com.noober.background.drawable.TextView]",endColor,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/libraryx/src/main/java/com/noober/background/drawable/TextViewGradientColor.java,com.noober.background.drawable.TextViewGradientColor,"invoke/3[com.noober.background.drawable.Context,com.noober.background.drawable.AttributeSet,com.noober.background.drawable.TextView]",startColor,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/libraryx/src/main/java/com/noober/background/drawable/AnimationDrawableCreator.java,com.noober.background.drawable.AnimationDrawableCreator,create/0,duration,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/libraryx/src/main/java/com/noober/background/drawable/AnimationDrawableCreator.java,com.noober.background.drawable.AnimationDrawableCreator,create/0,drawable,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/libraryx/src/main/java/com/noober/background/drawable/AnimationDrawableCreator.java,com.noober.background.drawable.AnimationDrawableCreator,create/0,animationTa,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/libraryx/src/main/java/com/noober/background/drawable/AnimationDrawableCreator.java,com.noober.background.drawable.AnimationDrawableCreator,"addFrame/2[int,int]",duration,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/libraryx/src/main/java/com/noober/background/drawable/AnimationDrawableCreator.java,com.noober.background.drawable.AnimationDrawableCreator,"addFrame/2[int,int]",drawable,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/libraryx/src/main/java/com/noober/background/drawable/AnimationDrawableCreator.java,com.noober.background.drawable.AnimationDrawableCreator,"addFrame/2[int,int]",animationTa,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/libraryx/src/main/java/com/noober/background/drawable/AnimationDrawableCreator.java,com.noober.background.drawable.AnimationDrawableCreator,AnimationDrawableCreator/1[com.noober.background.drawable.TypedArray],animationTa,3
