file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/libraryx/src/main/java/com/noober/background/drawable/TextViewGradientColor.java,com.noober.background.drawable.TextViewGradientColor,"invoke/3[com.noober.background.drawable.Context,com.noober.background.drawable.AttributeSet,com.noober.background.drawable.TextView]",textTa,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/libraryx/src/main/java/com/noober/background/drawable/TextViewGradientColor.java,com.noober.background.drawable.TextViewGradientColor,"invoke/3[com.noober.background.drawable.Context,com.noober.background.drawable.AttributeSet,com.noober.background.drawable.TextView]",e,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/libraryx/src/main/java/com/noober/background/drawable/TextViewGradientColor.java,com.noober.background.drawable.TextViewGradientColor,"invoke/3[com.noober.background.drawable.Context,com.noober.background.drawable.AttributeSet,com.noober.background.drawable.TextView]",context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/libraryx/src/main/java/com/noober/background/drawable/TextViewGradientColor.java,com.noober.background.drawable.TextViewGradientColor,"invoke/3[com.noober.background.drawable.Context,com.noober.background.drawable.AttributeSet,com.noober.background.drawable.TextView]",i,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/libraryx/src/main/java/com/noober/background/drawable/TextViewGradientColor.java,com.noober.background.drawable.TextViewGradientColor,"invoke/3[com.noober.background.drawable.Context,com.noober.background.drawable.AttributeSet,com.noober.background.drawable.TextView]",textView,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/libraryx/src/main/java/com/noober/background/drawable/TextViewGradientColor.java,com.noober.background.drawable.TextViewGradientColor,"invoke/3[com.noober.background.drawable.Context,com.noober.background.drawable.AttributeSet,com.noober.background.drawable.TextView]",attr,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/libraryx/src/main/java/com/noober/background/drawable/TextViewGradientColor.java,com.noober.background.drawable.TextViewGradientColor,"invoke/3[com.noober.background.drawable.Context,com.noober.background.drawable.AttributeSet,com.noober.background.drawable.TextView]",attrs,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/library/src/androidTest/java/com/noober/background/ExampleInstrumentedTest.java,ExampleInstrumentedTest,useAppContext/0,appContext,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/library/src/main/java/com/noober/background/drawable/ColorStateCreator.java,ColorStateCreator,create/0,i,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/library/src/main/java/com/noober/background/drawable/ColorStateCreator.java,ColorStateCreator,create/0,attr,54
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/library/src/main/java/com/noober/background/drawable/ColorStateCreator.java,ColorStateCreator,ColorStateCreator/1[TypedArray],textTa,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/library/src/main/java/com/noober/background/drawable/ColorStateCreator.java,ColorStateCreator,"setStateColor/2[int,int]",functionId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/library/src/main/java/com/noober/background/drawable/ColorStateCreator.java,ColorStateCreator,"setStateColor/2[int,int]",attr,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/libraryx/src/main/java/com/noober/background/view/BLTextView.java,com.noober.background.view.BLTextView,"BLTextView/2[com.noober.background.view.Context,com.noober.background.view.AttributeSet]",context,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BackgroundLibrary/libraryx/src/main/java/com/noober/background/view/BLTextView.java,com.noober.background.view.BLTextView,"BLTextView/2[com.noober.background.view.Context,com.noober.background.view.AttributeSet]",attrs,2
