file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BadgeView/badgeviewlib/src/main/java/q/rorbin/badgeview/BadgeAnimator.java,q.rorbin.badgeview.BadgeAnimator$BitmapFragment,BitmapFragment/0,random,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BadgeView/badgeviewlib/src/main/java/q/rorbin/badgeview/BadgeAnimator.java,q.rorbin.badgeview.BadgeAnimator$BitmapFragment,BitmapFragment/0,paint,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BadgeView/badgeviewlib/src/main/java/q/rorbin/badgeview/BadgeAnimator.java,q.rorbin.badgeview.BadgeAnimator$BitmapFragment,"updata/2[float,q.rorbin.badgeview.Canvas]",random,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BadgeView/badgeviewlib/src/main/java/q/rorbin/badgeview/BadgeAnimator.java,q.rorbin.badgeview.BadgeAnimator$BitmapFragment,"updata/2[float,q.rorbin.badgeview.Canvas]",color,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BadgeView/badgeviewlib/src/main/java/q/rorbin/badgeview/BadgeAnimator.java,q.rorbin.badgeview.BadgeAnimator$BitmapFragment,"updata/2[float,q.rorbin.badgeview.Canvas]",size,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BadgeView/badgeviewlib/src/main/java/q/rorbin/badgeview/BadgeAnimator.java,q.rorbin.badgeview.BadgeAnimator$BitmapFragment,"updata/2[float,q.rorbin.badgeview.Canvas]",x,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BadgeView/badgeviewlib/src/main/java/q/rorbin/badgeview/BadgeAnimator.java,q.rorbin.badgeview.BadgeAnimator$BitmapFragment,"updata/2[float,q.rorbin.badgeview.Canvas]",paint,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BadgeView/badgeviewlib/src/main/java/q/rorbin/badgeview/BadgeAnimator.java,q.rorbin.badgeview.BadgeAnimator$BitmapFragment,"updata/2[float,q.rorbin.badgeview.Canvas]",y,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BadgeView/badgeviewlib/src/main/java/q/rorbin/badgeview/BadgeAnimator.java,q.rorbin.badgeview.BadgeAnimator$BitmapFragment,"updata/2[float,q.rorbin.badgeview.Canvas]",maxSize,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BadgeView/badgeviewlib/src/main/java/q/rorbin/badgeview/BadgeAnimator.java,q.rorbin.badgeview.BadgeAnimator,draw/1[q.rorbin.badgeview.Canvas],mFragments,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BadgeView/badgeviewlib/src/main/java/q/rorbin/badgeview/BadgeAnimator.java,q.rorbin.badgeview.BadgeAnimator,"BadgeAnimator/3[q.rorbin.badgeview.Bitmap,q.rorbin.badgeview.PointF,q.rorbin.badgeview.QBadgeView]",mFragments,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BadgeView/badgeviewlib/src/main/java/q/rorbin/badgeview/BadgeAnimator.java,q.rorbin.badgeview.BadgeAnimator,"BadgeAnimator/3[q.rorbin.badgeview.Bitmap,q.rorbin.badgeview.PointF,q.rorbin.badgeview.QBadgeView]",mWeakBadge,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BadgeView/app/src/main/java/q/rorbin/badgeviewdemo/MainActivity.java,q.rorbin.badgeviewdemo.MainActivity$1MyTextWatcher,MyTextWatcher/1[q.rorbin.badgeviewdemo.EditText],editText,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BadgeView/app/src/main/java/q/rorbin/badgeviewdemo/MainActivity.java,q.rorbin.badgeviewdemo.MainActivity$1MyTextWatcher,"onTextChanged/4[java.lang.CharSequence,int,int,int]",editText,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BadgeView/app/src/main/java/q/rorbin/badgeviewdemo/DataSupport.java,q.rorbin.badgeviewdemo.DataSupport,DataSupport/0,mDatas,23
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BadgeView/app/src/main/java/q/rorbin/badgeviewdemo/DataSupport.java,q.rorbin.badgeviewdemo.DataSupport,getData/0,mDatas,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BadgeView/app/src/main/java/q/rorbin/badgeviewdemo/MainActivity.java,q.rorbin.badgeviewdemo.MainActivity,onCreate/1[q.rorbin.badgeviewdemo.Bundle],swicth_draggable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BadgeView/app/src/main/java/q/rorbin/badgeviewdemo/MainActivity.java,q.rorbin.badgeviewdemo.MainActivity,initBadge/0,badges,4
