file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/recyclerviewbox/RecyclerViewBox.java,razerdp.demo.widget.recyclerviewbox.RecyclerViewBox$ViewHolder,getPosition/0,position,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/recyclerviewbox/RecyclerViewBox.java,razerdp.demo.widget.recyclerviewbox.RecyclerViewBox$ViewHolder,findViewById/1[int],rootView,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/recyclerviewbox/RecyclerViewBox.java,razerdp.demo.widget.recyclerviewbox.RecyclerViewBox$ViewHolder,ViewHolder/1[razerdp.demo.widget.recyclerviewbox.View],rootView,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/popup/options/BaseOptionPopup.java,razerdp.demo.popup.options.BaseOptionPopup,setInfo/1[T],mInfo,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/lib/src/main/java/razerdp/util/animation/AlphaConfig.java,razerdp.util.animation.AlphaConfig,to/1[float],alphaTo,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/lib/src/main/java/razerdp/util/animation/AlphaConfig.java,razerdp.util.animation.AlphaConfig,to/1[float],changed,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/lib/src/main/java/razerdp/util/animation/AlphaConfig.java,razerdp.util.animation.AlphaConfig,buildAnimator/1[boolean],alphaTo,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/lib/src/main/java/razerdp/util/animation/AlphaConfig.java,razerdp.util.animation.AlphaConfig,buildAnimator/1[boolean],changed,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/lib/src/main/java/razerdp/util/animation/AlphaConfig.java,razerdp.util.animation.AlphaConfig,buildAnimator/1[boolean],alphaFrom,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/lib/src/main/java/razerdp/util/animation/AlphaConfig.java,razerdp.util.animation.AlphaConfig,from/1[int],alphaFrom,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/lib/src/main/java/razerdp/util/animation/AlphaConfig.java,razerdp.util.animation.AlphaConfig,from/1[int],changed,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/lib/src/main/java/razerdp/util/animation/AlphaConfig.java,razerdp.util.animation.AlphaConfig,buildAnimation/1[boolean],alphaTo,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/lib/src/main/java/razerdp/util/animation/AlphaConfig.java,razerdp.util.animation.AlphaConfig,buildAnimation/1[boolean],changed,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/lib/src/main/java/razerdp/util/animation/AlphaConfig.java,razerdp.util.animation.AlphaConfig,buildAnimation/1[boolean],alphaFrom,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/lib/src/main/java/razerdp/util/animation/AlphaConfig.java,razerdp.util.animation.AlphaConfig,to/1[int],alphaFrom,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/lib/src/main/java/razerdp/util/animation/AlphaConfig.java,razerdp.util.animation.AlphaConfig,to/1[int],changed,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/lib/src/main/java/razerdp/util/animation/AlphaConfig.java,razerdp.util.animation.AlphaConfig,toString/0,alphaTo,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/lib/src/main/java/razerdp/util/animation/AlphaConfig.java,razerdp.util.animation.AlphaConfig,toString/0,alphaFrom,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/lib/src/main/java/razerdp/util/animation/AlphaConfig.java,razerdp.util.animation.AlphaConfig,from/1[float],alphaFrom,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/lib/src/main/java/razerdp/util/animation/AlphaConfig.java,razerdp.util.animation.AlphaConfig,from/1[float],changed,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/lib/src/main/java/razerdp/util/animation/AlphaConfig.java,razerdp.util.animation.AlphaConfig,resetInternal/0,alphaTo,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/lib/src/main/java/razerdp/util/animation/AlphaConfig.java,razerdp.util.animation.AlphaConfig,resetInternal/0,alphaFrom,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/lib/src/main/java/razerdp/util/animation/AlphaConfig.java,razerdp.util.animation.AlphaConfig,resetInternal/0,changed,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,getTopLeftRadius/0,topLeftRadius,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,calculateDrawableBounds/0,mBorderIgnorePadding,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,calculateDrawableBounds/0,mDrawableRect,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,calculateDrawableBounds/0,mBorderRect,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,setToRadii/0,radii,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,setToRadii/0,topLeftRadius,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,setToRadii/0,topRightRadius,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,setToRadii/0,bottomRightRadius,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,setToRadii/0,bottomLeftRadius,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,setBorderWidth/1[int],mBorderWidth,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,setBorderWidth/1[int],mBorderPaint,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,setShape/1[int],shape,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,setOverLay/1[boolean],isOverLay,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,setBottomLeftRadius/1[int],bottomLeftRadius,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,onDraw/1[razerdp.demo.widget.Canvas],isOverLay,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,onDraw/1[razerdp.demo.widget.Canvas],mBorderWidth,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,onDraw/1[razerdp.demo.widget.Canvas],mDrawableRect,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,getRadius/0,radius,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,getShape/0,shape,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,initBitmapShader/1[razerdp.demo.widget.BitmapDrawable],mDrawableRect,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,"init/2[razerdp.demo.widget.Context,razerdp.demo.widget.AttributeSet]",mBorderIgnorePadding,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BasePopup/app/src/main/java/razerdp/demo/widget/DPImageView.java,razerdp.demo.widget.DPImageView,"init/2[razerdp.demo.widget.Context,razerdp.demo.widget.AttributeSet]",topLeftRadius,2
