file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigData-Notes/code/Hadoop/hadoop-word-count/src/main/java/com/heibaiying/WordCountCombinerApp.java,com.heibaiying.WordCountCombinerApp,main/1[java.lang.String[]],HADOOP_USER_NAME,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigData-Notes/code/Hadoop/hadoop-word-count/src/main/java/com/heibaiying/WordCountCombinerApp.java,com.heibaiying.WordCountCombinerApp,main/1[java.lang.String[]],HDFS_URL,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigData-Notes/code/Storm/storm-kafka-integration/src/main/java/com/heibaiying/kafka/write/WritingToKafkaApp.java,com.heibaiying.kafka.write.WritingToKafkaApp,main/1[java.lang.String[]],BOOTSTRAP_SERVERS,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigData-Notes/code/Storm/storm-kafka-integration/src/main/java/com/heibaiying/kafka/write/WritingToKafkaApp.java,com.heibaiying.kafka.write.WritingToKafkaApp,main/1[java.lang.String[]],TOPIC_NAME,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigData-Notes/code/Flink/flink-state-management/src/main/java/com/heibaiying/operatorstate/ThresholdWarning.java,com.heibaiying.operatorstate.ThresholdWarning,"ThresholdWarning/2[java.lang.Long,java.lang.Integer]",threshold,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigData-Notes/code/Flink/flink-state-management/src/main/java/com/heibaiying/operatorstate/ThresholdWarning.java,com.heibaiying.operatorstate.ThresholdWarning,"ThresholdWarning/2[java.lang.Long,java.lang.Integer]",numberOfTimes,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigData-Notes/code/Flink/flink-state-management/src/main/java/com/heibaiying/operatorstate/ThresholdWarning.java,com.heibaiying.operatorstate.ThresholdWarning,"ThresholdWarning/2[java.lang.Long,java.lang.Integer]",bufferedData,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigData-Notes/code/Flink/flink-state-management/src/main/java/com/heibaiying/operatorstate/ThresholdWarning.java,com.heibaiying.operatorstate.ThresholdWarning,initializeState/1[com.heibaiying.operatorstate.FunctionInitializationContext],checkPointedState,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigData-Notes/code/Flink/flink-state-management/src/main/java/com/heibaiying/operatorstate/ThresholdWarning.java,com.heibaiying.operatorstate.ThresholdWarning,initializeState/1[com.heibaiying.operatorstate.FunctionInitializationContext],bufferedData,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigData-Notes/code/Flink/flink-state-management/src/main/java/com/heibaiying/operatorstate/ThresholdWarning.java,com.heibaiying.operatorstate.ThresholdWarning,snapshotState/1[com.heibaiying.operatorstate.FunctionSnapshotContext],checkPointedState,2
