file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigImageViewer/app/src/main/java/com/github/piasy/biv/example/ImageTypesActivity.java,com.github.piasy.biv.example.ImageTypesActivity,getArrayAdapter/1[java.util.List<T>],spinnerAdapter,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigImageViewer/app/src/main/java/com/github/piasy/biv/example/ImageTypesActivity.java,com.github.piasy.biv.example.ImageTypesActivity,getArrayAdapter/1[java.util.List<T>],list,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigImageViewer/app/src/main/java/com/github/piasy/biv/example/ImageTypesActivity.java,com.github.piasy.biv.example.ImageTypesActivity,onCreate/1[com.github.piasy.biv.example.Bundle],savedInstanceState,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigImageViewer/app/src/main/java/com/github/piasy/biv/example/ImageTypesActivity.java,com.github.piasy.biv.example.ImageTypesActivity,onCreate/1[com.github.piasy.biv.example.Bundle],spType,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigImageViewer/app/src/main/java/com/github/piasy/biv/example/ImageTypesActivity.java,com.github.piasy.biv.example.ImageTypesActivity,onCreate/1[com.github.piasy.biv.example.Bundle],spLoader,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigImageViewer/GlideImageLoader/src/main/java/com/github/piasy/biv/loader/glide/PrefetchTarget.java,com.github.piasy.biv.loader.glide.PrefetchTarget,onLoadCleared/1[com.github.piasy.biv.loader.glide.Drawable],placeholder,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigImageViewer/GlideImageLoader/src/main/java/com/github/piasy/biv/loader/glide/PrefetchTarget.java,com.github.piasy.biv.loader.glide.PrefetchTarget,"onResourceReady/2[java.io.File,com.github.piasy.biv.loader.glide.Transition<? super java.io.File>]",resource,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigImageViewer/GlideImageLoader/src/main/java/com/github/piasy/biv/loader/glide/PrefetchTarget.java,com.github.piasy.biv.loader.glide.PrefetchTarget,"onResourceReady/2[java.io.File,com.github.piasy.biv.loader.glide.Transition<? super java.io.File>]",transition,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigImageViewer/GlideImageLoader/src/main/java/com/github/piasy/biv/loader/glide/PrefetchTarget.java,com.github.piasy.biv.loader.glide.PrefetchTarget,onLoadFailed/1[com.github.piasy.biv.loader.glide.Drawable],errorDrawable,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigImageViewer/GlideImageLoader/src/main/java/com/github/piasy/biv/loader/glide/PrefetchTarget.java,com.github.piasy.biv.loader.glide.PrefetchTarget,onLoadStarted/1[com.github.piasy.biv.loader.glide.Drawable],placeholder,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigImageViewer/GlideImageLoader/src/main/java/com/github/piasy/biv/loader/glide/PrefetchTarget.java,com.github.piasy.biv.loader.glide.PrefetchTarget,removeCallback/1[com.github.piasy.biv.loader.glide.SizeReadyCallback],cb,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BigImageViewer/GlideImageLoader/src/main/java/com/github/piasy/biv/loader/glide/PrefetchTarget.java,com.github.piasy.biv.loader.glide.PrefetchTarget,setRequest/1[com.github.piasy.biv.loader.glide.Request],request,2
