file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testWebViewSimpleAppLinkParsing/0,instrumentation,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkNavigationImplicit/0,activityInterceptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkNavigationImplicit/0,PACKAGE_NAME,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkNavigationImplicit/0,openedIntents,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkNavigationWithAppLinkData/0,activityInterceptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkNavigationWithAppLinkData/0,PACKAGE_NAME,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkNavigationWithAppLinkData/0,openedIntents,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkNavigationWithExtrasAndAppLinkData/0,activityInterceptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkNavigationWithExtrasAndAppLinkData/0,PACKAGE_NAME,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkNavigationWithExtrasAndAppLinkData/0,openedIntents,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testWebViewSimpleAppLinkParsingFalseShouldFallback/0,instrumentation,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testWebViewSimpleAppLinkParsingWithWebUrl/0,instrumentation,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkNavInEventBroadcast/0,instrumentation,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkURLNavigationFailure/0,activityInterceptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkURLNavigationFailure/0,openedIntents,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testWebViewAppLinkParsingFailure/0,instrumentation,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkNavigationNoTargets/0,activityInterceptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkNavigationNoTargets/0,openedIntents,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkURLNavigationNoTargets/0,activityInterceptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkURLNavigationNoTargets/0,openedIntents,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkNavigationMultipleTargetsNoFallbackExplicit/0,activityInterceptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkNavigationMultipleTargetsNoFallbackExplicit/0,PACKAGE_NAME,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkNavigationMultipleTargetsNoFallbackExplicit/0,openedIntents,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkURLNavigationMultipleTargetsWithFallbackImplicit/0,activityInterceptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkURLNavigationMultipleTargetsWithFallbackImplicit/0,PACKAGE_NAME,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkURLNavigationMultipleTargetsWithFallbackImplicit/0,openedIntents,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testWebViewPlatformFiltering/0,instrumentation,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkURLNavigationMultipleTargetsNoFallbackExplicit/0,activityInterceptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkURLNavigationMultipleTargetsNoFallbackExplicit/0,PACKAGE_NAME,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkURLNavigationMultipleTargetsNoFallbackExplicit/0,openedIntents,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testWebViewVersionedAppLinkParsingOnlyPackages/0,instrumentation,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkURLNavigationMultipleTargetsWithFallbackExplicit/0,activityInterceptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkURLNavigationMultipleTargetsWithFallbackExplicit/0,PACKAGE_NAME,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkURLNavigationMultipleTargetsWithFallbackExplicit/0,openedIntents,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkNavigationFailure/0,activityInterceptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkNavigationFailure/0,openedIntents,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,setUp/0,activityInterceptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,setUp/0,openedIntents,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,setUp/0,instrumentation,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testWebViewSimpleAppLinkParsingZeroShouldFallback/0,instrumentation,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkNavigationExplicit/0,activityInterceptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkNavigationExplicit/0,PACKAGE_NAME,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkNavigationExplicit/0,openedIntents,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkURLNavigationMultipleTargetsNoFallbackImplicit/0,activityInterceptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkURLNavigationMultipleTargetsNoFallbackImplicit/0,PACKAGE_NAME,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkURLNavigationMultipleTargetsNoFallbackImplicit/0,openedIntents,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkNavigationMultipleTargetsWithFallbackExplicit/0,activityInterceptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkNavigationMultipleTargetsWithFallbackExplicit/0,PACKAGE_NAME,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkNavigationMultipleTargetsWithFallbackExplicit/0,openedIntents,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkURLNavigationImplicit/0,activityInterceptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkURLNavigationImplicit/0,PACKAGE_NAME,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkURLNavigationImplicit/0,openedIntents,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkNavigationMultipleTargetsNoFallbackImplicit/0,activityInterceptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testAppLinkNavigationMultipleTargetsNoFallbackImplicit/0,PACKAGE_NAME,2
