file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-tasks/src/test/java/bolts/TaskTest.java,bolts.TaskTest$Anonymous29$Anonymous31,then/1[bolts.Task<bolts.Task<java.lang.Integer>>],task,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-tasks/src/test/java/bolts/TaskTest.java,bolts.TaskTest$Anonymous41,call/0,tasks,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-tasks/src/test/java/bolts/TaskTest.java,bolts.TaskTest$Anonymous41,call/0,firstToCompleteCancelled,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-tasks/src/test/java/bolts/TaskTest.java,bolts.TaskTest$Anonymous44,call/0,tasks,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-tasks/src/test/java/bolts/TaskTest.java,bolts.TaskTest$Anonymous44,call/0,firstToCompleteCancelled,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-tasks/src/test/java/bolts/TaskTest.java,bolts.TaskTest$Anonymous47,call/0,rand,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testWebViewSimpleAppLinkParsing/0,task,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testWebViewSimpleAppLinkParsing/0,link,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testWebViewSimpleAppLinkParsing/0,html,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testWebViewSimpleAppLinkParsing/0,url,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testWebViewSimpleAppLinkParsing/0,target,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkNavigationImplicit/0,appLink,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkNavigationImplicit/0,openedIntent,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkNavigationImplicit/0,navigationType,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkNavigationImplicit/0,target,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,waitForTask/1[bolts.Task<?>],t,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkNavigationWithAppLinkData/0,appLink,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkNavigationWithAppLinkData/0,navigation,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Bolts-Android/bolts-applinks/src/androidTest/java/bolts/AppLinkTest.java,bolts.AppLinkTest,testSimpleAppLinkNavigationWithAppLinkData/0,openedIntent,3
