file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BookReader/app/src/main/java/com/justwayward/reader/utils/ACache.java,com.justwayward.reader.utils.ACache,get/1[java.io.File],MAX_COUNT,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BookReader/app/src/main/java/com/justwayward/reader/utils/ACache.java,com.justwayward.reader.utils.ACache,get/1[java.io.File],MAX_SIZE,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BookReader/app/src/main/java/com/justwayward/reader/utils/ACache.java,com.justwayward.reader.utils.ACache,file/1[java.lang.String],mCache,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BookReader/app/src/main/java/com/justwayward/reader/utils/ACache.java,com.justwayward.reader.utils.ACache,"put/2[java.lang.String,byte[]]",mCache,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BookReader/app/src/main/java/com/justwayward/reader/utils/ACache.java,com.justwayward.reader.utils.ACache,getAsString/1[java.lang.String],mCache,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BookReader/app/src/main/java/com/justwayward/reader/utils/ACache.java,com.justwayward.reader.utils.ACache,"get/3[java.io.File,long,int]",mInstanceMap,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BookReader/app/src/main/java/com/justwayward/reader/utils/ACache.java,com.justwayward.reader.utils.ACache,clear/0,mCache,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BookReader/app/src/main/java/com/justwayward/reader/utils/ACache.java,com.justwayward.reader.utils.ACache,remove/1[java.lang.String],mCache,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BookReader/app/src/main/java/com/justwayward/reader/utils/ACache.java,com.justwayward.reader.utils.ACache,"ACache/3[java.io.File,long,int]",mCache,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BookReader/app/src/main/java/com/justwayward/reader/utils/ACache.java,com.justwayward.reader.utils.ACache,"get/2[com.justwayward.reader.utils.Context,java.lang.String]",MAX_COUNT,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BookReader/app/src/main/java/com/justwayward/reader/utils/ACache.java,com.justwayward.reader.utils.ACache,"get/2[com.justwayward.reader.utils.Context,java.lang.String]",MAX_SIZE,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BookReader/app/src/main/java/com/justwayward/reader/utils/ACache.java,com.justwayward.reader.utils.ACache,"put/2[java.lang.String,java.lang.String]",mCache,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BookReader/app/src/main/java/com/justwayward/reader/utils/ACache.java,com.justwayward.reader.utils.ACache,getAsBinary/1[java.lang.String],mCache,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BookReader/app/src/main/java/com/justwayward/reader/view/recyclerview/EasyRecyclerView.java,com.justwayward.reader.view.recyclerview.EasyRecyclerView$EasyDataObserver,EasyDataObserver/1[com.justwayward.reader.view.recyclerview.EasyRecyclerView],recyclerView,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BookReader/app/src/main/java/com/justwayward/reader/view/recyclerview/EasyRecyclerView.java,com.justwayward.reader.view.recyclerview.EasyRecyclerView$EasyDataObserver,update/0,recyclerView,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BookReader/app/src/main/java/com/justwayward/reader/bean/support/TagEvent.java,com.justwayward.reader.bean.support.TagEvent,TagEvent/1[java.lang.String],tag,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BookReader/app/src/main/java/com/justwayward/reader/ui/presenter/SubjectBookListPresenter.java,com.justwayward.reader.ui.presenter.SubjectBookListPresenter,SubjectBookListPresenter/1[com.justwayward.reader.api.BookApi],bookApi,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BookReader/app/src/main/java/com/justwayward/reader/ui/presenter/SubjectBookListPresenter.java,com.justwayward.reader.ui.presenter.SubjectBookListPresenter,getBookListTags/0,bookApi,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BookReader/app/src/main/java/com/justwayward/reader/bean/user/TencentLoginResult.java,com.justwayward.reader.bean.user.TencentLoginResult,toString/0,ret,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BookReader/app/src/main/java/com/justwayward/reader/bean/user/TencentLoginResult.java,com.justwayward.reader.bean.user.TencentLoginResult,toString/0,msg,1
