file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/BuilderManager.java,com.nightonke.boommenusample.BuilderManager,getInstance/0,ourInstance,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/BuilderManager.java,com.nightonke.boommenusample.BuilderManager,getImageResource/0,imageResources,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/BuilderManager.java,com.nightonke.boommenusample.BuilderManager,getImageResource/0,imageResourceIndex,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/boommenu/src/main/java/com/nightonke/boommenu/ButtonEnum.java,com.nightonke.boommenu.ButtonEnum,ButtonEnum/1[int],value,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/boommenu/src/main/java/com/nightonke/boommenu/ButtonEnum.java,com.nightonke.boommenu.ButtonEnum,getValue/0,value,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/boommenu/src/main/java/com/nightonke/boommenu/ButtonEnum.java,com.nightonke.boommenu.ButtonEnum,getEnum/1[int],Unknown,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/boommenu/src/main/java/com/nightonke/boommenu/ButtonEnum.java,com.nightonke.boommenu.ButtonEnum,getEnum/1[int],value,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/boommenu/src/main/java/com/nightonke/boommenu/BackgroundView.java,com.nightonke.boommenu.BackgroundView,"light/2[long,com.nightonke.boommenu.AnimatorListenerAdapter]",dimColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/boommenu/src/main/java/com/nightonke/boommenu/BackgroundView.java,com.nightonke.boommenu.BackgroundView,"BackgroundView/2[com.nightonke.boommenu.Context,com.nightonke.boommenu.BoomMenuButton]",dimColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/boommenu/src/main/java/com/nightonke/boommenu/BackgroundView.java,com.nightonke.boommenu.BackgroundView,"dim/2[long,com.nightonke.boommenu.AnimatorListenerAdapter]",dimColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/boommenu/src/main/java/com/nightonke/boommenu/Util.java,com.nightonke.boommenu.Util,getInstance/0,ourInstance,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/boommenu/src/main/java/com/nightonke/boommenu/Util.java,com.nightonke.boommenu.Util,getColor/0,usedColor,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/boommenu/src/main/java/com/nightonke/boommenu/Util.java,com.nightonke.boommenu.Util,getColor/0,colors,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/OrderExampleActivity.java,com.nightonke.boommenusample.OrderExampleActivity,onCreate/1[com.nightonke.boommenusample.Bundle],bmb,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/ToolBarActivity.java,com.nightonke.boommenusample.ToolBarActivity,onCreate/1[com.nightonke.boommenusample.Bundle],bmb,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/boommenu/src/main/java/com/nightonke/boommenu/Piece/BoomPiece.java,com.nightonke.boommenu.Piece.BoomPiece,"onLayout/5[boolean,int,int,int,int]",requestLayoutNotFinish,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/boommenu/src/main/java/com/nightonke/boommenu/Piece/BoomPiece.java,com.nightonke.boommenu.Piece.BoomPiece,requestLayout/0,requestLayoutNotFinish,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/boommenu/src/main/java/com/nightonke/boommenu/Piece/PiecePlaceEnum.java,com.nightonke.boommenu.Piece.PiecePlaceEnum,PiecePlaceEnum/1[int],value,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/boommenu/src/main/java/com/nightonke/boommenu/Piece/PiecePlaceEnum.java,com.nightonke.boommenu.Piece.PiecePlaceEnum,minPieceNumber/0,Unknown,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/boommenu/src/main/java/com/nightonke/boommenu/Piece/PiecePlaceEnum.java,com.nightonke.boommenu.Piece.PiecePlaceEnum,minPieceNumber/0,Custom,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/boommenu/src/main/java/com/nightonke/boommenu/Piece/PiecePlaceEnum.java,com.nightonke.boommenu.Piece.PiecePlaceEnum,minPieceNumber/0,Share,1
