file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/RecyclerViewAdapter.java,com.nightonke.boommenusample.RecyclerViewAdapter,"onBindViewHolder/2[com.nightonke.boommenusample.RecyclerViewAdapter.ViewHolder,int]",i,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/RecyclerViewAdapter.java,com.nightonke.boommenusample.RecyclerViewAdapter,"onBindViewHolder/2[com.nightonke.boommenusample.RecyclerViewAdapter.ViewHolder,int]",holder,10
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/RecyclerViewAdapter.java,com.nightonke.boommenusample.RecyclerViewAdapter,"onBindViewHolder/2[com.nightonke.boommenusample.RecyclerViewAdapter.ViewHolder,int]",position,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/RecyclerViewAdapter.java,com.nightonke.boommenusample.RecyclerViewAdapter,"onCreateViewHolder/2[com.nightonke.boommenusample.ViewGroup,int]",parent,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/RecyclerViewAdapter.java,com.nightonke.boommenusample.RecyclerViewAdapter,"onCreateViewHolder/2[com.nightonke.boommenusample.ViewGroup,int]",view,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/RecyclerViewAdapter.java,com.nightonke.boommenusample.RecyclerViewAdapter,"onCreateViewHolder/2[com.nightonke.boommenusample.ViewGroup,int]",viewType,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/boommenu/src/main/java/com/nightonke/boommenu/BoomButtons/InnerOnBoomButtonClickListener.java,com.nightonke.boommenu.BoomButtons.InnerOnBoomButtonClickListener,"onButtonClick/2[int,com.nightonke.boommenu.BoomButtons.BoomButton]",boomButton,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/boommenu/src/main/java/com/nightonke/boommenu/BoomButtons/InnerOnBoomButtonClickListener.java,com.nightonke.boommenu.BoomButtons.InnerOnBoomButtonClickListener,"onButtonClick/2[int,com.nightonke.boommenu.BoomButtons.BoomButton]",index,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/BuilderManager.java,com.nightonke.boommenusample.BuilderManager,"getHamButtonBuilder/2[java.lang.String,java.lang.String]",text,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/BuilderManager.java,com.nightonke.boommenusample.BuilderManager,"getHamButtonBuilder/2[java.lang.String,java.lang.String]",subText,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/BuilderManager.java,com.nightonke.boommenusample.BuilderManager,getHamButtonData/1[java.util.ArrayList<com.nightonke.boommenusample.Pair>],p,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/BuilderManager.java,com.nightonke.boommenusample.BuilderManager,getHamButtonData/1[java.util.ArrayList<com.nightonke.boommenusample.Pair>],b,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/BuilderManager.java,com.nightonke.boommenusample.BuilderManager,getHamButtonData/1[java.util.ArrayList<com.nightonke.boommenusample.Pair>],piecesAndButtons,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/BuilderManager.java,com.nightonke.boommenusample.BuilderManager,getHamButtonData/1[java.util.ArrayList<com.nightonke.boommenusample.Pair>],data,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/BuilderManager.java,com.nightonke.boommenusample.BuilderManager,getHamButtonData/1[java.util.ArrayList<com.nightonke.boommenusample.Pair>],buttonPlaceEnum,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/BuilderManager.java,com.nightonke.boommenusample.BuilderManager,getHamButtonData/1[java.util.ArrayList<com.nightonke.boommenusample.Pair>],piecePlaceEnum,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/BuilderManager.java,com.nightonke.boommenusample.BuilderManager,getCircleButtonData/1[java.util.ArrayList<com.nightonke.boommenusample.Pair>],p,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/BuilderManager.java,com.nightonke.boommenusample.BuilderManager,getCircleButtonData/1[java.util.ArrayList<com.nightonke.boommenusample.Pair>],b,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/BuilderManager.java,com.nightonke.boommenusample.BuilderManager,getCircleButtonData/1[java.util.ArrayList<com.nightonke.boommenusample.Pair>],piecesAndButtons,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BoomMenu/app/src/main/java/com/nightonke/boommenusample/BuilderManager.java,com.nightonke.boommenusample.BuilderManager,getCircleButtonData/1[java.util.ArrayList<com.nightonke.boommenusample.Pair>],data,4
