file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomBar/bottom-bar/src/main/java/com/roughike/bottombar/BadgeCircle.java,com.roughike.bottombar.BadgeCircle,"make/2[int,int]",indicator,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomBar/bottom-bar/src/main/java/com/roughike/bottombar/BadgeCircle.java,com.roughike.bottombar.BadgeCircle,"make/2[int,int]",size,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomBar/bottom-bar/src/main/java/com/roughike/bottombar/BadgeCircle.java,com.roughike.bottombar.BadgeCircle,"make/2[int,int]",color,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomBar/bottom-bar/src/main/java/com/roughike/bottombar/BottomBar.java,com.roughike.bottombar.BottomBar$Anonymous6,update/1[com.roughike.bottombar.BottomBarTab],tab,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomBar/bottom-bar/src/androidTest/java/com/roughike/bottombar/BottomBarTabTest.java,com.roughike.bottombar.BottomBarTabTest,testSavedStateWithBadge_StaysIntact/0,savedState,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomBar/bottom-bar/src/main/java/com/roughike/bottombar/BottomBar.java,com.roughike.bottombar.BottomBar$Anonymous7,update/1[com.roughike.bottombar.BottomBarTab],tab,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomBar/bottom-bar/src/main/java/com/roughike/bottombar/BottomBar.java,com.roughike.bottombar.BottomBar$Anonymous4,update/1[com.roughike.bottombar.BottomBarTab],tab,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomBar/app/src/main/java/com/example/bottombar/sample/FiveColorChangingTabsActivity.java,com.example.bottombar.sample.FiveColorChangingTabsActivity$Anonymous1,onTabSelected/1[int],tabId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomBar/bottom-bar/src/main/java/com/roughike/bottombar/BottomBar.java,com.roughike.bottombar.BottomBar$Anonymous5,update/1[com.roughike.bottombar.BottomBarTab],tab,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomBar/app/src/main/java/com/example/bottombar/sample/FiveColorChangingTabsActivity.java,com.example.bottombar.sample.FiveColorChangingTabsActivity$Anonymous2,onTabReSelected/1[int],tabId,1
